SUPPLY_ID,DESCRIPTION,VENDOR_ID,LOCATION_ID,PRODUCT_ID,SUPPLY_DATE,QTY,STATUS,METHOD,COST,FAB_LOC,FAB_PART_ID,LOT_ID,TECHNOLOGY,MASK_LAYERS,WAFER_SIZE,MAT_TYPE,PASSIVATION,BUMP_LOC,PROBE_LOC,DB_LOC,PACKAGE_FAMILY,PACKAGE,ASSY_LOC,TEST_LOC,DM_SPEC,DEMAND_ID,WIRE_COLOR,PROD_AREA,ALLOCATION
Inv-12,COMPONENT13,-,FIN-ASSY,COMPONENT13,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-13,COMPONENT21,-,FIN-ASSY,COMPONENT21,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-14,COMPONENT22,-,FIN-ASSY,COMPONENT22,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-15,COMPONENT23,-,FIN-ASSY,COMPONENT23,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-16,COMPONENT31,-,FIN-ASSY,COMPONENT31,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-17,COMPONENT32,-,FIN-ASSY,COMPONENT32,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-18,COMPONENT33,-,FIN-ASSY,COMPONENT33,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-19,COMPONENT41,-,FIN-ASSY,COMPONENT41,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-20,COMPONENT42,-,FIN-ASSY,COMPONENT42,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
Inv-21,COMPONENT43,-,FIN-ASSY,COMPONENT43,-,50000,s,-,50000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Free,FREE,-,-,FREE
