CASE,CONS_ID,LOCATION,COMLOCATION,COMLOCATION_UDA_LOC_ID,COMLOCATION_UDA_HIER_LEVEL_3,COMLOCATION_UDA_TECHNOLOGY,COMLOCATION_UDA_PACKAGE,METHOD_UDA_HIER_LEVEL_3,CAPACITY,UOM,BUILDPOLICY,BUILDEARLYLIMIT,BUILD AHEAD,CAPVIOLATION,START,END,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,UDA_COMMODITY,UDA_VENDOR,UDA_CATEGORY,RELATION,UDA_LOCATION,ENABLED,PLANNER,TIME_LEVEL,CORRESPONDS
-,LastCommit_FAB2,FAB2,-,FAB2,-,-,-,MFG,250,WEEK,early_late,-,-,no_violation,1,-1,FAB_FAB2,FAB,MFG,ProductLevel_3:6-FAB,-,CAP_COMMIT,Commit_FAB2,locations:FAB2,REPORT,Planner2,FixedWeek,-
-,LastCommit_FAB2_PMOS,FAB2,-,FAB2,-,PMOS,-,MFG,150,WEEK,early_late,-,-,no_violation,1,-1,FAB_FAB2,FAB,MFG,ProductLevel_1:FAB_PMOS,-,CAP_COMMIT,Commit_FAB2_PMOS,locations:FAB2,REPORT,Planner2,FixedWeek,-
-,LastCommit_FAB2_PIC,FAB2,-,FAB2,-,PIC,-,MFG,300,WEEK,early_late,-,-,no_violation,1,-1,FAB_FAB2,FAB,MFG,ProductLevel_1:FAB_PIC,-,CAP_COMMIT,Commit_FAB2_PIC,locations:FAB2,REPORT,Planner2,FixedWeek,-
-,RAW,-,-,-,7-RAW,-,-,PURCHASE,200,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW,MAT_RAW,MAT,ProductLevel_3:7-RAW,-,MAT_REQ,-,-,YES,planner2,FixedWeek,-
-,RAW_FAB1,-,-,FAB1,7-RAW,-,-,PURCHASE,150,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW_FAB1,MAT_RAW,MAT,ProductLevel_3:7-RAW,vendors:Vendor0,MAT_REQ,-,-,YES,planner2,FixedWeek,-
-,RAW_FAB2,-,-,FAB2,7-RAW,-,-,PURCHASE,300,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW_FAB2,MAT_RAW,MAT,ProductLevel_3:7-RAW,vendors:Vendor0,MAT_REQ,-,-,YES,planner2,FixedWeek,-
-,Last_RAW,-,-,-,7-RAW,-,-,PURCHASE,200,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW,MAT_RAW,MAT,ProductLevel_3:7-RAW,-,MAT_REQ,RAW,-,REPORT,planner2,FixedWeek,-
-,Last_RAW_FAB1,-,-,FAB1,7-RAW,-,-,PURCHASE,150,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW_FAB1,MAT_RAW,MAT,ProductLevel_3:7-RAW,vendors:Vendor0,MAT_REQ,RAW_FAB1,-,REPORT,planner2,FixedWeek,-
-,Last_RAW_FAB2,-,-,FAB2,7-RAW,-,-,PURCHASE,300,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW_FAB2,MAT_RAW,MAT,ProductLevel_3:7-RAW,vendors:Vendor0,MAT_REQ,RAW_FAB2,-,REPORT,planner2,FixedWeek,-
-,Commit_RAW,-,-,-,7-RAW,-,-,PURCHASE,200,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW,MAT_RAW,MAT,ProductLevel_3:7-RAW,-,MAT_REQ,-,-,REPORT,planner2,FixedWeek,-
-,Commit_RAW_FAB1,-,-,FAB1,7-RAW,-,-,PURCHASE,150,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW_FAB1,MAT_RAW,MAT,ProductLevel_3:7-RAW,vendors:Vendor0,MAT_REQ,-,-,REPORT,planner2,FixedWeek,-
-,Commit_RAW_FAB2,-,-,FAB2,7-RAW,-,-,PURCHASE,300,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW_FAB2,MAT_RAW,MAT,ProductLevel_3:7-RAW,vendors:Vendor0,MAT_REQ,-,-,REPORT,planner2,FixedWeek,-
-,LastCommit_RAW,-,-,-,7-RAW,-,-,PURCHASE,200,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW,MAT_RAW,MAT,ProductLevel_3:7-RAW,-,MAT_REQ,Commit_RAW,-,REPORT,planner2,FixedWeek,-
-,LastCommit_RAW_FAB1,-,-,FAB1,7-RAW,-,-,PURCHASE,150,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW_FAB1,MAT_RAW,MAT,ProductLevel_3:7-RAW,vendors:Vendor0,MAT_REQ,Commit_RAW_FAB1,-,REPORT,planner2,FixedWeek,-
-,LastCommit_RAW_FAB2,-,-,FAB2,7-RAW,-,-,PURCHASE,150,WEEK,early_late,-,-,no_violation,1,-1,MAT_RAW_FAB2,MAT_RAW,MAT,ProductLevel_3:7-RAW,vendors:Vendor0,MAT_REQ,Commit_RAW_FAB2,-,REPORT,planner2,FixedWeek,-
