DEMAND_ID,DESCRIPTION,CUSTOMER_ID,STATUS,PRIORITY,REQ_DUE_DATE,COMMITTED_DUE_TIME,PRODUCT_ID,LOCATION_ID,QUANTITY,LATE_DEMAND_PENALTY,SHORT_DEMAND_PENALTY,REVENUE,ALLOCATION_S,DM_SPEC_S,ASSY_LOC_S,FAB_LOC_S,DEMAND_ID_S,WIRE_COLOR_S
Order-12,-,ALL_EAST_CUST1,1,21,8/19/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,FAB1,-,-
Order-13,-,ALL_EAST_CUST1,1,22,8/19/2022,-,FG1c,FG-DC1,1000,-,-,10,FREE,Free,-,FAB1,-,-
Order-14,-,ALL_EAST_CUST1,1,23,8/19/2022,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-15,-,ALL_EAST_CUST1,1,24,8/19/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-16,-,ALL_EAST_CUST1,1,25,8/19/2022,-,FG4,VMI1,5000,-,-,10,FREE,Free,-,FAB1,-,-
Order-17,-,ALL_EAST_CUST1,1,26,9/12/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Order-18,-,ALL_EAST_CUST1,1,27,9/12/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Order-19,-,ALL_CENTRAL_CUST1,1,28,9/12/2022,-,FG1c,FG-DC1,1000,-,-,10,FREE,Free,-,-,-,-
Order-20,-,ALL_CENTRAL_CUST1,1,29,9/12/2022,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-21,-,ALL_CENTRAL_CUST2,1,30,9/12/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-22,-,ALL_CENTRAL_CUST2,1,31,9/12/2022,-,FG4,VMI1,5000,-,-,10,FREE,Free,-,-,-,-
Fcst-1,-,ALL_EAST_CUST1,2,32,9/12/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-2,-,ALL_EAST_CUST1,2,33,9/12/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-3,-,ALL_EAST_CUST1,2,34,9/12/2022,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-4,-,ALL_EAST_CUST1,2,35,9/12/2022,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-5,-,ALL_EAST_CUST1,2,36,9/12/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-6,-,ALL_EAST_CUST1,2,37,9/12/2022,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,FAB1,-,-
Order-23,-,ALL_WEST_CUST1,1,38,10/10/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,FAB1,-,-
Order-24,-,ALL_WEST_CUST1,1,39,10/10/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,FAB1,-,-
Order-25,-,ALL_WEST_CUST2,1,40,10/10/2022,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,FAB1,-,-
Order-26,-,ALL_WEST_CUST2,1,41,10/10/2022,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-27,-,ALL_WEST_CUST3,1,42,10/10/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-28,-,ALL_WEST_CUST3,1,43,10/10/2022,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-7,-,ALL_EAST_CUST1,2,44,10/10/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-8,-,ALL_EAST_CUST1,2,45,10/10/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-9,-,ALL_EAST_CUST1,2,46,10/10/2022,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-10,-,ALL_EAST_CUST1,2,47,10/10/2022,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-11,-,ALL_EAST_CUST1,2,48,10/10/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-12,-,ALL_EAST_CUST1,2,49,10/10/2022,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-29,-,ALL_EAST_CUST1,1,50,11/14/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Order-30,-,ALL_EAST_CUST1,1,51,11/14/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Order-31,-,ALL_EAST_CUST1,1,52,11/14/2022,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Order-32,-,ALL_EAST_CUST1,1,53,11/14/2022,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-33,-,ALL_EAST_CUST1,1,54,11/14/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-34,-,ALL_EAST_CUST1,1,55,11/14/2022,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Fcst-13,-,ALL_EAST_CUST1,2,56,11/14/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-14,-,ALL_EAST_CUST1,2,57,11/14/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-15,-,ALL_EAST_CUST1,2,58,11/14/2022,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-16,-,ALL_EAST_CUST1,2,59,11/14/2022,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-17,-,ALL_EAST_CUST1,2,60,11/14/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-18,-,ALL_EAST_CUST1,2,61,11/14/2022,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-35,-,ALL_EAST_CUST1,1,62,12/19/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,FAB1,-,-
Order-36,-,ALL_EAST_CUST1,1,63,12/19/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,FAB1,-,-
Order-37,-,ALL_EAST_CUST1,1,64,12/19/2022,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,FAB1,-,-
Order-38,-,ALL_EAST_CUST1,1,65,12/19/2022,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-39,-,ALL_EAST_CUST1,1,66,12/19/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-40,-,ALL_CENTRAL_CUST1,1,67,12/19/2022,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-19,-,ALL_EAST_CUST1,2,68,12/19/2022,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-20,-,ALL_EAST_CUST1,2,69,12/19/2022,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-21,-,ALL_EAST_CUST1,2,70,12/19/2022,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-22,-,ALL_EAST_CUST1,2,71,12/19/2022,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-23,-,ALL_EAST_CUST1,2,72,12/19/2022,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-24,-,ALL_EAST_CUST1,2,73,12/19/2022,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-41,-,ALL_CENTRAL_CUST1,1,74,1/16/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Order-42,-,ALL_CENTRAL_CUST2,1,75,1/16/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Order-43,-,ALL_CENTRAL_CUST2,1,76,1/16/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Order-44,-,ALL_WEST_CUST1,1,77,1/16/2023,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-45,-,ALL_WEST_CUST1,1,78,1/16/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-46,-,ALL_WEST_CUST2,1,79,1/16/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Fcst-25,-,ALL_EAST_CUST1,2,80,1/16/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-26,-,ALL_EAST_CUST1,2,81,1/16/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-27,-,ALL_EAST_CUST1,2,82,1/16/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-28,-,ALL_EAST_CUST1,2,83,1/16/2023,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-29,-,ALL_EAST_CUST1,2,84,1/16/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-30,-,ALL_EAST_CUST1,2,85,1/16/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-47,-,ALL_WEST_CUST2,1,86,2/20/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,FAB1,-,-
Order-48,-,ALL_WEST_CUST3,1,87,2/20/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,FAB1,-,-
Order-49,-,ALL_WEST_CUST3,1,88,2/20/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,FAB1,-,-
Order-50,-,ALL_EAST_CUST1,1,89,2/20/2023,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-51,-,ALL_EAST_CUST1,1,90,2/20/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-52,-,ALL_EAST_CUST1,1,91,2/20/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-31,-,ALL_EAST_CUST1,2,92,2/20/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-32,-,ALL_EAST_CUST2,2,93,2/20/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-33,-,ALL_EAST_CUST3,2,94,2/20/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-34,-,ALL_CENTRAL_CUST1,2,95,2/20/2023,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-35,-,ALL_CENTRAL_CUST2,2,96,2/20/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-36,-,ALL_WEST_CUST1,2,97,2/20/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-53,-,ALL_EAST_CUST1,1,98,3/20/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Order-54,-,ALL_EAST_CUST1,1,99,3/20/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Order-55,-,ALL_EAST_CUST1,1,100,3/20/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Order-56,-,ALL_EAST_CUST1,1,101,3/20/2023,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-57,-,ALL_EAST_CUST1,1,102,3/20/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-58,-,ALL_EAST_CUST1,1,103,3/20/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Fcst-37,-,ALL_WEST_CUST2,2,104,3/20/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-38,-,ALL_WEST_CUST3,2,105,3/20/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-39,-,ALL_EAST_CUST4,2,106,3/20/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-40,-,ALL_CENTRAL_CUST3,2,107,3/20/2023,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-41,-,ALL_WEST_CUST4,2,108,3/20/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-42,-,ALL_EAST_CUST1,2,109,3/20/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-59,-,ALL_EAST_CUST1,1,110,4/17/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,FAB1,-,-
Order-60,-,ALL_EAST_CUST1,1,111,4/17/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,FAB1,-,-
Order-61,-,ALL_CENTRAL_CUST1,1,112,4/17/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,FAB1,-,-
Order-62,-,ALL_CENTRAL_CUST1,1,113,4/17/2023,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-63,-,ALL_CENTRAL_CUST2,1,114,4/17/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-64,-,ALL_CENTRAL_CUST2,1,115,4/17/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-43,-,ALL_EAST_CUST2,2,116,4/17/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-44,-,ALL_EAST_CUST3,2,117,4/17/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-45,-,ALL_CENTRAL_CUST1,2,118,4/17/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-46,-,ALL_CENTRAL_CUST2,2,119,4/17/2023,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-47,-,ALL_WEST_CUST1,2,120,4/17/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-48,-,ALL_WEST_CUST2,2,121,4/17/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-65,-,ALL_WEST_CUST1,1,122,5/15/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Order-66,-,ALL_WEST_CUST1,1,123,5/15/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Order-67,-,ALL_WEST_CUST2,1,124,5/15/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Order-68,-,ALL_WEST_CUST2,1,125,5/15/2023,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-69,-,ALL_WEST_CUST3,1,126,5/15/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-70,-,ALL_WEST_CUST3,1,127,5/15/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Fcst-49,-,ALL_WEST_CUST3,2,128,5/15/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-50,-,ALL_EAST_CUST4,2,129,5/15/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-51,-,ALL_CENTRAL_CUST3,2,130,5/15/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-52,-,ALL_WEST_CUST4,2,131,5/15/2023,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-53,-,ALL_EAST_CUST1,2,132,5/15/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-54,-,ALL_EAST_CUST2,2,133,5/15/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-71,-,ALL_EAST_CUST1,1,134,6/19/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,FAB1,-,-
Order-72,-,ALL_EAST_CUST1,1,135,6/19/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,FAB1,-,-
Order-73,-,ALL_EAST_CUST1,1,136,6/19/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,FAB1,-,-
Order-74,-,ALL_EAST_CUST1,1,137,6/19/2023,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-75,-,ALL_EAST_CUST1,1,138,6/19/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,FAB1,-,-
Order-76,-,ALL_CENTRAL_CUST1,1,139,6/19/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,FAB1,-,-
Fcst-55,-,ALL_EAST_CUST3,2,140,6/19/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-56,-,ALL_CENTRAL_CUST1,2,141,6/19/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-57,-,ALL_CENTRAL_CUST2,2,142,6/19/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-58,-,ALL_WEST_CUST1,2,143,6/19/2023,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-59,-,ALL_WEST_CUST2,2,144,6/19/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-60,-,ALL_WEST_CUST3,2,145,6/19/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Order-77,-,ALL_CENTRAL_CUST2,1,146,7/15/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Order-78,-,ALL_WEST_CUST1,1,147,7/15/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Order-79,-,ALL_WEST_CUST2,1,148,7/15/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Order-80,-,ALL_WEST_CUST3,1,149,7/15/2023,-,FG2,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-81,-,ALL_EAST_CUST1,1,150,7/15/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Order-82,-,ALL_EAST_CUST1,1,151,7/15/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
Fcst-61,-,ALL_EAST_CUST4,2,152,7/15/2023,-,FG1a,FG-DC1,75000,-,-,10,FREE,Free,-,-,-,-
Fcst-62,-,ALL_CENTRAL_CUST3,2,153,7/15/2023,-,FG1b,FG-DC1,25000,-,-,10,FREE,Free,-,-,-,-
Fcst-63,-,ALL_WEST_CUST4,2,154,7/15/2023,-,FG1c,FG-DC1,10000,-,-,10,FREE,Free,-,-,-,-
Fcst-64,-,ALL_EAST_CUST1,2,155,7/15/2023,-,FG2,VMI1,30000,-,-,10,FREE,Free,-,-,-,-
Fcst-65,-,ALL_EAST_CUST1,2,156,7/15/2023,-,FG3,VMI1,20000,-,-,10,FREE,Free,-,-,-,-
Fcst-66,-,ALL_EAST_CUST2,2,157,7/15/2023,-,FG4,VMI1,50000,-,-,10,FREE,Free,-,-,-,-
