PRODUCT,FROM_LOCATION,TO_LOCATION,TRANS_RT,MODE,PREFERENCE,COST,TRANSIT_TIME,TRANSIT_TIME_UOM,EFFECTIVE_START,EFFECTIVE_END,DEST_TYPE,ASSY_LOC,HIER_LEVEL_1,HIER_LEVEL_,HIER_LEVEL_3,process_unit_cost
FG1c,FIN-ASSY,FG-DC1,T_FG-DC1_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG2,FIN-ASSY,FG-DC1,T_FG-DC1_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG3,FIN-ASSY,FG-DC1,T_FG-DC1_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG4,FIN-ASSY,FG-DC1,T_FG-DC1_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG2,FIN-ASSY,FG-DC2,T_FG-DC2_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG3,FIN-ASSY,FG-DC2,T_FG-DC2_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG4,FIN-ASSY,FG-DC2,T_FG-DC2_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
TEST1a,WTEST-M1,FIN-ASSY,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
TEST1b,WTEST-M1,FIN-ASSY,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
TEST1c,WTEST-M1,FIN-ASSY,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
TEST2,WTEST-M2,FIN-ASSY,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
TEST3,WTEST-M1,FIN-ASSY,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
TEST3,WTEST-M2,FIN-ASSY,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
TEST4,WTEST-M1,FIN-ASSY,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
TEST4,WTEST-M2,FIN-ASSY,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM1a,ASSY-M2,WTEST-M1,-,ROAD,1,0.001,1,DAYS,-,-,MOVE,ASSY-M2,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM1b,ASSY-M2,WTEST-M1,-,ROAD,1,0.001,1,DAYS,-,-,MOVE,ASSY-M2,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM1c,ASSY-M2,WTEST-M1,-,ROAD,1,0.001,1,DAYS,-,-,MOVE,ASSY-M2,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM2,ASSY-M2,WTEST-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,ASSY-M2,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM3,ASSY-M2,WTEST-M1,-,ROAD,1,0.001,1,DAYS,-,-,MOVE,ASSY-M2,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM3,ASSY-M3,WTEST-M2,-,ROAD,2,0.002,1,DAYS,-,-,MOVE,ASSY-M3,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM3,ASSY-M3,WTEST-M1,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,ASSY-M3,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM3,ASSY-M2,WTEST-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,ASSY-M2,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM4,ASSY-M2,WTEST-M1,-,ROAD,1,0.001,1,DAYS,-,-,MOVE,ASSY-M2,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM4,ASSY-M3,WTEST-M2,-,ROAD,2,0.002,1,DAYS,-,-,MOVE,ASSY-M3,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM4,ASSY-M3,WTEST-M1,-,ROAD,1,0.002,1,DAYS,-,-,MOVE,ASSY-M3,MOVE_MOVE,MOVE_MOVE,MOVE,1
ASM4,ASSY-M2,WTEST-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,ASSY-M2,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE1,WPROB-M1,ASSY-M2,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE2,WPROB-M2,ASSY-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE3,WPROB-M2,ASSY-M3,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE3,WPROB-M1,ASSY-M2,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE3,WPROB-M1,ASSY-M3,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE3,WPROB-M2,ASSY-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE4,WPROB-M2,ASSY-M3,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE4,WPROB-M1,ASSY-M2,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE4,WPROB-M1,ASSY-M3,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
PROBE4,WPROB-M2,ASSY-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP2,WBUMP-M2,WPROB-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP3,WBUMP-M2,WPROB-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP3,WBUMP-M3,WPROB-M1,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP3,WBUMP-M3,WPROB-M2,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP3,WBUMP-M2,WPROB-M1,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP4,WBUMP-M2,WPROB-M2,-,ROAD,1,0,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP4,WBUMP-M3,WPROB-M1,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP4,WBUMP-M3,WPROB-M2,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
BUMP4,WBUMP-M2,WPROB-M1,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER1,FAB1,WPROB-M1,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER1,FAB2,WPROB-M1,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER2,FAB1,WBUMP-M2,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER2,FAB2,WBUMP-M2,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER3,FAB1,WBUMP-M2,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER3,FAB1,WBUMP-M3,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER3,FAB2,WBUMP-M2,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER3,FAB2,WBUMP-M3,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER4,FAB1,WBUMP-M2,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER4,FAB1,WBUMP-M3,-,ROAD,2,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER4,FAB2,WBUMP-M2,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
WAFER4,FAB2,WBUMP-M3,-,ROAD,1,3,1,DAYS,-,-,MOVE,-,MOVE_MOVE,MOVE_MOVE,MOVE,1
FG1a,FIN-ASSY,FG-DC3,T_FG-DC3_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG1b,FIN-ASSY,FG-DC3,T_FG-DC3_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
FG1c,FIN-ASSY,FG-DC3,T_FG-DC3_FIN-ASSY_MOVE,ROAD,1,0.002,1,DAYS,-,-,DC,-,MOVE_DC,MOVE_DC,MOVE,1
