PRODUCT_ID,DESCRIPTION,PRODUCT_TYPE,PRODAREA,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,FG_HIER_LEVEL_1,FG_HIER_LEVEL_2,FG_HIER_LEVEL_3,END_ITEM,A_MAT_STATUS,LATE_FORECAST,LATE_SALES
ASM3,-,P,ASSY,ASSY_FLIPCHIP_FPBGA,ASSY_FLIPCHIP,2-ASSY,-,-,-,-,50,-,-
ASM4,-,P,ASSY,ASSY_FLIPCHIP_FPBGA,ASSY_FLIPCHIP,2-ASSY,-,-,-,-,50,-,-
DIE1,-,P,DB,DB_ProductGroupX_ProductFamilyA,DB_ProductGroupX,3-DB,-,-,-,-,50,-,-
DIE2,-,P,DB,DB_ProductGroupX_ProductFamily3,DB_ProductGroupX,3-DB,-,-,-,-,50,-,-
DIE3,-,P,DB,DB_ProductGroupX_ProductFamilyB,DB_ProductGroupX,3-DB,-,-,-,-,50,-,-
DIE4,-,P,DB,DB_ProductGroupX_ProductFamilyB,DB_ProductGroupX,3-DB,-,-,-,-,50,-,-
PROBE1,-,P,PROBE,PROBE_ProductGroupX_ProductFamilyA,PROBE_ProductGroupX,4-PROBE,-,-,-,-,50,-,-
PROBE2,-,P,PROBE,PROBE_ProductGroupX_ProductFamily3,PROBE_ProductGroupX,4-PROBE,-,-,-,-,50,-,-
PROBE3,-,P,PROBE,PROBE_ProductGroupX_ProductFamilyB,PROBE_ProductGroupX,4-PROBE,-,-,-,-,50,-,-
PROBE4,-,P,PROBE,PROBE_ProductGroupX_ProductFamilyB,PROBE_ProductGroupX,4-PROBE,-,-,-,-,50,-,-
BUMP2,-,P,BUMP,BUMP_ProductFamily3_LEADFREE,BUMP_ProductFamily3,5-BUMP,-,-,-,-,50,-,-
BUMP3,-,P,BUMP,BUMP_ProductFamilyB_LEADFREE,BUMP_ProductFamilyB_LEADFREE,5-BUMP,-,-,-,-,50,-,-
BUMP4,-,P,BUMP,BUMP_ProductFamilyB_LEADFREE,BUMP_ProductFamilyB_LEADFREE,5-BUMP,-,-,-,-,50,-,-
WAFER1,-,P,FAB,FAB_PMOS,FAB_PMOS,6-FAB,-,-,-,-,50,-,-
WAFER2,-,P,FAB,FAB_PMOS,FAB_PMOS,6-FAB,-,-,-,-,50,-,-
WAFER3,-,P,FAB,FAB_PIC,FAB_PIC,6-FAB,-,-,-,-,50,-,-
WAFER4,-,P,FAB,FAB_PIC,FAB_PIC,6-FAB,-,-,-,-,50,-,-
COMPONENT11,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT12,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT13,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT21,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT22,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT23,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT31,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT32,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT33,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT41,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT42,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
COMPONENT43,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
RAW,-,M,RAW,RAW,RAW,7-RAW,-,-,-,-,50,-,-
