FG,版次,物料描述,工厂,BOM用途,创建日期,修改日期,component,版次,组件描述,quantity,超领率,UOM,采购类型,优先级,替代组,使用可能性,ICT项目类别,排序字符串,项目文本行 2,策略,与核算成本相关标识,项目文本行1,生产仓储地点
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0490,1A,"Thermal Pad,6*4.5*1mm",1000.000,10.00,ST,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0313,1A,Thermal Gels for TX/RX ---Henkel：TG100,1000.000,10.00,ML,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0104,1A,"Epoxy,Innolight,T-002,10ml/支",20.000,10.00,ML,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0284,1A,"Acrylate,Innolight,UV-006,3ml/支",100.000,10.00,ML,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,11/28/16,11/29/16,310-0485,1A,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",200.000,10.00,G,F,0,,0,L,,,,X,,5016
502-1633,2B,"Ass-BOM,CGR4 Gen3(Oclaro DFB+PD+GN2110)",1000,2,5/10/18,5/23/18,330-0101,1B,"Label,rounded corner,white,blank,for Box",1000.000,15.00,ST,F,0,,0,L,,,,X,,5016
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,4/24/18,502-1892,1C,"Mod Ass-BOM,CLR4 ET Gen1(Ocl,GCS,No MPD)",1000.000,0,ST,E,0,,0,N,,,,,,
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,,611-1162,1A,"(QSFP28 CWDM4 COP ET,Standard)S/ID file",1000.000,0,ST,E,0,,0,N,,,,,,
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,,612-0467,1A,"(QSFP28 CWDM4 COP ET,Standard)A/W file",1000.000,0,ST,E,0,,0,N,,,,,,
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,4/24/18,613-1249,1A,"(QSFP28 CWDM4 COP ET,Standard)Label file",1000.000,0,ST,E,0,,0,N,,,,,,
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,7/2/20,621-00B3,1A,"Firmware file,QSFP28 CLR4(ET)",1000.000,0,ST,E,0,,0,N,FW:B300,,,,,
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,,330-0081,1C,"Label,29.0*15.0,white,inno-logo",1000.000,0,ST,F,0,,0,L,,,,X,,5016
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,,350-0230,1A,"Tray,215x205x18.5mm,8pcs,Pack",125.000,0,ST,F,0,,0,L,,,,X,,5016
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,,350-0016,1B,"EPE Sponge,240*230*10,pink,shipments",50.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,,350-0017,1B,抗静电EPE 220*85*10,100.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,,350-0015,3A,"Carton,270*239*109,innolight,shipments",25.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,1/18/22,350-0027,3A,"Carton,505*285*245,innolight,shipments",6.250,0,ZPC,F,0,,0,L,,,,X,,5016
500-3998,1B,"100G CWDM4 ET,-5-85C,Weld+Ocl IT+GN2110B",1000,2,3/28/18,11/27/20,350-0154,1A,"Bag,386.0*353.0*0.15mm Packing",25.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,502-1713,2C,"Module Ass-BOM,CLR4 ET(Mitsu DFB,GCS PD)",1000.000,0,ST,E,0,,0,N,,,,,,
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,611-1161,1A,"(QSFP28 CWDM4 COP ET,Standard)S/ID file",1000.000,0,ST,E,0,,0,N,,,,,,
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,612-0467,1A,"(QSFP28 CWDM4 COP ET,Standard)A/W file",1000.000,0,ST,E,0,,0,N,,,,,,
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,613-1249,1A,"(QSFP28 CWDM4 COP ET,Standard)Label file",1000.000,0,ST,E,0,,0,N,,,,,,
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,621-009C,0B,"F/W,QSFP28 LR4(Lite V2),M24025/GN2109",1000.000,0,ST,E,0,,0,N,,,,,,
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,330-0081,1C,"Label,29.0*15.0,white,inno-logo",1000.000,0,ST,F,0,,0,L,,,,X,,5016
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,350-0230,1A,"Tray,215x205x18.5mm,8pcs,Pack",125.000,0,ST,F,0,,0,L,,,,X,,5016
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,350-0016,1B,"EPE Sponge,240*230*10,pink,shipments",50.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,350-0017,1B,抗静电EPE 220*85*10,100.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,,350-0015,3A,"Carton,270*239*109,innolight,shipments",25.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,1/18/22,350-0027,3A,"Carton,505*285*245,innolight,shipments",6.250,0,ZPC,F,0,,0,L,,,,X,,5016
500-3997,1A,"100G COP ET,-5-85C,LR4 Ethernet Platform",1000,2,4/24/18,11/27/20,350-0154,1A,"Bag,386.0*353.0*0.15mm Packing",25.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,10/26/18,502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000.000,0,ST,E,0,,0,N,,,,,,
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,7/13/21,,601-1579,1A,"LP&FMTtest plan,CWDM4 ET,for Juniper RPT",1000.000,0,ST,E,0,,0,N,,,,X,,
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,7/13/21,,601-1580,1A,"FMT test plan,CWDM4 ET,for Juniper RPT",1000.000,0,ST,E,0,,0,N,,,,X,,
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,,611-1211,1B,"S/ID file,100G CWDM4 ET,JP_740-080724",1000.000,0,ST,E,0,,0,N,,,,,,
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,,612-0505,1A,"A/W file,100G CWDM4 ET,for Juniper RPT",1000.000,0,ST,E,0,,0,N,,,,,,
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,,613-1286,1B,"Label file,100G CWDM4 ET,JP_740-080724",1000.000,0,ST,E,0,,0,N,,,,,,
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,7/13/21,621-00B3,1A,"Firmware file,QSFP28 CLR4(ET)",1000.000,0,ST,E,0,,0,N,B30A,,,,,
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,5/22/18,330-0164,1B,"Label,29x15x0.1,white,Juniper",1000.000,15.00,ST,F,0,,0,L,,,,X,,5016
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,12/3/20,350-0229,1A,"Tray,215x205x18.5mm,8pcs,Pack",125.000,0,ST,F,0,,0,L,,,,X,,5016
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,,350-0016,1B,"EPE Sponge,240*230*10,pink,shipments",50.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,,350-0017,1B,抗静电EPE 220*85*10,100.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,,350-0025,3A,"Carton,270*239*109,blank,shipments pack",25.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,,350-0026,3A,"Carton,505*285*245,blank,shipments",6.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,5/22/18,11/27/20,350-0154,1A,"Bag,386.0*353.0*0.15mm Packing",25.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-4094,1C,100G CWDM4 ET(CLR4 ET Gen1 Pla Ocl)JP,1000,2,7/13/21,,350-0230,1A,"Tray,215x205x18.5mm,8pcs,Pack",125.000,0,ST,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,,260-0172,1C,"BOSA Ass-BOM,CLR4 ET Gen1,Ocl,GCS,No MPD",1000.000,0,ST,E,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,8/12/19,504-1482,1B,"PCBA BOM,100G QSFP28 CLR4 ET Gen1",1000.000,2.00,ST,F,0,A4,100,L,,,1,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,12/5/22,300-0211,1B,Housing body,1000.000,2.00,ST,F,0,,0,L,,,,X,,6010
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,12/5/22,300-0212,1A,Housing lid,1000.000,2.00,ST,F,0,,0,L,,,,X,,6010
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,10/26/18,310-0571,1B,Clamp,1000.000,2.00,ST,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,12/5/22,310-0612,1A,"Pull tab+latch,354U,Juniper",1000.000,2.00,ST,F,0,,0,L,,,,X,,6010
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,10/26/18,310-0014,1A,"Screw,FDD-101154-M 1.4X4.5",2000.000,2.00,ST,F,0,A1,100,L,,,1,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,10/26/18,302-0007,1B,TSLG Nylok Screw M1.4x0.3x4.63,2000.000,2.00,ST,F,0,A1,0,L,,,1,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,10/26/18,310-0323,1A,"Flat head screw,sus304,M1.4x0.3x5x5.5",2000.000,2.00,ST,F,0,A2,100,L,,,1,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,10/26/18,302-0004,1B,TSLG Nylok Screw M1.4x0.3x5.45,2000.000,2.00,ST,F,0,A2,0,L,,,1,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,10/26/18,310-0401,1C,"Dust cover EPDM,Duplex LC,Black",1000.000,1.00,ST,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,10/26/18,320-0284,1A,"Spring OD 1.5mm,l:7.3mm, W-D:0.2mm",2000.000,2.00,ST,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,6/5/19,310-0178,1A,"Thermal Pad,4*4*0.50mm(L*W*H),11W/m∙K",1000.000,2.00,ST,F,0,A3,0,L,,,1,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,1/22/19,6/5/19,311-0102,1A,"Thermal pad,4x4x0.5",1000.000,2.00,ST,F,0,A3,100,L,,,1,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,1/22/19,310-0490,1A,"Thermal Pad,6*4.5*1mm",1000.000,2.00,ST,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,1/22/19,310-0295,1A,"Thermal Pad,12.0*6.0*0.4",2000.000,2.00,ST,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,1/22/19,310-0485,1A,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",200.000,10.00,G,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,1/22/19,310-0251,1A,EMI shielding ring,2000.000,2.00,ST,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,10/26/18,1/22/19,330-0101,1B,"Label,rounded corner,white,blank,for Box",1000.000,2.00,ST,F,0,,0,L,,,,X,,5016
502-2049,1A,"Mod,CWDM4 ET(CLR4 Gen1_Ocl)(Ocl,No MPD)",1000,2,8/12/19,,504-1747,1A,"PCBA,100G CLR4 ET,prevent Vulcanization",1000.000,2.00,ST,F,0,A4,0,L,,,1,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,12/12/19,260-0141-02,2A,"BOSA Ass-BOM,CWDM4 V2.0(Weld+Oclaro DFB)",1000.000,0,ST,E,0,A2,100,L,,,1,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,12/12/19,1/9/20,260-0236,1D,"BOSA,CWDM4 COP V2.0,Amazon(Oclaro DFB)",1000.000,0,ST,E,0,A2,0,L,,,1,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,2/28/23,300-0150,1E,Housing body,1000.000,0.10,ST,F,0,,0,L,,,,X,,6010
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,12/5/22,300-0151,1D,Housing lid,1000.000,0.20,ST,F,0,,0,L,,,,X,,6010
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,2/28/23,300-0152,1E,Housing adapter,1000.000,0.10,ST,F,0,,0,L,,,,X,,6010
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,2/28/23,310-0573,1A,"Pull tab,green,for Cisco",1000.000,0.10,ST,F,0,,0,L,,,,X,,6010
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,6/30/22,302-0007,1B,TSLG Nylok Screw M1.4x0.3x4.63,2000.000,1.80,ST,F,0,,0,L,,,,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,6/30/22,302-0004,1B,TSLG Nylok Screw M1.4x0.3x5.45,2000.000,1.80,ST,F,0,,0,L,,,,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,2/28/23,310-0401,1C,"Dust cover EPDM,Duplex LC,Black",1000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,3/5/19,2/28/23,320-0284,1A,"Spring OD 1.5mm,l:7.3mm, W-D:0.2mm",2000.000,0.20,ST,F,0,,0,L,,,,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,7/18/19,3/30/21,330-0101,1B,"Label,rounded corner,white,blank,for Box",1000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,5/15/20,2/28/23,311-0276,1A,EMI PAD,2000.000,0,ST,F,0,,0,L,,,,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,5/15/20,2/28/23,311-0244,1A,"mylar,PC98,10.2X14X0.1MM",2000.000,0.20,ST,F,0,,0,L,,,,X,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,1/4/22,,310-0104,1A,"Epoxy,Innolight,T-002,10ml/支",115.000,0,ML,F,0,,0,L,,,,,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,1/4/22,,310-0485,1A,"Epoxy,Laird ID-CSS-E-SNL60(50G/管)",87.000,0,G,F,0,,0,L,,,,,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,1/4/22,,313-0039,1A,"Silicon,Innolight,SN-611,30ml/支",63.000,0,ML,F,0,,0,L,,,,,,5016
502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000,1,1/4/22,,313-0043,1A,"Epoxy,Innolight,UV-114,3ml/支",17.000,0,ML,F,0,,0,L,,,,,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,,502-2109,1C,"Mod Ass-Bom,CWDM4 V2,Cisco(Weld+Ocl DFB)",1000.000,0,ST,E,0,,0,N,,,,,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,,611-1036,1C,"(QSFP28 CWDM4,for Cisco)Serial ID file",1000.000,0,ST,E,0,,0,N,,,,,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,,612-0391,1B,"(QSFP28 CWDM4 V2.0,for Cisco)A/W",1000.000,0,ST,E,0,,0,N,,,,,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,,613-1156,1C,"(QSFP28 CWDM4,for Cisco)label printing",1000.000,0,ST,E,0,,0,N,,,,,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,,617-0012,1A,"(QSFP28 CWDM4 V2.0,Cisco)EEPROM Data",1000.000,0,ST,E,0,,0,N,,,,,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,5/25/21,621-008D,1D,"F/W,QSFP28 CWDM4 With Maxim&Semtech",1000.000,0,ST,E,0,,0,N,8D0E,,,,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,4/21/23,330-0025,1A,"Label,150*100*0.1,white,bk,ESK outer box",125.000,0,ST,F,0,,0,L,,,,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,4/21/23,330-0194,1A,"Label,60×40mm,white,blank,pack label",125.000,0,ZPC,F,0,,0,L,,,,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,4/21/23,330-0273,1A,"Label,24.0*8.0*0.1mm,blank,Ass lin",1000.000,0,ST,F,0,,0,L,,,,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,4/21/23,330-0403,1A,"Label,25*13,Cisco BP:473-00014-05(TMG9)",1000.000,0,ST,F,0,,0,L,,,,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,4/21/23,350-0484,1A,"Packing Tray,319.2*190*19,4PCS,#2",250.000,0,ST,F,0,,0,L,,,,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,4/21/23,351-0009,1A,"Carton,194*170*221mm",25.000,0,ST,F,0,A1,100,L,,,1,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,4/21/23,351-0010,1A,"Paperboard,191*167*3mm",250.000,0,ST,F,0,,0,L,,,,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,3/5/19,4/21/23,351-0011,1A,"Packaging box,Pizza,192*169*45mm,8pcs",125.000,0,ST,F,0,A1,0,L,,,1,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,4/21/23,,351-0012,1A,"Packaging box,Pizza,192*169*89mm",62.500,0,ST,F,0,A1,0,L,,,1,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,4/21/23,,351-0013,1A,"Packaging box,Carton,194*170*185mm,32pcs",31.250,0,ST,F,0,A1,0,L,,,1,X,,5016
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,4/21/23,,602-1137,1A,"FQC Test plan,QSFP28 CWDM4 Lite,Cisco",1000.000,0,ST,E,0,,0,N,,,,X,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,4/21/23,,601-1301,1A,"(CWDM4 Lite,Cisco)LP&FMT testplan",1000.000,0,ST,E,0,,0,N,,,,X,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,4/21/23,,601-1302,1A,"(CWDM4 Lite,Cisco)FMT test plan",1000.000,0,ST,E,0,,0,N,,,,X,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,4/21/23,,671-0021,1A,CWDM4 Without MPD QuickCheck test plan,1000.000,0,ST,E,0,,0,N,,,,X,,
500-4537,1C,"100G QSFP28 CWDM4 COP,Cisco(Oclaro DFB)",1000,1,4/21/23,,607-0040,1A,ATS D&E TR-IQ13L-N72 QSFP+ PSM LR4 V3 C3,1000.000,0,ST,E,0,,0,N,,,,X,,
500-4587,1C,"100G CWDM4 V2,Raisecom(Weld version+Ocl)",1000,1,4/16/19,,502-1783-02,2B,"Module Ass-Bom,CWDM4 V2.0(Weld+Ocla DFB)",1000.000,0,ST,E,0,,0,N,,,,,,
500-4587,1C,"100G CWDM4 V2,Raisecom(Weld version+Ocl)",1000,1,4/16/19,,601-1814,1A,"LP&FMT test plan,CWDM4 COP,for Raisecom",1000.000,0,ST,E,0,,0,N,,,,,,
