Plant,PN,Description,版次,单位,MRP控制者,MRP控制者描述,JIT进料周期,最小起订量,最小包装量,计划类型,机种,采购员,采购员描述,MRP库存,审核中的PRPO,执行中PO,ITEM,20240317,20240324,20240331,20240407,20240414,20240421,20240428,20240505,20240512,20240519,20240526,20240602,20240707,20240804,20240901,20241006
1000,280-0607,"Pin PD,1x4,25Gbps Long Wavelength InGaAs",1A,PC,090,E2216J陆雪娟,62,1,1,PD,F36 M16,A07,吕文悦,12828,0,16794,PMC,0,0,0,351.000,351.000,351.000,351.000,1034.000,1034.000,1034.000,1034.000,5275.000,5276.000,5172.000,4035.000,2488.000
1000,280-0650,TX receptacle,1C,PC,090,E2216J陆雪娟,66,100,100,PD,,A04,李宗洋,9463,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,280-0655,1x4 25G PIN(150um thickness),1A,PC,085,E19G58崔丽丽,69,1,1,PD,,A07,吕文悦,74643,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,280-0701,"RX Z-Block,P0.75,8 deg incident",1B,PC,044,E12059习红梅,45,100,100,PD,J26,A04,李宗洋,35730,0,54246,PMC,666.000,666.000,668.000,9325.000,9325.000,9325.000,9325.000,7412.000,7412.000,7412.000,7407.000,37440.000,31200.000,20800.000,20800.000,20800.000
1000,280-0739,"Avago,28 Gb/s Oxide VCSEL",1A,PC,056,T21246张鲁,62,10000,1000,PD,G20,A07,吕文悦,683,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,280-0793,"8-CH lens,TFC/Tsuois",1A,PC,056,T21246张鲁,45,100,100,PD,F36,A04,李宗洋,1645,0,3500,PMC,0,0,0,1800.000,1800.000,0,0,1100.000,1000.000,1100.000,1300.000,6500.000,4200.000,2900.000,1900.000,300.000
1000,280-0897,"Light path lift,73.3deg,2.54*3.15*1.27mm",1A,PC,090,E2216J陆雪娟,52,100,100,PD,,A10,王紫慧,0,0,4700,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,280-0898,"Tilt Prism PEI Lens,14.45deg* 4.86 deg",1B,PC,090,E2216J陆雪娟,52,100,100,PD,F50,A10,王紫慧,10012,0,323,PMC,0,0,0,0,0,0,0,574.000,574.000,574.000,572.000,2545.000,2548.000,2548.000,1225.000,1224.000
1000,280-0992,"Field lens spacer 2,0.5*0.4*0.245mm",1B,PC,090,E2216J陆雪娟,52,100,100,PD,,A10,王紫慧,0,50000,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,280-1011,"Silicon Field Lens,R0.3,1.75*0.34*0.275",1B,PC,090,E2216J陆雪娟,52,100,100,PD,F50,A04,李宗洋,5404,0,0,PMC,0,0,0,0,0,0,0,584.000,584.000,584.000,582.000,2590.000,2592.000,2592.000,1245.000,1244.000
1000,280-1018,25G GaAs 1x4PIN array,1A,PC,085,E19G58崔丽丽,62,1,1,PD,,A07,吕文悦,0,0,2,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,283-0019,25Gb/s 1x4 Array Oxide VCSEL low power,1A,PC,085,E19G58崔丽丽,93,1000,1000,PD,F28 F29,A07,吕文悦,0,0,273000,PMC,9000.000,0,0,2000.000,0,0,0,1349.000,1349.000,1349.000,1349.000,2140.000,2140.000,2140.000,2140.000,0
1000,283-0029,"VCSEL,4ch VISEL for 25Gbps optical",1A,PC,085,E19G58崔丽丽,93,1,1,PD,F28 M90 F29,A07,吕文悦,0,0,253958,PMC,26989.000,26989.000,26990.000,7911.000,7911.000,7911.000,7914.000,7219.000,7219.000,7219.000,7219.000,31220.000,26682.000,26682.000,26685.000,25458.000
1000,283-0046-27,"Chip,25Gbps DFB laser diode,1270nm",1A,PC,090,E2216J陆雪娟,76,1,1,PD,F13,A14,侯双,0,0,52888,PMC,0,0,0,19378.000,0,0,0,0,0,288.000,4600.000,24150.000,20550.000,11660.000,9240.000,8800.000
1000,283-0046-29,"Chip,25Gbps DFB laser diode,1290nm",1A,PC,090,E2216J陆雪娟,76,1,1,PD,F13,A14,侯双,0,0,40564,PMC,0,0,0,10029.000,0,0,0,0,0,0,0,16714.000,20550.000,11660.000,9240.000,8800.000
1000,283-0046-31,"Chip,25Gbps DFB laser diode,1310nm",1A,PC,090,E2216J陆雪娟,76,1,1,PD,F13,A14,侯双,13409,0,157523,PMC,18349.000,18349.000,18350.000,6674.000,6674.000,6674.000,6676.000,5750.000,5750.000,5750.000,4600.000,24150.000,20550.000,12120.000,11655.000,11100.000
1000,283-0046-33,"Chip,25Gbps DFB laser diode,1330nm",1A,PC,090,E2216J陆雪娟,76,1,1,PD,F13,A14,侯双,0,0,58539,PMC,189.000,0,0,24840.000,0,0,0,0,189.000,5750.000,4600.000,24150.000,20550.000,11660.000,9240.000,8800.000
1000,283-0055,"Chip,1*25G VCSEL",1B,PC,056,T21246张鲁,62,1,1,ND,N06 M96 H28,A07,吕文悦,83666,0,0,PMC,0,0,0,0,0,0,0,0,0,2803.000,3097.000,12400.000,10264.000,10264.000,10265.000,10264.000
1000,283-0098,"Pin PD Array,4*25Gbps,250um ptich",1A,PC,090,E2216J陆雪娟,62,100,1,PD,F50,A07,吕文悦,1368,0,6570,PMC,252.000,252.000,252.000,713.000,713.000,713.000,713.000,584.000,584.000,584.000,582.000,2590.000,2592.000,2592.000,1245.000,1244.000
1000,287-0003,Isolator D2.5mm CA 0.7 single 7degree,1B,PC,090,E2216J陆雪娟,52,100,100,PD,F50,A05,薛凤,11151,0,3700,PMC,0,0,0,0,0,0,0,552.000,552.000,552.000,549.000,2450.000,2450.000,2450.000,1176.000,1176.000
1000,300-0144,Housing Body,1D,PC,085,E19G58崔丽丽,45,1000,100,PD,G10 F28,A06,李跃红,3365,0,26753,PMC,3933.000,3933.000,3934.000,3750.000,3750.000,3750.000,3750.000,3163.000,3163.000,3163.000,3155.000,10960.000,12884.000,8860.000,8850.000,8860.000
1000,300-0145,Housing Lid,1E,PC,085,E19G58崔丽丽,45,1000,100,PD,,A06,李跃红,23588,0,43335,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,300-0168,Housing body,1C,PC,087,E16680郑路路,45,1000,100,PD,F16,A06,李跃红,0,0,8500,PMC,0,0,0,1333.000,1333.000,1334.000,0,933.000,933.000,933.000,927.000,3730.000,3726.000,3726.000,1315.000,1287.000
1000,300-0169,Housing lid,1B,PC,087,E16680郑路路,45,1000,100,PD,F16,A06,李跃红,0,0,8500,PMC,500.000,0,0,1233.000,1233.000,1234.000,0,933.000,933.000,933.000,927.000,3730.000,3726.000,3726.000,1315.000,1287.000
1000,300-0180,Housing adapter,1C,PC,087,E16680郑路路,45,1000,100,PD,F16,A06,李跃红,0,0,8500,PMC,0,0,0,1850.000,1850.000,0,0,933.000,933.000,933.000,927.000,3730.000,3726.000,3726.000,1315.000,1287.000
1000,300-0195,"Housing lid,for PSNT",1B,PC,073,E14098张丽,45,1000,100,PD,,A06,李跃红,8660,0,8700,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,300-0211,Housing body,1B,PC,087,E16680郑路路,38,1000,100,PD,F50,A06,李跃红,648,0,1604,PMC,700.000,0,0,200.000,200.000,200.000,0,261.000,261.000,261.000,257.000,1995.000,2000.000,2000.000,1995.000,960.000
1000,300-0212,Housing lid,1A,PC,087,E16680郑路路,38,1000,100,PD,F50,A06,李跃红,770,0,1328,PMC,600.000,0,0,200.000,200.000,200.000,0,261.000,261.000,261.000,257.000,1995.000,2000.000,2000.000,1995.000,960.000
1000,300-0213,Housing body,1B,PC,056,T21246张鲁,45,1000,100,PD,G10 M96,A06,李跃红,1702,0,5175,PMC,300.000,300.000,300.000,950.000,950.000,950.000,950.000,603.000,603.000,603.000,595.000,410.000,420.000,420.000,410.000,420.000
1000,300-0214,Housing lid,1A,PC,056,T21246张鲁,45,1000,100,PD,G10 M96,A06,李跃红,3539,1000,2000,PMC,0,0,0,650.000,650.000,650.000,650.000,603.000,603.000,603.000,595.000,410.000,420.000,420.000,410.000,420.000
1000,300-0316,"Housing Body,COST DOWN",1A,PC,085,E19G58崔丽丽,62,1000,100,PD,F29,A06,李跃红,4090,0,14210,PMC,0,0,0,4800.000,4800.000,0,0,2398.000,2398.000,2398.000,2396.000,9590.000,9590.000,9590.000,9590.000,9590.000
1000,300-0317,"Housing LID,COST DOWN",1B,PC,085,E19G58崔丽丽,62,1000,100,PD,F29,A06,李跃红,3572,0,10388,PMC,0,0,0,9100.000,0,0,0,2403.000,2403.000,2403.000,2401.000,9610.000,9610.000,9610.000,9610.000,9610.000
1000,300-0355,Housing lid,1B,PC,085,E19G58崔丽丽,45,1000,100,PD,G10 F28,A06,李跃红,1084,0,29065,PMC,4700.000,4700.000,4700.000,3750.000,3750.000,3750.000,3750.000,3163.000,3163.000,3163.000,3155.000,10960.000,12960.000,8868.000,8855.000,8868.000
1000,302-0004,TSLG Nylok Screw M1.4x0.3x5.45,1B,PC,090,E2216J陆雪娟,59,1000,1000,PD,M49 I44 I55 M66 M22 M07 M42 I15 J06 M57 I45 F50 I59 I64,A06,李跃红,395068,0,506000,PMC,119666.000,119666.000,119668.000,190000.000,190000.000,190000.000,190000.000,154417.000,154417.000,154417.000,154377.000,709600.000,767012.000,715412.000,685245.000,572004.000
1000,302-0006,TSLG Nylok Screw M1.7x0.35x4.5x6,1A,PC,085,E19G58崔丽丽,45,1000,1000,PD,G10 F04 F36 M48 F28 M05 M16,A06,李跃红,27030,0,38100,PMC,5333.000,5333.000,5334.000,10500.000,10500.000,10500.000,10500.000,8253.000,8253.000,8253.000,8233.000,29620.000,31004.000,22300.000,22300.000,21040.000
1000,302-0007,TSLG Nylok Screw M1.4x0.3x4.63,1B,PC,090,E2216J陆雪娟,59,1000,1000,PD,I44 M66 I50 I45 F50 M27,A06,李跃红,146174,0,87000,PMC,12666.000,12666.000,12668.000,61250.000,61250.000,61250.000,61250.000,49915.000,49915.000,49915.000,49907.000,228080.000,258440.000,283088.000,283090.000,281744.000
1000,302-0008,"Nylok Flat head screw,SUS304,M1.7x8",1A,PC,056,T21246张鲁,45,1000,1000,PD,M96 G10,A06,李跃红,31230,0,0,PMC,0,0,0,0,0,0,0,1228.000,1228.000,1228.000,1212.000,845.000,864.000,864.000,845.000,864.000
1000,310-0166,"advanced thermal pad,5*5*1.0mm",1A,PC,085,E19G58崔丽丽,62,1000,100,PD,G10 B12 F28 B10 B49 F29,A16,辛帆,7466,0,20600,PMC,5833.000,5833.000,5834.000,7125.000,7125.000,7125.000,7125.000,5992.000,5992.000,5992.000,5982.000,22880.000,25070.000,20214.000,20200.000,20214.000
1000,310-0167,"advanced thermal pad,4*4*1.0mm",1A,PC,047,E18B27晁沙沙,45,1,1,PD,,A16,辛帆,29066,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,310-0228,"Pull tab,BLACK",1B,PC,056,T21246张鲁,45,1000,100,PD,G10 M96,A06,李跃红,985,1000,5000,PMC,533.000,533.000,534.000,1000.000,1000.000,1000.000,1000.000,607.000,607.000,607.000,599.000,420.000,428.000,428.000,420.000,428.000
1000,310-0229,Press plate,1A,PC,056,T21246张鲁,45,1000,100,PD,M96 G10,A06,李跃红,1096,2000,4000,PMC,500.000,500.000,500.000,1000.000,1000.000,1000.000,1000.000,607.000,607.000,607.000,599.000,420.000,428.000,428.000,420.000,428.000
1000,310-0241,protection cover,1A,PC,056,T21246张鲁,45,1000,100,PD,M96 G10,A06,李跃红,61180,45000,0,PMC,0,0,0,0,0,0,0,610.000,610.000,610.000,601.000,410.000,420.000,420.000,410.000,420.000
1000,310-0251,EMI shielding ring,1A,PC,087,E16680郑路路,38,1000,100,PD,F50,A06,李跃红,858,1000,1600,PMC,1800.000,0,0,466.000,466.000,468.000,0,522.000,522.000,522.000,514.000,3990.000,4000.000,4000.000,3990.000,1920.000
1000,310-0295,"Thermal Pad,12.0*6.0*0.4",1A,PC,047,E18B27晁沙沙,45,1000,100,PD,F04 F36 M48 M05 M16,A16,辛帆,13814,0,4414,PMC,0,0,0,2600.000,2600.000,2600.000,2600.000,1926.000,1994.000,2044.000,2034.000,8170.000,9166.000,9166.000,9170.000,7906.000
1000,310-0300,"EMI Gasket,12*6.5*0.13mm",1A,PC,056,T21246张鲁,45,1000,100,PD,M96 G10,A16,辛帆,107609,0,135600,PMC,0,0,0,0,0,0,0,607.000,607.000,607.000,599.000,420.000,428.000,428.000,420.000,428.000
1000,310-0357,"Pull Tab+Lach,Beige color",1B,PC,085,E19G58崔丽丽,62,1000,100,PD,G10,A06,李跃红,5103,0,0,PMC,0,0,0,0,0,0,0,99.000,99.000,99.000,97.000,0,0,0,0,0
1000,310-0362,"Lens Clamp For SR4 V3,SUS301 1/2H,0.2mm",1A,PC,085,E19G58崔丽丽,45,1000,100,PD,F49 G10 F28,A06,李跃红,15199,6000,2360,PMC,0,0,0,3750.000,3750.000,3750.000,3750.000,3164.000,3164.000,3164.000,3156.000,10960.000,12972.000,8880.000,8870.000,8880.000
1000,310-0370,"Thermal Pad,gray,6.0*6.0*0.5mm",1A,PC,085,E19G58崔丽丽,45,1000,100,PD,,A16,辛帆,20585,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,310-0376,"EMI Pad,Gray,3.6*3.6*1.0mm",1B,PC,085,E19G58崔丽丽,62,1000,100,PD,F49 M90 F29,A16,辛帆,22988,0,44700,PMC,0,0,0,100.000,0,0,0,4796.000,4796.000,4796.000,4792.000,19180.000,19180.000,19180.000,19180.000,19180.000
1000,310-0401,"Dust cover EPDM,Duplex LC,Black",1C,PC,090,E2216J陆雪娟,59,1000,100,PD,I44 B14 M49 M42 B12 J06 M57 F50 B10 M41 F16 B49 F09 F13,A16,辛帆,28105,0,82625,PMC,11300.000,11300.000,11300.000,40125.000,40125.000,40125.000,40125.000,12547.000,27269.000,34242.000,34229.000,260765.000,238711.000,250211.000,284010.000,246545.000
1000,310-0440,"MPO dust cover,Silicon rubber,black",2A,PC,085,E19G58崔丽丽,62,1000,100,PD,D03 F04 F36 M05 M16 F29,A16,辛帆,18845,0,5600,PMC,0,0,0,1700.000,1700.000,1700.000,1700.000,3145.000,3145.000,3145.000,3138.000,12575.000,13073.000,13073.000,13075.000,13543.000
1000,310-0474,"Thermal Pad,Sarcon,white,3*3*1mm",1A,PC,056,T21246张鲁,45,1000,100,PD,M96 G10,A16,辛帆,-7907,0,20800,PMC,5233.000,5233.000,5234.000,3775.000,3775.000,3775.000,3775.000,1821.000,1821.000,1821.000,1797.000,1255.000,1284.000,1284.000,1255.000,1284.000
1000,310-0571,Clamp,1B,PC,087,E16680郑路路,38,1000,100,PD,F50,A06,李跃红,1448,0,1000,PMC,0,0,0,166.000,166.000,168.000,0,261.000,261.000,261.000,257.000,1995.000,2000.000,2000.000,1995.000,960.000
1000,311-0005,"EMI Pad,10.4X2.0X1.5",1A,PC,056,T21246张鲁,45,1000,100,PD,M96 G10,A16,辛帆,-1526,0,6600,PMC,1366.000,1366.000,1368.000,1175.000,1175.000,1175.000,1175.000,605.000,605.000,605.000,597.000,415.000,424.000,424.000,415.000,424.000
1000,311-0207,"Thermal Pad,13.5*13.5*1mm",1A,PC,085,E19G58崔丽丽,62,1000,100,PD,G10 F28 F29,A16,辛帆,8088,0,19600,PMC,4733.000,4733.000,4734.000,6600.000,6600.000,6600.000,6600.000,5561.000,5561.000,5561.000,5551.000,20550.000,22842.000,18490.000,18480.000,18490.000
1000,311-0244,"mylar,PC98,10.2X14X0.1MM",1A,PC,090,E2216J陆雪娟,59,1000,1000,PD,F09 F13,A16,辛帆,0,0,0,PMC,2000.000,0,0,14000.000,0,0,0,2696.000,2696.000,2696.000,2696.000,17035.000,17036.000,17036.000,17035.000,17036.000
1000,311-0436,"EMI Composite Tape,15.0*5.7*0.08mm",1A,PC,090,E2216J陆雪娟,59,1000,1000,PD,M22 M41,A16,辛帆,57920,0,155690,PMC,28000.000,0,0,77666.000,77666.000,77668.000,0,39794.000,39794.000,39794.000,39790.000,371855.000,294112.000,294112.000,367640.000,294112.000
1000,312-0008,protection cover A halogen,1A,PC,056,T21246张鲁,45,1000,100,PD,,A16,辛帆,0,0,7395,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,320-0109,MPO adapter,2C,PC,085,E19G58崔丽丽,62,1000,100,PD,F04 F36 M48 M05 M16 F29,A06,李跃红,15427,0,2000,PMC,0,0,0,2850.000,2850.000,2850.000,2850.000,3420.000,3420.000,3420.000,3413.000,13675.000,14173.000,14173.000,14175.000,13543.000
1000,320-0128,"EMI Finger,SUS301",1B,PC,056,T21246张鲁,45,1000,100,PD,B14 M96 G10,A06,李跃红,16250,0,28496,PMC,4200.000,4200.000,4200.000,3375.000,3375.000,3375.000,3375.000,2621.000,3393.000,3393.000,3380.000,11535.000,10976.000,8884.000,8880.000,8884.000
1000,320-0248,"Spring,SUS304,Ø1.5x0.2x4.5",1A,PC,056,T21246张鲁,45,1000,1000,PD,M96 G10,A06,李跃红,-1472,45000,7000,PMC,1666.000,1666.000,1668.000,1000.000,1000.000,1000.000,1000.000,614.000,614.000,614.000,606.000,420.000,428.000,428.000,420.000,428.000
1000,320-0284,"Spring OD 1.5mm,l:7.3mm, W-D:0.2mm",1A,PC,090,E2216J陆雪娟,59,1000,1000,PD,M46 J35 I72 M49 J30 M30 I44 M73 M34 I23 M22 M42 G10 I15 M57 I45 I43 F04 F36 M48 F28 F50 I59 M27 M05 M16 M41 F16 F09 F29 F13,A06,李跃红,587785,0,427000,PMC,133333.000,133333.000,133334.000,222500.000,222500.000,222500.000,222500.000,139884.000,184599.000,188443.000,188373.000,942970.000,846671.000,855803.000,956980.000,828493.000
1000,320-0328,"Guide Pin MM,SUS420J2F,M0.698*6.5L,多模",1A,PC,085,E19G58崔丽丽,45,1000,1000,PD,,A10,王紫慧,0,0,1000,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,320-0493,Receptacle z ring,1A,PC,090,E2216J陆雪娟,66,100,100,PD,,A05,薛凤,9548,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,320-0614,"RX CB lens holder,6.5x2.7x1.65mm,",1C,PC,087,E16680郑路路,38,100,100,PD,F50,A05,薛凤,1115,0,3814,PMC,66.000,66.000,68.000,500.000,500.000,500.000,500.000,543.000,543.000,543.000,540.000,2550.000,2552.000,2552.000,1225.000,1224.000
1000,321-0173,"LC Metal Plug b,SUS304",1A,PC,090,E2216J陆雪娟,45,100,100,PD,F31,A05,薛凤,100,0,0,PMC,100.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000,341-0036,"Pressing,17.06x13mm",1A,PC,085,E19G58崔丽丽,45,1000,100,PD,,A06,李跃红,100880,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,140-0848,"IC,bare Die,4x25G Driver",1A,PC,085,E19G58崔丽丽,69,108,1,PD,F28 M90 F29,A03,徐敏,69633,0,98605,PMC,0,0,0,7404.000,7404.000,7404.000,7406.000,8474.000,8474.000,8474.000,8474.000,32995.000,28502.000,28502.000,28505.000,25170.000
2000,140-0849,"IC,bare Die,4x25G TIA",1A,PC,085,E19G58崔丽丽,69,108,1,PD,F28 M90 F29,A03,徐敏,66634,0,113211,PMC,0,0,0,8154.000,8154.000,8154.000,8155.000,8474.000,8474.000,8474.000,8474.000,32995.000,28502.000,28502.000,28505.000,25170.000
2000,140-0851,"IC,25Gb/s,Quad-Channel,Vpp<900mV",1A,PC,090,E2216J陆雪娟,76,100,1,PD,F37 F30,A03,徐敏,33833,0,0,PMC,0,0,0,1898.000,1898.000,1898.000,1901.000,3587.000,3587.000,3587.000,3587.000,10110.000,5068.000,5068.000,5065.000,5068.000
2000,220-0072,MT Ferrule Connector /MM(OM3),1D,PC,085,E19G58崔丽丽,45,100,100,PD,F29 M90,A10,王紫慧,15622,33000,3703,PMC,4400.000,4400.000,4400.000,5575.000,5575.000,5575.000,5575.000,5645.000,5645.000,5645.000,5645.000,19355.000,19356.000,19356.000,19355.000,16028.000
2000,220-0227,MT Ferrule Conn/MM(OM3),1A,PC,085,E19G58崔丽丽,45,100,100,PD,F28,A04,李宗洋,1260,0,1300,PMC,33.000,33.000,34.000,375.000,375.000,375.000,375.000,305.000,305.000,305.000,305.000,1470.000,987.000,987.000,985.000,987.000
2000,280-0431,"recptacle side C-lens,R1.65*D1.8*T1.7",1B,PC,090,E2216J陆雪娟,66,100,100,PD,F30 F37 F16 F13,A10,王紫慧,118387,19200,64840,PMC,19166.000,19166.000,19168.000,30600.000,30600.000,30600.000,30600.000,26526.000,26526.000,28910.000,28898.000,95128.000,54681.000,41114.000,46712.000,28050.000
2000,280-0489,850nm 25G 1*4 PD,1A,PC,085,E19G58崔丽丽,62,1,1,PD,,A07,吕文悦,108515,0,0,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,280-0511-03,"Clens,3dB(R1.419xD1.4xT1.7)",1A,PC,090,E2216J陆雪娟,45,100,100,PD,F37,A10,王紫慧,6507,0,0,PMC,0,0,0,0,0,0,0,55.000,55.000,55.000,55.000,220.000,220.000,220.000,220.000,212.000
2000,280-0511-04,"Clens,4dB(R1.419xD1.4xT1.7)",1A,PC,090,E2216J陆雪娟,45,100,100,PD,F37,A10,王紫慧,1937,0,2740,PMC,0,0,0,0,0,0,0,109.000,109.000,109.000,109.000,440.000,436.000,436.000,440.000,420.000
2000,280-0511-05,"Clens,5dB(R1.419xD1.4xT1.7)",1A,PC,090,E2216J陆雪娟,45,100,100,PD,F37,A10,王紫慧,3174,0,2500,PMC,0,0,0,200.000,200.000,200.000,200.000,545.000,545.000,545.000,545.000,2180.000,2180.000,2180.000,2180.000,2096.000
2000,280-0574,ALN 0.3mm*0.3mm*0.127mmtwo-side plated,1C,PC,087,E16680郑路路,45,35000,35000,PD,F16,A02,唐莹,51029,0,69914,PMC,0,0,0,17500.000,17500.000,17500.000,17500.000,7119.000,7119.000,7119.000,7115.000,26438.000,20340.000,10576.000,10578.000,10576.000
2000,280-0587,25G PD,1A,PC,056,T21246张鲁,62,8000,8000,PD,M96,A07,吕文悦,14621,8000,33145,PMC,4000.000,4000.000,0,2000.000,2000.000,2000.000,2000.000,2832.000,2832.000,2832.000,2830.000,11325.000,9098.000,9098.000,9100.000,9098.000
2000,280-0607,"Pin PD,1x4,25Gbps Long Wavelength InGaAs",1A,PC,090,E2216J陆雪娟,62,1,1,PD,M41 J05 F16 F13,A07,吕文悦,117466,0,591918,PMC,29555.000,29555.000,29556.000,62345.000,62345.000,62345.000,62347.000,49808.000,49808.000,49808.000,49806.000,233385.000,193590.000,177731.000,202430.000,165198.000
2000,280-0650,TX receptacle,1C,PC,090,E2216J陆雪娟,66,100,100,PD,F16 F30 F13,A04,李宗洋,8544,0,208231,PMC,45033.000,45033.000,45034.000,26025.000,26025.000,26025.000,26025.000,21785.000,21785.000,24133.000,24133.000,85289.000,45060.000,31094.000,36487.000,28282.000
2000,280-0695,TX Devide Side C-Lens Holder 2.2*1.8*3,1C,PC,090,E2216J陆雪娟,45,100,100,PD,F30 F13 F37,A10,王紫慧,110473,53300,226440,PMC,29300.000,29300.000,29300.000,60350.000,60350.000,60350.000,60350.000,49550.000,49550.000,49550.000,49550.000,172980.000,135200.000,97384.000,72200.000,62928.000
2000,280-0696,TIA Submount,1B,PC,090,E2216J陆雪娟,62,100000,1,PD,F13,A02,唐莹,23628,0,61552,PMC,7199.000,7199.000,7200.000,7538.000,7538.000,7538.000,7539.000,6282.000,6282.000,6282.000,6282.000,25125.000,25128.000,15076.000,10050.000,10052.000
2000,280-0698,"TX Receptacle side periscope,43.86deg",1A,PC,090,E2216J陆雪娟,59,100,100,PD,F13,A10,王紫慧,-25094,6600,53883,PMC,49200.000,0,0,10850.000,10850.000,10850.000,10850.000,5655.000,5655.000,6818.000,6818.000,27268.000,11816.000,9898.000,12625.000,8585.000
2000,280-0702,"Tilt prism,3.15*1.47*1.2,14.93&5.19deg",1B,PC,087,E16680郑路路,38,100,100,PD,F16,A10,王紫慧,15487,0,31900,PMC,3433.000,3433.000,3434.000,4500.000,4500.000,4500.000,4500.000,3750.000,3750.000,3750.000,3750.000,14000.000,9751.000,5071.000,5071.000,5071.000
2000,280-0704,F1.831 G-lens,1B,PC,087,E16680郑路路,38,100,100,PD,F16,A04,李宗洋,14827,0,21400,PMC,1366.000,1366.000,1368.000,4325.000,4325.000,4325.000,4325.000,3810.000,3810.000,3810.000,3810.000,14225.000,9910.000,5155.000,5156.000,5155.000
2000,280-0705,"Reflecting Prism,2.4*0.8*0.7,HR coating",1B,PC,087,E16680郑路路,38,100,100,PD,,A10,王紫慧,15275,0,9499,PMC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
