类,交货,项目,类别,创建者,时间,创建日期,PN,已输入物料,物料组,Plant,Storage,批次,供应商批次,客户物料号,产品模式,Quantity_Delivered,计,SU,分子,分母,净重量,毛重,WUn,业务量,VUn,PD,无限制,过量交货限度,交货不足限度,BS,冻结,Mat.Av.Dt.,Quantity,Description,仓位,起始凭证,项目,凭证,PrDocLogSys,参考凭证,参考项,U,上层项,BilRl,LGrp,运输组
800,0080206872,10,ZTAN,BIZLINK,7:11:37 AM,2/1/24,500-3776-02,500-3776-02,500,1000,3013,,,TR-FC13T-N00,SM,4,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/1/24,4,"100G CWDM4 V2.0,Std(Welding+Oclaro DFB)",,,0,,,0010038937,10,X,0,K,0001,0001
800,0080208960,10,YKEN,ZHANGDL,9:39:58 AM,2/22/24,500-4639,500-4639,500,1000,3013,,,34060645-001,SM,4,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/22/24,4,"40G QSFP+ LR4 V3(CWDM4 Pla_Ocl,GCS)HT",,,0,,,0040019198,1,X,0,K,0001,0001
800,0080209236,10,ZTAN,BIZLINK,4:38:03 PM,2/23/24,561-0026,561-0026,561,1000,3013,,,740-061408,SM,4,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/23/24,4,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",,,0,,,0010039258,40,X,0,K,0001,0001
800,0080206491,10,YKEN,BIZLINK,2:03:10 PM,1/30/24,500-5391-002,500-5391-002,500,1000,3013,,,10-3173-04,MM,5,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,5,Q28 AOC G3 2m Sony Vcsel Cisco,,,0,,,0040019069,10,X,0,K,0001,0001
800,0080207499,30,ZTAN,WANGZB,3:05:35 PM,2/6/24,500-6161,500-6161,500,1000,3013,,,3406A079,SM,5,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/6/24,5,"40G QSFP+ LR4 V3.0(100G CWDM4 Ocl),UNIS",,,0,,,0010038227,30,X,0,K,0001,0001
800,0080210210,10,YKEN,BIZLINK,9:49:40 AM,2/29/24,500-5391-030,500-5391-030,500,1000,3013,,,10-3181-04,MM,5,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,5,Q28 AOC G3 30m Sony Vcsel Cisco,,,0,,,0040019458,40,X,0,K,0001,0001
800,0080210318,10,YKEN,ZHANGDL,11:32:15 AM,2/29/24,500-5550,500-5550,500,1000,3013,,,34061299,SM,5,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,5,"100G QSFP28 CWDM4 Gen3,HT,SEI DFB",,,0,,,0040019506,1,X,0,K,0001,0001
800,0080201896,10,YKBN,BIZLINK,10:56:33 AM,1/9/24,500-5614-020,500-5614-020,500,1000,3013,,,10-3179-04,MM,6,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/9/24,6,Q28 AOC G3 20m BRCM Vcsel Cisco,,,0,,,0020017747,1150,X,0,,0001,0001
800,0080210287,10,YKEN,BIZLINK,11:14:36 AM,2/29/24,500-5614-020,500-5614-020,500,1000,3013,,,10-3179-04,MM,6,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,6,Q28 AOC G3 20m BRCM Vcsel Cisco,,,0,,,0040019491,1150,X,0,K,0001,0001
800,0080207500,40,ZTAN,WANGZB,3:06:10 PM,2/6/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,7,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/6/24,7,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010038227,60,X,0,K,0001,0001
800,0080201881,10,ZTAN,BIZLINK,10:04:11 AM,1/2/24,500-4925,500-4925,500,1000,3013,,,TR-FC85S-N00,MM,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/5/24,8,"100G SR4 Gen3,Avago LP Vcsel array,Stan",,,0,,,0010038038,10,X,0,K,0001,0001
800,0080202548,10,ZTAN,BIZLINK,12:25:59 PM,1/6/24,500-4925,500-4925,500,1000,3013,,,TR-FC85S-N00,MM,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/12/24,8,"100G SR4 Gen3,Avago LP Vcsel array,Stan",,,0,,,0010038040,10,X,0,K,0001,0001
800,0080203034,10,YKEN,ZHANGDL,4:33:45 PM,1/9/24,500-4752,500-4752,500,1000,3013,,,34060645-002,SM,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/9/24,8,"QSFP+ LR4 V3.0 Ocl,GCS)HT(34060645-002)",,,0,,,0040018774,1,X,0,K,0001,0001
800,0080203806,10,ZTAN,HURN,9:43:45 AM,1/15/24,500-4188,500-4188,500,1000,3013,,,ZXS-QPFCZZMR-00,,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,8,"QSFP28 SR4 16GFC Macom Driver,Coriant",,,0,,,0010032079,10,X,0,K,0001,0001
800,0080203807,10,ZTAN,HURN,9:44:36 AM,1/15/24,500-4188,500-4188,500,1000,3013,,,ZXS-QPFCZZMR-00,,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/15/24,8,"QSFP28 SR4 16GFC Macom Driver,Coriant",,,0,,,0010032080,10,X,0,K,0001,0001
800,0080205532,10,ZTAN,BIZLINK,3:03:47 PM,1/25/24,500-5481,500-5481,500,1000,3013,,,10-3142-03,MM,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/25/24,8,Q28 SR4 G3 100m Sony Vcsel Cisco,,,0,,,0010038698,40,X,0,K,0001,0001
800,0080207666,10,ZTAN,BIZLINK,9:31:36 AM,2/7/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/12/24,8,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038994,10,X,0,K,0001,0001
800,0080208523,10,ZTAN,BIZLINK,9:22:55 AM,2/19/24,500-4562,500-4562,500,1000,3013,,,TR-QQ13L-N00,SM,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/19/24,8,"40G QSFP+LR4 V3,CWDM4 S Platform_Ocl,Std",,,0,,,0010039163,10,X,0,K,0001,0001
800,0080210976,10,ZTAN,BIZLINK,2:21:56 PM,3/4/24,561-0120,561-0120,561,7000,3013,,,XCVR-Q00Z85,MM,8,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/4/24,8,"100G SR4 Gen3,Sem+Sony Vcsel,Cinea,TW",,,0,,,0010039335,10,X,0,K,0001,0001
800,0080210516,10,YKEN,BIZLINK,6:43:15 PM,2/29/24,500-5614-015,500-5614-015,500,1000,3013,,,10-3178-04,MM,9,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,9,Q28 AOC G3 15m BRCM Vcsel Cisco,,,0,,,0040019559,20,X,0,K,0001,0001
800,0080203209,10,ZTAN,WANGZB,4:01:28 PM,1/10/24,500-5989,500-5989,500,1000,3013,,,3406A04V,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/10/24,10,100G Q28 SR4 Gen3 Avago HP,,,0,,,0010037545,10,X,0,K,0001,0001
800,0080205938,10,YKBN,BIZLINK,6:31:29 PM,1/27/24,500-5391-007,500-5391-007,500,1000,3013,,,10-3176-04,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/27/24,10,Q28 AOC G3 7m Sony Vcsel Cisco,,,0,,,0020017747,580,X,0,,0001,0001
800,0080206072,10,ZTAN,BIZLINK,9:44:39 AM,1/29/24,500-4562,500-4562,500,1000,3013,,,TR-QQ13L-N00,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/29/24,10,"40G QSFP+LR4 V3,CWDM4 S Platform_Ocl,Std",,,0,,,0010038868,10,X,0,K,0001,0001
800,0080206180,10,ZTAN,BIZLINK,2:48:09 PM,1/29/24,500-5359,500-5359,500,1000,3013,,,TR-FD85S-N00,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/29/24,10,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038913,10,X,0,K,0001,0001
800,0080206236,10,YKEN,BIZLINK,7:59:53 PM,1/29/24,500-5614-030,500-5614-030,500,1000,3013,,,10-3181-04,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/29/24,10,Q28 AOC G3 30m BRCM Vcsel Cisco,,,0,,,0040018868,10,X,0,K,0001,0001
800,0080206469,10,YKEN,BIZLINK,2:02:11 PM,1/30/24,500-5391-003,500-5391-003,500,1000,3013,,,10-3174-04,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,10,Q28 AOC G3 3m Sony Vcsel Cisco,,,0,,,0040019047,10,X,0,K,0001,0001
800,0080206556,10,YKEN,BIZLINK,2:05:48 PM,1/30/24,500-5391-020,500-5391-020,500,1000,3013,,,10-3179-04,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,10,Q28 AOC G3 20m Sony Vcsel Cisco,,,0,,,0040019134,10,X,0,K,0001,0001
800,0080206689,10,ZTAN,BIZLINK,10:25:40 PM,1/30/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,10,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038919,10,X,0,K,0001,0001
800,0080207665,10,ZTAN,BIZLINK,9:31:35 AM,2/7/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/29/24,10,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038989,10,X,0,K,0001,0001
800,0080208700,10,ZTAN,BIZLINK,10:13:59 AM,2/20/24,500-4292,500-4292,500,1000,3013,,,TR-FC13T-N00,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/20/24,10,"100G CWDM4 V2.0,Std(Gen3 Mitsubishi DFB)",,,0,,,0010039103,10,X,0,K,0001,0001
800,0080208959,10,YKEN,ZHANGDL,9:39:51 AM,2/22/24,500-5550,500-5550,500,1000,3013,,,34061299,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/22/24,10,"100G QSFP28 CWDM4 Gen3,HT,SEI DFB",,,0,,,0040019197,1,X,0,K,0001,0001
800,0080210249,10,YKEN,BIZLINK,10:21:16 AM,2/29/24,500-5391-005,500-5391-005,500,1000,3013,,,10-3175-04,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,10,Q28 AOC G3 5m Sony Vcsel Cisco,,,0,,,0040019467,1140,X,0,K,0001,0001
800,0080210327,10,YKEN,BIZLINK,11:48:12 AM,2/29/24,500-5391-007,500-5391-007,500,1000,3013,,,10-3176-04,MM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,10,Q28 AOC G3 7m Sony Vcsel Cisco,,,0,,,0040019520,580,X,0,K,0001,0001
800,0080210594,10,YKBN,BIZLINK,11:02:39 AM,3/1/24,500-5499,500-5499,500,1000,3013,,,10-3145-02,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/1/24,10,"100G Q28 CWDM4 V2.0,Cisco(Weld+Mit DFB)",,,0,,,0020017862,80,X,0,,0001,0001
800,0080211604,10,ZTAN,BIZLINK,3:26:49 PM,3/7/24,500-4042,500-4042,500,1000,3013,,,TR-BC13T-N00,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/7/24,10,"100G CWDM4 BiDi,Std(Ocl+GCS PD+GN2110B)",,,0,,,0010039523,30,X,0,K,0001,0001
800,0080213695,10,ZTAN,WANGZB,9:28:17 PM,3/20/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,10,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010039012,10,X,0,K,0001,0001
800,0080213696,10,ZTAN,WANGZB,9:28:39 PM,3/20/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,10,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010039012,20,X,0,K,0001,0001
800,0080213697,10,ZTAN,WANGZB,9:28:50 PM,3/20/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,10,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010039012,30,X,0,K,0001,0001
800,0080213698,10,ZTAN,WANGZB,9:29:12 PM,3/20/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,10,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010038659,10,X,0,K,0001,0001
800,0080213702,10,ZTAN,WANGZB,9:30:41 PM,3/20/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,10,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,10,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010038349,10,X,0,K,0001,0001
800,0080204543,10,ZTAN,BIZLINK,11:16:52 AM,1/19/24,500-6485,500-6485,500,1000,3013,,,TR-QQ13Y-N00,SM,11,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/19/24,11,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),Std",,,0,,,0010038651,10,X,0,K,0001,0001
800,0080213699,10,ZTAN,WANGZB,9:29:24 PM,3/20/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,11,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,11,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010038659,20,X,0,K,0001,0001
800,0080213700,10,ZTAN,WANGZB,9:29:34 PM,3/20/24,500-6267,500-6267,500,1000,3013,,,3406A079,SM,11,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,11,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,,0,,,0010038659,30,X,0,K,0001,0001
800,0080203033,10,YKEN,ZHANGDL,4:33:40 PM,1/9/24,500-4752,500-4752,500,1000,3013,,,34060645-002,SM,12,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/9/24,12,"QSFP+ LR4 V3.0 Ocl,GCS)HT(34060645-002)",,,0,,,0040018773,1,X,0,K,0001,0001
800,0080206312,10,ZTAN,BIZLINK,10:24:46 AM,1/30/24,500-3776-02,500-3776-02,500,1000,3013,,,TR-FC13T-N00,SM,12,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,12,"100G CWDM4 V2.0,Std(Welding+Oclaro DFB)",,,0,,,0010038824,10,X,0,K,0001,0001
800,0080209953,10,ZTAN,BIZLINK,5:24:36 PM,2/27/24,500-5785,500-5785,500,1000,3013,,,TR-FC13T-NWB,SM,12,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,2/29/24,12,"40G&100G CWDM4 COP(S-180),AWS(Mit Gen3)",,,0,,,0010039289,10,X,0,K,0001,0001
800,0080201900,10,ZTAN,YANGLH,10:40:16 AM,1/2/24,500-6336,500-6336,500,1000,3013,,,0330306A0022,MM,13,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/2/24,13,"100G Q28 SR4 G3,Avago LP Vcsel Array,ZTE",,,0,,,0010035380,10,X,0,K,0001,0001
800,0080210923,10,ZTAN,BIZLINK,11:40:16 AM,3/4/24,500-5359,500-5359,500,1000,3013,,,TR-FC85S-N00,MM,14,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/4/24,14,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,,0,,,0010038989,20,X,0,K,0001,0001
800,0080212634,20,ZTAN,WANGZB,9:04:07 AM,3/15/24,500-6266,500-6266,500,1000,3013,,,3406A078,SM,14,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/15/24,14,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",,,0,,,0010039290,40,X,0,K,0001,0001
800,0080213322,10,YKEN,BIZLINK,11:02:49 AM,3/19/24,500-5614-002,500-5614-002,500,1000,3013,,,10-3173-04,MM,14,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/19/24,14,Q28 AOC G3 2m BRCM Vcsel Cisco,,,0,,,0040019651,220,X,0,K,0001,0001
800,0080210918,10,ZTAN,BIZLINK,11:37:22 AM,3/4/24,500-5275,500-5275,500,1000,3013,,,TR-QQ85S-N00,MM,15,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/4/24,15,QSFP+SR4 G3 40G 100m Std,,,0,,,0010039115,10,X,0,K,0001,0001
800,0080202547,10,ZTAN,BIZLINK,12:25:55 PM,1/6/24,500-4925,500-4925,500,1000,3013,,,TR-FC85S-N00,MM,16,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/12/24,16,"100G SR4 Gen3,Avago LP Vcsel array,Stan",,,0,,,0010038039,10,X,0,K,0001,0001
800,0080204169,10,ZTAN,BIZLINK,8:14:03 PM,1/16/24,500-4188,500-4188,500,1000,3013,,,ZXS-QPFCZZMR-00,MM,16,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/1/24,16,"QSFP28 SR4 16GFC Macom Driver,Coriant",,,0,,,0010038632,10,X,0,K,0001,0001
800,0080204982,10,YKEN,ZHANGDL,1:56:54 PM,1/22/24,500-4639,500-4639,500,1000,3013,,,34060645-001,SM,16,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/22/24,16,"40G QSFP+ LR4 V3(CWDM4 Pla_Ocl,GCS)HT",,,0,,,0040018843,1,X,0,K,0001,0001
800,0080205721,10,ZTAN,SUNYJ,1:28:09 PM,1/26/24,500-5595,500-5595,500,1000,3013,,,795250EBKK3223,SM,16,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,1/30/24,16,"100G QSFP28 CWDM4 Gen3,Tencent(SEI,Sif)",,,0,,,0010038860,10,X,0,K,0001,0001
800,0080212633,10,ZTAN,WANGZB,9:03:55 AM,3/15/24,500-6266,500-6266,500,1000,3013,,,3406A078,SM,16,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/15/24,16,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",,,0,,,0010039290,20,X,0,K,0001,0001
800,0080213475,10,YKEN,ZHANGDL,10:48:17 AM,3/20/24,500-5550,500-5550,500,1000,3013,,,34061299,SM,16,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/20/24,16,"100G QSFP28 CWDM4 Gen3,HT,SEI DFB",,,0,,,0040019710,1,X,0,K,0001,0001
800,0080213274,10,YKEN,BIZLINK,9:42:52 AM,3/19/24,500-5391-025,500-5391-025,500,1000,3013,,,10-3180-04,MM,17,ST,ST,1,1,0.000,0.000,KG,0.000,,,,0.0,0.0,,,3/19/24,17,Q28 AOC G3 25m Sony Vcsel Cisco,,,0,,,0040019698,360,X,0,K,0001,0001
