Creation_Date,WO,Type,PN,Description,Plant,Quantity_GMEIN,Delivered_Quantity_GMEIN,UOM_GMEIN,Start_Date,Due_Date,Status,输入者,Reserved_Number,Group,Process,Storage,Actual_Assigned_Date,Actual_Finished_Date,Scrap_GMEIN,Actual_Start_Date
7/11/2024,WOOBB31121,XC01,280-1049-31,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1310nm)",2000,4000,0.000,PC,7/17/2024,7/27/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8148262,F13,TX COC,,7/11/2024,,280,7/12/2024
7/11/2024,WOOBB33121,XC01,280-1049-33,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1330nm)",2000,3000,0.000,PC,7/17/2024,7/27/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8148263,F13,TX COC,,7/11/2024,,210,7/12/2024
7/11/2024,WOOBBA20,XC01,500-5529,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",2000,810,0.000,PC,7/17/2024,8/9/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8148244,F31,Module,3019,7/11/2024,,49,7/13/2024
7/11/2024,WOOBBA21,XC01,500-3886,"100G eCWDM4 V2.0,for ADVA,GEN3 Mits DFB",2000,140,0.000,PC,7/17/2024,8/9/2024,REL  PRC  GMPS MANC SETC,CAIDH,8148245,M12,Module,2019,7/11/2024,,11,
7/11/2024,WOOBBJA118,XC01,280-2019-CD,"PEI Lens&Narrowed Cover Ass,100G Gen3.1",2000,1200,800,PC,7/17/2024,7/22/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8147799,F30,Preform,,7/11/2024,7/15/2024,0.000,7/11/2024
7/11/2024,WOOBBOB117,XC01,260-0199,"BOSA Ass-BOM,CWDM4 V2.0(Gen3 Mit DFB)",2000,3000,0.000,PC,7/17/2024,8/12/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8147795,F13,OB,,7/11/2024,,120,7/11/2024
7/11/2024,WOOBBSU118,XC01,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1000,0.000,PC,7/17/2024,7/28/2024,REL  PRC  BCRQ GMPS MANC SETC,CAIDH,8147796,F30,Preform,,7/11/2024,,0.000,
7/11/2024,ZPOBB33120,XC01,280-1049-33,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1330nm)",2000,9,0.000,PC,7/17/2024,7/27/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8147919,F13,TX COC,,7/11/2024,,1,7/16/2024
7/11/2024,ZQOBB33119,XC01,280-1049-33,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1330nm)",2000,128,0.000,PC,7/17/2024,7/27/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8147918,F13,TX COC,,7/11/2024,,9,7/16/2024
7/10/2024,WOOBB27113,XC01,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,2500,0.000,PC,7/16/2024,7/26/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8133109,F30,TX COC,,7/10/2024,,175,7/10/2024
7/10/2024,WOOBB29113,XC01,280-1480-29,"TX COC,CWDM4 COP(sumitomo DFB 1290nm)",2000,2500,0.000,PC,7/16/2024,7/26/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8133110,F30,TX COC,,7/10/2024,,175,7/10/2024
7/10/2024,WOOBB31113,XC01,280-1480-31,"TX COC,CWDM4 COP(sumitomo DFB 1310nm)",2000,2500,0.000,PC,7/16/2024,7/26/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8133111,F30,TX COC,,7/10/2024,,175,7/11/2024
7/10/2024,WOOBB33113,XC01,280-1480-33,"TX COC,CWDM4 COP(sumitomo DFB 1330nm)",2000,2500,0.000,PC,7/16/2024,7/26/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8133112,F30,TX COC,,7/10/2024,,175,7/11/2024
7/10/2024,WOOBBA13,XC01,500-5773,"Q28 CWDM4 Gen3,H3C(SEI,GN2105B+GN2110S)",2000,500,0.000,PC,7/16/2024,8/8/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8133151,F30,Module,3019,7/10/2024,,25,7/12/2024
7/10/2024,WOOBBA14,XC01,500-5500,"Q28 CWDM4 Lite V2.0,Cisco(Weld+Mit DFB)",2000,390,0.000,PC,7/16/2024,8/8/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8133152,M53,Module,2019,7/10/2024,,20,7/16/2024
7/10/2024,WOOBBA15,XC01,500-5785,"40G&100G CWDM4 COP(S-180),AWS(Mit Gen3)",2000,930,0.000,PC,7/16/2024,8/11/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8133154,M51,Module,2019,7/10/2024,,56,7/13/2024
7/10/2024,WOOBBOB113,XC01,260-0325,"BOSA Assembly BOM,COP Gen3 (CB merger)",2000,2000,0.000,PC,7/16/2024,9/15/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8133113,F30,OB,,7/10/2024,,90,7/10/2024
7/9/2024,WOOBBA04,XC01,500-7064,"100G CWDM4 COPGen3.1,Mit+Sif,Tencent TC4",2000,30,0.000,PC,7/15/2024,8/7/2024,REL  PRC  GMPS MANC SETC,CAIDH,8120392,F40,Module,3019,7/9/2024,,2,
7/9/2024,WOOBBSU108,XC01,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1000,0.000,PC,7/15/2024,7/26/2024,REL  PRC  BCRQ GMPS MANC SETC,CAIDH,8120136,F30,Preform,,7/9/2024,,0.000,
7/9/2024,ZPOBB27112,XC01,280-1049-27,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1270nm)",2000,9,0.000,PC,7/15/2024,7/25/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8120418,F13,TX COC,,7/9/2024,,1,7/12/2024
7/9/2024,ZQOBB27111,XC01,280-1049-27,"TX COC Ass-BOM,CWDM4(Oclaro DFB 1270nm)",2000,128,0.000,PC,7/15/2024,7/25/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8120417,F13,TX COC,,7/9/2024,,9,7/12/2024
7/8/2024,DCOBBCB105,XC01,280-1940-CD,"CB BOM,LX4,oclaro DFB,2110S,Sif,Kovar HS",2000,1800,0.000,PC,7/14/2024,8/12/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8108077,F52,CB,,7/8/2024,,63,7/9/2024
7/8/2024,WOOBB27102,XC01,280-1312-27,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1270nm",2000,4000,213,PC,7/14/2024,7/24/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8107295,F13,TX COC,,7/8/2024,7/13/2024,280,7/8/2024
7/8/2024,WOOBB29102,XC01,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,4000,111,PC,7/14/2024,7/24/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8107296,F13,TX COC,,7/8/2024,7/15/2024,280,7/8/2024
7/8/2024,WOOBB31102,XC01,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,4000,0.000,PC,7/14/2024,7/24/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8107297,F13,TX COC,,7/8/2024,,280,7/9/2024
7/8/2024,WOOBB33102,XC01,280-1312-33,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1330nm",2000,4000,0.000,PC,7/14/2024,7/24/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8107298,F13,TX COC,,7/8/2024,,280,7/9/2024
7/8/2024,WOOBBA01,XC01,500-5773,"Q28 CWDM4 Gen3,H3C(SEI,GN2105B+GN2110S)",2000,1700,0.000,PC,7/14/2024,8/6/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8107518,F30,Module,3019,7/8/2024,,85,7/11/2024
7/8/2024,WOOBBA02,XC01,561-0026,"CWDM4,Juniper S3BU,Gen3 Mits DFB,TW",6000,560,0.000,PC,7/14/2024,8/12/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8107522,M51,Module,2019,7/8/2024,,56,7/14/2024
7/8/2024,WOOBBCB102,XC01,280-1806,"CB BOM,QSFP28 COP V2.0,Weld(Gen3 Mit)",2000,4000,92,PC,7/14/2024,8/12/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8107299,F13,CB,,7/8/2024,7/16/2024,64,7/8/2024
7/8/2024,WOOBBOB101,XC01,260-0199,"BOSA Ass-BOM,CWDM4 V2.0(Gen3 Mit DFB)",2000,3000,784,PC,7/14/2024,8/9/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8107294,F13,OB,,7/8/2024,7/16/2024,120,7/9/2024
7/6/2024,WOOBAA28,XC01,500-4672,"CWDM4 V2.0,for UNIS,Weld(Ocl+M37244)",2000,380,0.000,PC,7/12/2024,8/4/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8081705,M51,Module,3019,7/6/2024,,46,7/11/2024
7/6/2024,WOOBAOB114,XC01,260-0141-02-R,"BOSA Ass-BOM,(Weld+Oclaro DFB),Recycle",2000,288,189,PC,7/12/2024,8/7/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8081693,F13,OB,,7/6/2024,7/13/2024,7,7/7/2024
7/6/2024,ZPOBA31116,XC01,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,9,0.000,PC,7/13/2024,7/23/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8081713,F13,TX COC,,7/6/2024,,1,7/16/2024
7/6/2024,ZQOBA31115,XC01,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,96,0.000,PC,7/13/2024,7/23/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8081712,F13,TX COC,,7/6/2024,,7,7/16/2024
7/5/2024,WOOBA27113,XC01,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,4000,2166,PC,7/11/2024,7/21/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8068166,F30,TX COC,,7/5/2024,7/16/2024,280,7/5/2024
7/5/2024,WOOBA29113,XC01,280-1480-29,"TX COC,CWDM4 COP(sumitomo DFB 1290nm)",2000,4000,469,PC,7/11/2024,7/21/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8068167,F30,TX COC,,7/5/2024,7/13/2024,280,7/5/2024
7/5/2024,WOOBA31113,XC01,280-1480-31,"TX COC,CWDM4 COP(sumitomo DFB 1310nm)",2000,4000,930,PC,7/11/2024,7/21/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8068168,F30,TX COC,,7/5/2024,7/16/2024,280,7/5/2024
7/5/2024,WOOBA33113,XC01,280-1480-33,"TX COC,CWDM4 COP(sumitomo DFB 1330nm)",2000,4000,463,PC,7/11/2024,7/21/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8068169,F30,TX COC,,7/5/2024,7/16/2024,280,7/6/2024
7/5/2024,ZGOBAA19,XC01,500-5785,"40G&100G CWDM4 COP(S-180),AWS(Mit Gen3)",2000,500,0.000,PC,7/11/2024,8/6/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8068642,M51,Module,2019,7/5/2024,,30,7/11/2024
7/5/2024,ZGOBAA20,XC01,500-5785,"40G&100G CWDM4 COP(S-180),AWS(Mit Gen3)",2000,500,0.000,PC,7/11/2024,8/6/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8068645,M51,Module,2019,7/5/2024,,30,7/11/2024
7/4/2024,WOOBA27108,XC01,280-1312-27,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1270nm",2000,4000,348,PC,7/10/2024,7/20/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8055592,F13,TX COC,,7/4/2024,7/16/2024,280,7/4/2024
7/4/2024,WOOBA29108,XC01,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,4000,682,PC,7/10/2024,7/20/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8055593,F13,TX COC,,7/4/2024,7/15/2024,280,7/4/2024
7/4/2024,WOOBA31108,XC01,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,4000,108,PC,7/10/2024,7/20/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8055594,F13,TX COC,,7/4/2024,7/16/2024,280,7/5/2024
7/4/2024,WOOBA33108,XC01,280-1312-33,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1330nm",2000,4000,346,PC,7/10/2024,7/20/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8055595,F13,TX COC,,7/4/2024,7/15/2024,280,7/5/2024
7/4/2024,WOOBAA11,XC01,561-0081,"100G Q28 CGR4 Gen3,Google(Ocl),from TW",6000,1120,0.000,PC,7/15/2024,8/13/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8055701,M09,Module,2019,7/4/2024,,112,7/14/2024
7/4/2024,WOOBAA12,XC01,500-3776-02,"100G CWDM4 V2.0,Std(Welding+Oclaro DFB)",2000,50,46,PC,7/5/2024,7/28/2024,REL  PCNF PRC  GMPS MANC PDLV SETC,CAIDH,8055787,M51,Module,2019,7/4/2024,7/12/2024,6,7/6/2024
7/4/2024,WOOBACB108,XC01,280-1806,"CB BOM,QSFP28 COP V2.0,Weld(Gen3 Mit)",2000,4000,1202,PC,7/10/2024,8/8/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8055596,F13,CB,,7/4/2024,7/16/2024,64,7/5/2024
7/4/2024,WOOBAOB112,XC01,260-0199,"BOSA Ass-BOM,CWDM4 V2.0(Gen3 Mit DFB)",2000,1000,774,PC,7/10/2024,8/5/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8056302,F13,OB,,7/4/2024,7/16/2024,40,7/5/2024
7/4/2024,WOOBASU109,XC01,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1000,140,PC,7/11/2024,7/22/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8055705,F30,Preform,,7/4/2024,7/13/2024,0.000,7/13/2024
7/4/2024,WOOBASU110,XC01,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1000,0.000,PC,7/13/2024,7/24/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8055709,F30,Preform,,7/4/2024,,0.000,7/13/2024
7/3/2024,DCOBAOB106,XC01,260-0443-CD,"BOSA BOM,LX4,oclaro DFB,2110S,Sif PD",2000,583,0.000,PC,7/9/2024,8/4/2024,REL  PCNF PRC  BCRQ GMPS MANC SETC,CAIDH,8043503,F52,OB,,7/3/2024,,47,7/5/2024
7/3/2024,WOOBAOB107,XC01,260-0152-02,"BOSA Ass-BOM,CWDM4,Weld(Ocl DFB+M37244)",2000,2000,1110,PC,7/9/2024,8/4/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8043601,F13,OB,,7/3/2024,7/15/2024,60,7/4/2024
7/3/2024,WOOBASU105,XC01,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1000,989,PC,7/9/2024,7/20/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8042418,F30,Preform,,7/3/2024,7/13/2024,0.000,7/9/2024
7/3/2024,ZGOBAA09,XC01,500-4890,"QSFP+ IR4/LR4 V3.0(100G_Mit Gen3),AWS",2000,20,0.000,PC,7/9/2024,8/1/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8043434,F33,Module,2019,7/3/2024,,3,7/15/2024
7/2/2024,WOOBA27103,XC01,280-1312-27,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1270nm",2000,4000,1935,PC,7/8/2024,7/18/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8029084,F13,TX COC,,7/2/2024,7/16/2024,280,7/2/2024
7/2/2024,WOOBA29103,XC01,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,4000,1939,PC,7/8/2024,7/18/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8029085,F13,TX COC,,7/2/2024,7/16/2024,280,7/2/2024
7/2/2024,WOOBA31103,XC01,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,4000,1703,PC,7/8/2024,7/18/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8029086,F13,TX COC,,7/2/2024,7/16/2024,280,7/2/2024
7/2/2024,WOOBA33103,XC01,280-1312-33,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1330nm",2000,4000,2419,PC,7/8/2024,7/18/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8029087,F13,TX COC,,7/2/2024,7/16/2024,280,7/2/2024
7/2/2024,WOOBAA06,XC01,500-4639,"40G QSFP+ LR4 V3(CWDM4 Pla_Ocl,GCS)HT",2000,1000,0.000,PC,7/8/2024,8/3/2024,REL  PCNF PRC  GMPS MANC SETC,CAIDH,8029347,F35,Module,3019,7/2/2024,,150,7/6/2024
7/2/2024,WOOBAA07,XC01,500-5785,"40G&100G CWDM4 COP(S-180),AWS(Mit Gen3)",2000,2000,290,PC,7/8/2024,8/3/2024,REL  PCNF PRC  GMPS MANC PDLV SETC,CAIDH,8029348,M51,Module,2019,7/2/2024,7/16/2024,120,7/5/2024
7/2/2024,WOOBACB103,XC01,280-1806,"CB BOM,QSFP28 COP V2.0,Weld(Gen3 Mit)",2000,4000,2776,PC,7/8/2024,8/6/2024,REL  PCNF PRC  BCRQ GMPS MANC PDLV SETC,CAIDH,8029088,F13,CB,,7/2/2024,7/16/2024,64,7/2/2024
