substitution group,Priority,Usage percentage,component,Assemble P/N
A1,0,100,504-1718,504-1821
A1,0,0,504-1878,504-1821
E1,0,0,310-0395,504-1821
E1,0,100,313-0010,504-1821
A1,0,0,504-1972,502-2502
A1,0,0,504-1973,502-2502
A1,0,100,504-1718,504-1973
A1,0,0,504-1878,504-1973
E1,0,0,310-0395,504-1973
E1,0,100,313-0010,504-1973
C1,0,100,300-0316,502-2502
C1,0,0,300-0316-R,502-2502
D1,0,100,300-0317,502-2502
D1,0,0,300-0317-R,502-2502
E1,0,100,310-0357,502-2502
E1,0,0,310-0357-R,502-2502
A1,0,0,262-0100-CD,502-2502
E1,2,0,310-0395,262-0100-CD
E1,1,100,313-0010,262-0100-CD
A1,2,100,504-1718,262-0100-CD
A1,1,0,504-1878,262-0100-CD
A1,0,0,262-0101-CD,502-2502
E1,2,0,310-0395,262-0101-CD
E1,1,100,313-0010,262-0101-CD
A1,2,100,504-1718,262-0101-CD
A1,1,0,504-1878,262-0101-CD
A1,0,100,262-0016,502-2338
A1,0,0,504-1820,502-2338
A1,0,0,504-1821,502-2338
C1,0,100,300-0316,502-2338
C1,0,0,300-0316-R,502-2338
D1,0,100,300-0317,502-2338
D1,0,0,300-0317-R,502-2338
E1,0,100,310-0505,502-2338
E1,0,0,310-0505-R,502-2338
A1,0,0,504-1972,502-2338
A1,0,0,504-1357,502-2367
A1,0,100,504-1360,502-2367
A1,0,0,504-1392,502-2367
A1,0,0,504-1403,502-2367
A1,0,0,504-1485,502-2367
A1,0,0,504-1486,502-2367
A1,0,0,504-1487,502-2367
B1,0,0,310-0323,502-2367
B1,0,100,302-0004,502-2367
E1,0,0,310-0369,502-2367
E1,0,100,311-0183,502-2367
A1,0,0,502-2445,500-5211
C1,0,100,262-0010,502-2445
B1,0,100,280-1241-40,262-0010
B1,0,0,280-1242-40,262-0010
E1,0,0,310-0395,262-0010
E1,0,100,313-0010,262-0010
C1,0,0,504-1880,502-2445
A1,0,0,504-1354,504-1880
A1,0,0,504-1431,504-1880
A1,0,100,504-1694,504-1880
E1,0,0,310-0395,504-1880
E1,0,100,313-0010,504-1880
E1,0,0,310-0369,502-2445
E1,0,100,311-0183,502-2445
A1,0,0,502-2446,500-5211
C1,0,100,262-0011,502-2446
B1,0,100,280-1241-40,262-0011
B1,0,0,280-1242-40,262-0011
E1,0,0,310-0395,262-0011
E1,0,100,313-0010,262-0011
C1,0,0,504-1881,502-2446
A1,0,0,504-1354,504-1881
A1,0,0,504-1431,504-1881
A1,0,100,504-1694,504-1881
E1,0,0,310-0395,504-1881
E1,0,100,313-0010,504-1881
E1,0,0,310-0369,502-2446
E1,0,100,311-0183,502-2446
A1,0,100,502-2447,500-5211
A1,0,0,262-0015,502-2447
A1,0,100,504-1521,502-2447
A1,0,0,504-1882,502-2447
A1,0,0,504-1431,504-1882
A1,0,100,504-1694,504-1882
E1,0,0,310-0395,504-1882
E1,0,100,313-0010,504-1882
E1,0,0,310-0369,502-2447
E1,0,100,311-0183,502-2447
A1,0,0,502-2445,500-5212
A1,0,0,502-2446,500-5212
A1,0,100,502-2447,500-5212
A1,0,0,502-2445,500-5225
A1,0,0,502-2446,500-5225
A1,0,100,502-2447,500-5225
A1,0,0,502-2446,500-5247
A1,0,100,502-2447,500-5247
A1,0,0,262-0198-CD,502-2488
E1,2,0,310-0395,262-0198-CD
E1,1,100,313-0010,262-0198-CD
A1,1,100,504-1718,262-0198-CD
A1,2,0,504-1878,262-0198-CD
A1,0,100,262-0197-CD,502-2488
E1,2,0,310-0395,262-0197-CD
E1,1,100,313-0010,262-0197-CD
A1,2,0,504-1718,262-0197-CD
A1,1,100,504-1878,262-0197-CD
A1,0,0,504-1718,504-1936
A1,0,100,504-1878,504-1936
E1,0,0,310-0395,504-1936
E1,0,100,313-0010,504-1936
C1,0,0,262-0018,502-2547
C1,0,0,504-1972,502-2547
C1,0,100,504-1973,502-2547
A1,1,100,351-0009,500-5392
A1,4,0,351-0011,500-5392
A1,3,0,351-0012,500-5392
A1,2,0,351-0013,500-5392
A1,1,100,351-0009,500-5481
A1,4,0,351-0011,500-5481
A1,3,0,351-0012,500-5481
A1,2,0,351-0013,500-5481
A1,1,100,262-0164-CD,502-2308
E1,2,0,310-0395,262-0164-CD
E1,1,100,313-0010,262-0164-CD
C1,0,100,300-0316,502-2308
C1,0,0,300-0316-R,502-2308
D1,0,100,300-0317,502-2308
D1,0,0,300-0317-R,502-2308
E1,0,100,310-0357,502-2308
E1,0,0,310-0357-R,502-2308
A1,2,0,262-0163-CD,502-2308
B1,2,0,280-0654,262-0163-CD
B1,1,100,280-0654-CN,262-0163-CD
C1,2,0,310-0395,262-0163-CD
C1,1,100,313-0010,262-0163-CD
A1,3,0,502-2502,500-5586
A1,1,100,502-3062,500-5586
E1,2,0,310-0395,262-0127-CD
E1,1,100,313-0010,262-0127-CD
A1,2,0,504-1718,262-0127-CD
A1,1,100,504-1878,262-0127-CD
A1,2,0,502-3063,500-5586
E1,2,0,310-0395,262-0128-CD
E1,1,100,313-0010,262-0128-CD
A1,2,0,504-1718,262-0128-CD
A1,1,100,504-1878,262-0128-CD
E1,2,0,310-0395,262-0137-CD
E1,1,100,313-0010,262-0137-CD
A1,2,0,504-1718,262-0137-CD
A1,1,100,504-1878,262-0137-CD
A1,0,100,262-0005,502-2647
A1,0,0,504-1718,262-0005
A1,0,100,504-1878,262-0005
E1,0,0,310-0395,262-0005
E1,0,100,313-0010,262-0005
A1,0,0,262-0007,502-2647
A1,0,0,504-1718,262-0007
A1,0,100,504-1878,262-0007
E1,0,0,310-0395,262-0007
E1,0,100,313-0010,262-0007
A1,1,100,351-0009,500-5702
A1,4,0,351-0011,500-5702
A1,3,0,351-0012,500-5702
A1,2,0,351-0013,500-5702
B1,0,0,120-0121,504-2042
C1,0,0,120-0247,504-2042
B1,0,100,120-0260,504-2042
C1,0,100,120-0310,504-2042
A1,0,100,130-0077,504-2042
D1,0,100,140-0253,504-2042
A1,0,0,140-0384,504-2042
D1,0,0,140-0645,504-2042
E1,0,0,310-0395,262-0031
E1,0,100,313-0010,262-0031
A1,2,0,262-0018,502-2729
A1,3,0,504-1972,502-2729
A1,1,100,504-1973,502-2729
A1,3,0,502-2502,500-5851
A1,1,100,502-3058,500-5851
A1,2,0,502-3059,500-5851
A1,0,0,310-0395,262-0044
A1,0,100,313-0010,262-0044
B1,0,100,120-0121,504-2063
C1,0,100,120-0247,504-2063
B1,0,0,120-0260,504-2063
C1,0,0,120-0310,504-2063
A1,0,100,130-0077,504-2063
D1,0,100,140-0253,504-2063
A1,0,0,140-0384,504-2063
D1,0,0,140-0645,504-2063
A1,0,0,310-0166,502-2783
C1,0,0,311-0207,502-2783
C1,0,100,311-0423,502-2783
A1,0,100,311-0424,502-2783
A1,0,0,310-0395,262-0045
A1,0,100,313-0010,262-0045
B1,0,100,120-0121,504-2053
C1,0,100,120-0247,504-2053
B1,0,0,120-0260,504-2053
C1,0,0,120-0310,504-2053
A1,0,100,130-0077,504-2053
D1,0,100,140-0253,504-2053
A1,0,0,140-0384,504-2053
D1,0,0,140-0645,504-2053
A1,0,0,310-0166,502-2784
C1,0,0,311-0207,502-2784
C1,0,100,311-0423,502-2784
A1,0,100,311-0424,502-2784
A1,2,0,504-1972,502-2795
A1,1,100,504-1973,502-2795
A1,0,0,262-0016,502-2810
A1,0,0,262-0018,502-2810
A1,0,0,504-1821,502-2810
A1,0,100,504-1973,502-2810
A1,0,0,504-1972,502-2810
A1,3,0,502-2502,500-5988
A1,1,100,502-3060,500-5988
A1,2,0,502-3061,500-5988
E1,2,0,310-0395,262-0054-CD
E1,1,100,313-0010,262-0054-CD
C1,1,100,300-0316,502-2842
C1,2,0,300-0316-R,502-2842
D1,1,100,300-0317,502-2842
D1,2,0,300-0317-R,502-2842
E1,1,100,310-0357,502-2842
E1,2,0,310-0357-R,502-2842
E1,2,0,310-0395,262-0058-CD
E1,1,100,313-0010,262-0058-CD
A1,2,0,504-1718,262-0058-CD
A1,1,100,504-1878,262-0058-CD
A1,2,0,502-2445,500-6191
A1,3,0,502-2446,500-6191
A1,1,100,502-2447,500-6191
E1,2,0,310-0395,262-0077-CD
E1,1,100,313-0010,262-0077-CD
C1,1,100,300-0316,502-2938
C1,2,0,300-0316-R,502-2938
D1,1,100,300-0317,502-2938
D1,2,0,300-0317-R,502-2938
E1,1,100,310-0357,502-2938
E1,2,0,310-0357-R,502-2938
A1,2,0,262-0150-CD,502-3184
E1,2,0,310-0395,262-0150-CD
E1,1,100,313-0010,262-0150-CD
A1,2,0,504-1718,262-0150-CD
A1,1,100,504-1878,262-0150-CD
A1,1,100,504-1973,502-3184
C1,1,100,300-0316,502-3450
C1,2,0,300-0316-R,502-3450
D1,1,100,300-0317,502-3450
D1,2,0,300-0317-R,502-3450
E1,1,100,310-0357,502-3450
E1,2,0,310-0357-R,502-3450
A1,0,0,310-0323,502-1542
A1,0,100,302-0004,502-1542
A1,0,0,504-1392,561-0005
A1,0,0,504-1403,561-0005
A1,0,100,504-1521,561-0005
A1,0,0,504-1360,561-0012
A1,0,100,504-1392,561-0012
A1,0,0,504-1403,561-0012
A1,0,0,504-1357,561-0027
A1,0,100,504-1360,561-0027
A1,0,0,504-1392,561-0027
A1,0,0,504-1403,561-0027
A1,0,0,504-1485,561-0027
A1,0,0,504-1486,561-0027
A1,0,0,504-1487,561-0027
A1,0,0,504-1357,561-0028
A1,0,100,504-1360,561-0028
A1,0,0,504-1392,561-0028
A1,0,0,504-1403,561-0028
A1,0,0,504-1485,561-0028
A1,0,0,504-1486,561-0028
A1,0,0,504-1487,561-0028
A1,0,0,504-1357,561-0049
A1,0,100,504-1392,561-0049
A1,0,0,504-1403,561-0049
A1,0,0,504-1486,561-0049
A1,0,0,504-1487,561-0049
A1,2,0,262-0016,502-2933
A1,1,100,262-0018,502-2933
C1,1,100,300-0316,502-2933
C1,2,0,300-0316-R,502-2933
D1,1,100,300-0317,502-2933
D1,2,0,300-0317-R,502-2933
E1,1,100,310-0357,502-2933
E1,2,0,310-0357-R,502-2933
A1,6,0,504-1820,502-2933
A1,4,0,504-1821,502-2933
A1,5,0,504-1972,502-2933
A1,3,0,504-1973,502-2933
A1,1,100,262-0018,502-2502
A1,0,0,504-1821,502-2502
A1,0,0,504-1718,504-1972
A1,0,100,504-1878,504-1972
A1,2,0,504-1718,262-0100-CD
A1,1,100,504-1878,262-0100-CD
