Creation_Date,SONumber,Customer_PO,CustomerCode,CustomerName,PN,IndustrialStandard,Description,客户物料编号,Description2,DeliveryDate,销售员姓名,UnmetQuantity
6/21/2023,10036035,5100002687,200474,Cloud Network Technology Singapore Pte.Ltd,500-4066-02,TR-QQ13L-NJP,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,740-073093,40G QSFP+ LR4,9/2/2023,莫兆熊,40.000
6/21/2023,10036035,5100002687,200474,Cloud Network Technology Singapore Pte.Ltd,500-4066-02,TR-QQ13L-NJP,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,740-073093,40G QSFP+ LR4,9/2/2023,莫兆熊,40.000
8/31/2023,10036899,5100002929,200474,Cloud Network Technology Singapore Pte.Ltd,500-4066-02,TR-QQ13L-NJP,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,740-073093,40G QSFP+ LR4,11/18/2023,莫兆熊,24.000
8/31/2023,10036900,5100002938,200474,Cloud Network Technology Singapore Pte.Ltd,500-4066-02,TR-QQ13L-NJP,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,740-073093,40G QSFP+ LR4,11/18/2023,莫兆熊,16.000
9/7/2023,10036973,5100002963,200474,Cloud Network Technology Singapore Pte.Ltd,500-4066-02,TR-QQ13L-NJP,40G QSFP+ LR4 V3.0(CWDM4 Plat_Ocl DFB)JP,740-073093,40G QSFP+ LR4,12/1/2023,莫兆熊,40.000
9/26/2023,10037214,111560598_1,100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",3406A08L,40G QSFP+ LX4,9/26/2023,高爽,1000.000
11/9/2023,10037808,PO231108001,200618,CREATEOPTICS TECHNOLOGY LIMITED,561-0183,TR-FC13T-NBK,100G QSFP28 CWDM4 COP V2.0 2Km Blank TW,TR-FC13T-NBK,100G QSFP28 CWDM4,11/10/2023,莫兆熊,400.000
11/24/2023,10038029,111579566_1,100217,新华三信息技术有限公司,500-4792,TR-FC13T-XHP,QSFP+ LR4 V3.0(100G CWDM4_Oclaro) HP,3406A03N,40G QSFP+ LR4,11/24/2023,高爽,34.000
1/15/2024,10038660,111597436_2,100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,"100G CWDM4 V2.0,HP,Weld(Ocl DFB+M37244)",3406A058,100G QSFP28 CWDM4,1/15/2024,高爽,55.000
1/18/2024,10038735,111633987_3,100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",3406A08L,40G QSFP+ LX4,1/18/2024,高爽,40.000
1/18/2024,10038735,111633987_3,100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",3406A08L,40G QSFP+ LX4,1/18/2024,高爽,90.000
1/18/2024,10038735,111633987_3,100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",3406A08L,40G QSFP+ LX4,1/18/2024,高爽,150.000
1/21/2024,10038772,2401POSC00053842,100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",033030600035,100G QSFP28 CWDM4,1/21/2024,符春凯,1800.000
2/23/2024,10039285,2402POSC00044385,100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",033030600035,100G QSFP28 CWDM4,2/23/2024,符春凯,271.000
3/1/2024,10039426,111579566_9,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,3/1/2024,高爽,16.000
3/1/2024,10039426,111579566_9,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,3/1/2024,高爽,64.000
3/1/2024,10039426,111579566_9,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,3/1/2024,高爽,18.000
3/1/2024,10039426,111579566_9,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,3/1/2024,高爽,12.000
3/1/2024,10039426,111579566_9,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,3/1/2024,高爽,48.000
3/1/2024,10039430,111658827_1,100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,"CWDM4 V2.0,for UNIS,Weld(Ocl+M37244)",3406A075,100G QSFP28 CWDM4,3/1/2024,高爽,40.000
3/12/2024,10039614,2403POSC00023589,100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",033030600035,100G QSFP28 CWDM4,6/3/2024,符春凯,102.000
3/12/2024,10039617,2403POSC00030596,100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",033030600035,100G QSFP28 CWDM4,5/6/2024,符春凯,596.000
3/12/2024,10039624,111579566_10,100217,新华三信息技术有限公司,500-6161,TR-FC13T-N4X,"40G QSFP+ LR4 V3.0(100G CWDM4 Ocl),UNIS",3406A079,40G QSFP+ LR4,3/12/2024,高爽,108.000
3/15/2024,10039674,2403POSC00043894,100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",033030600035,100G QSFP28 CWDM4,3/15/2024,符春凯,606.000
3/18/2024,10039713,2403POSC00051356,100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",033030600035,100G QSFP28 CWDM4,6/17/2024,符春凯,80.000
3/18/2024,10039715,2403POSC00047287,100042,深圳市中兴康讯电子有限公司,500-4611,TR-FC13T-N00,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",033030600035,100G QSFP28 CWDM4,6/10/2024,符春凯,2.000
3/29/2024,10039889,111579566_11,100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",3406A079,40G QSFP+ LR4,4/2/2024,高爽,37.000
3/29/2024,10039889,111579566_11,100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",3406A079,40G QSFP+ LR4,4/2/2024,高爽,24.000
3/29/2024,10039889,111579566_11,100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",3406A079,40G QSFP+ LR4,4/2/2024,高爽,11.000
3/29/2024,10039889,111579566_11,100217,新华三信息技术有限公司,500-6267,TR-FC13T-N4X,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",3406A079,40G QSFP+ LR4,4/2/2024,高爽,10.000
3/29/2024,10039890,111658827_4,100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,"CWDM4 V2.0,for UNIS,Weld(Ocl+M37244)",3406A075,100G QSFP28 CWDM4,4/2/2024,高爽,60.000
4/6/2024,10039990,PO22646228,100408,阿里云计算（张北）有限公司,500-4957,TR-FC13T-N00,100G CWDM4 Gen3 for Alibaba,AB-QT0613C4nL,100G QSFP28 CWDM4,4/25/2024,高爽,2280.000
4/9/2024,10040051,PO22651780,100391,阿里云计算有限公司,500-4957,TR-FC13T-N00,100G CWDM4 Gen3 for Alibaba,AB-QT0613C4nL,100G QSFP28 CWDM4,4/25/2024,高爽,768.000
4/15/2024,10040176,HWHG2773528-30,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,7/20/2024,严冰艾,4.000
4/15/2024,10040176,HWHG2773528-30,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,8/3/2024,严冰艾,150.000
4/22/2024,10040345,PO22665207,100391,阿里云计算有限公司,500-4957,TR-FC13T-N00,100G CWDM4 Gen3 for Alibaba,AB-QT0613C4nL,100G QSFP28 CWDM4,5/22/2024,高爽,3025.000
4/23/2024,10040355,1H00592024,100023,华为技术有限公司,500-6285,TR-FC13T-N00,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",34061299-001,100G QSFP28 CWDM4,8/21/2024,严冰艾,1900.000
4/23/2024,10040355,1H00592024,100023,华为技术有限公司,500-6285,TR-FC13T-N00,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",34061299-001,100G QSFP28 CWDM4,8/28/2024,严冰艾,2450.000
4/23/2024,10040355,1H00592024,100023,华为技术有限公司,500-6285,TR-FC13T-N00,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",34061299-001,100G QSFP28 CWDM4,9/4/2024,严冰艾,2480.000
4/23/2024,10040355,1H00592024,100023,华为技术有限公司,500-6285,TR-FC13T-N00,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",34061299-001,100G QSFP28 CWDM4,9/11/2024,严冰艾,2460.000
4/23/2024,10040355,1H00592024,100023,华为技术有限公司,500-6285,TR-FC13T-N00,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",34061299-001,100G QSFP28 CWDM4,9/25/2024,严冰艾,1900.000
4/23/2024,10040355,1H00592024,100023,华为技术有限公司,500-6285,TR-FC13T-N00,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",34061299-001,100G QSFP28 CWDM4,9/18/2024,严冰艾,400.000
4/23/2024,10040355,1H00592024,100023,华为技术有限公司,500-6285,TR-FC13T-N00,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",34061299-001,100G QSFP28 CWDM4,9/18/2024,严冰艾,2050.000
4/23/2024,10040355,1H00592024,100023,华为技术有限公司,500-6285,TR-FC13T-N00,"100G QSFP28 CWDM4 Gen3,HT(34061299-001)",34061299-001,100G QSFP28 CWDM4,7/21/2024,严冰艾,1360.000
4/26/2024,10040438,HWHG2773528-32,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,7/25/2024,严冰艾,270.000
4/26/2024,10040438,HWHG2773528-32,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,7/25/2024,严冰艾,190.000
4/26/2024,10040438,HWHG2773528-32,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,7/25/2024,严冰艾,190.000
4/26/2024,10040438,HWHG2773528-32,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,8/3/2024,严冰艾,180.000
4/26/2024,10040438,HWHG2773528-32,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,8/17/2024,严冰艾,180.000
4/26/2024,10040438,HWHG2773528-32,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,8/31/2024,严冰艾,130.000
4/28/2024,10040446,111579566_12,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,4/29/2024,高爽,1400.000
4/30/2024,10040497,111658827_5,100217,新华三信息技术有限公司,500-4672,TR-FC13T-N00,"CWDM4 V2.0,for UNIS,Weld(Ocl+M37244)",3406A075,100G QSFP28 CWDM4,4/30/2024,高爽,800.000
5/1/2024,10040504,111712946_1,100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",3406A08L,40G QSFP+ LX4,5/2/2024,高爽,1895.000
5/7/2024,10040554,PO22677105,100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",AB-QT0613C4eL,100G QSFP28 eCWDM4,5/30/2024,高爽,501.000
5/7/2024,10040554,PO22677105,100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",AB-QT0613C4eL,100G QSFP28 eCWDM4,5/30/2024,高爽,490.000
5/7/2024,10040554,PO22677105,100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",AB-QT0613C4eL,100G QSFP28 eCWDM4,5/30/2024,高爽,9.000
5/7/2024,10040557,PO22680591,100408,阿里云计算（张北）有限公司,500-4957,TR-FC13T-N00,100G CWDM4 Gen3 for Alibaba,AB-QT0613C4nL,100G QSFP28 CWDM4,5/20/2024,高爽,260.000
5/10/2024,10040614,111579566_13,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,5/10/2024,高爽,44.000
5/10/2024,10040614,111579566_13,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,5/10/2024,高爽,160.000
5/10/2024,10040614,111579566_13,100217,新华三信息技术有限公司,500-5060,TR-FC13T-XHP,40G QSFP LR4 V3 100G CWDM4 Gen3 Mit HP,3406A03N,40G QSFP+ LR4,5/10/2024,高爽,147.000
5/10/2024,10040614,111579566_13,100217,新华三信息技术有限公司,500-5060,TR-FC13T-XHP,40G QSFP LR4 V3 100G CWDM4 Gen3 Mit HP,3406A03N,40G QSFP+ LR4,5/10/2024,高爽,60.000
5/10/2024,10040614,111579566_13,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,5/10/2024,高爽,32.000
5/10/2024,10040614,111579566_13,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,5/10/2024,高爽,68.000
5/10/2024,10040614,111579566_13,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,5/10/2024,高爽,68.000
5/10/2024,10040615,111597436_5,100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,"100G CWDM4 V2.0,HP,Weld(Ocl DFB+M37244)",3406A058,100G QSFP28 CWDM4,5/10/2024,高爽,30.000
5/10/2024,10040615,111597436_5,100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,"100G CWDM4 V2.0,HP,Weld(Ocl DFB+M37244)",3406A058,100G QSFP28 CWDM4,5/10/2024,高爽,20.000
5/10/2024,10040615,111597436_5,100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,"100G CWDM4 V2.0,HP,Weld(Ocl DFB+M37244)",3406A058,100G QSFP28 CWDM4,5/10/2024,高爽,10.000
5/10/2024,10040621,PO22686786,100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",AB-QT0613C4eL,100G QSFP28 eCWDM4,5/30/2024,高爽,1100.000
5/10/2024,10040637,HWHG2773528-33,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,8/8/2024,严冰艾,140.000
5/10/2024,10040637,HWHG2773528-33,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,8/8/2024,严冰艾,180.000
5/10/2024,10040637,HWHG2773528-33,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,8/17/2024,严冰艾,180.000
5/10/2024,10040637,HWHG2773528-33,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,8/31/2024,严冰艾,130.000
5/10/2024,10040638,HWHG2764622-9,100023,华为技术有限公司,500-6028,TR-QQ13Y-N00,40G QSFP+ LX4 Gen3 for HT(34062796),34062796,40G QSFP+ LX4,9/7/2024,严冰艾,158.000
5/17/2024,10040757,111579566_14,100217,新华三信息技术有限公司,500-5060,TR-FC13T-XHP,40G QSFP LR4 V3 100G CWDM4 Gen3 Mit HP,3406A03N,40G QSFP+ LR4,5/17/2024,高爽,24.000
5/17/2024,10040757,111579566_14,100217,新华三信息技术有限公司,500-5060,TR-FC13T-XHP,40G QSFP LR4 V3 100G CWDM4 Gen3 Mit HP,3406A03N,40G QSFP+ LR4,5/17/2024,高爽,18.000
5/17/2024,10040757,111579566_14,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,5/17/2024,高爽,506.000
5/17/2024,10040757,111579566_14,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,5/17/2024,高爽,118.000
5/17/2024,10040757,111579566_14,100217,新华三信息技术有限公司,500-6266,TR-FC13T-N4T,"40G QSFP+ IR4 V3.0,Mit DFB,GCS,2km,UNIS",3406A078,40G QSFP+ IR4,5/17/2024,高爽,114.000
5/21/2024,10040824,PO22697176,100415,阿里云（上海）信息科技有限公司,500-5529,TR-FC13X-N00,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",AB-QT0613C4eL,100G QSFP28 eCWDM4,5/25/2024,高爽,60.000
5/21/2024,10040825,PO22699136,100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",AB-QT0613C4eL,100G QSFP28 eCWDM4,5/27/2024,高爽,530.000
5/21/2024,10040826,PO22699141,100391,阿里云计算有限公司,500-5529,TR-FC13X-N00,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",AB-QT0613C4eL,100G QSFP28 eCWDM4,5/27/2024,高爽,530.000
5/21/2024,10040827,PO22697170,100415,阿里云（上海）信息科技有限公司,500-5529,TR-FC13X-N00,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",AB-QT0613C4eL,100G QSFP28 eCWDM4,5/27/2024,高爽,28.000
5/24/2024,10040874,HWHG2773528-35,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,9/7/2024,严冰艾,40.000
5/24/2024,10040874,HWHG2773528-35,100023,华为技术有限公司,500-6035,TR-FC13V-N00,"100G QSFP28 CLR4,HT(GN2105B+GN2110S)",34061300,100G QSFP28 CLR4,9/14/2024,严冰艾,140.000
5/27/2024,10040902,111579566_15,100217,新华三信息技术有限公司,500-5060,TR-FC13T-XHP,40G QSFP LR4 V3 100G CWDM4 Gen3 Mit HP,3406A03N,40G QSFP+ LR4,5/27/2024,高爽,27.000
5/31/2024,10040978,500179448,200663,JUNIPER NETWORKS INDIA PRIVATE  LIMITED,500-6554,TR-QQ13Y-NJ7,"40G LX4 C1,1310nm,Oclaro,CT,Juniper S3BU",740-056705,40G QSFP+ LX4,5/31/2024,莫兆熊,8.000
6/2/2024,10040988,111712946_2,100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",3406A08L,40G QSFP+ LX4,6/3/2024,高爽,510.000
6/3/2024,10041006,PO22714626,100408,阿里云计算（张北）有限公司,500-4957,TR-FC13T-N00,100G CWDM4 Gen3 for Alibaba,AB-QT0613C4nL,100G QSFP28 CWDM4,7/3/2024,高爽,210.000
6/4/2024,10041039,21202588749,200469,Fabrinet C/O Fabrinet Pte.Ltd.,562-0100,TR-FC13T-NCI,100G QSFP28 CWDM4 COP V2.0 2Km Cisco TH,10-3145-02,100G QSFP28 CWDM4,7/31/2024,莫兆熊,5.000
6/4/2024,10041040,21202588742,200469,Fabrinet C/O Fabrinet Pte.Ltd.,562-0099,TR-FC13H-HCI,100G Q28 CWDM4 Lite V2.0 500m Cisco TH,10-3220-02,100G QSFP28 CWDM4 Lite,7/31/2024,莫兆熊,5.000
6/6/2024,10041077,INC20240606001,200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-5819,TR-FC13X-NRO,"100G eCWDM4 Gen3 Receiver only,Ali R0",AB-QT0613C4eLR,100G QSFP28 eCWDM4,6/20/2024,高爽,70.000
6/6/2024,10041083,PO22719201,100408,阿里云计算（张北）有限公司,500-4957,TR-FC13T-N00,100G CWDM4 Gen3 for Alibaba,AB-QT0613C4nL,100G QSFP28 CWDM4,6/28/2024,高爽,1672.000
6/6/2024,10041088,PO22719231,100407,杭州阿里云飞天信息技术有限公司,500-4957,TR-FC13T-N00,100G CWDM4 Gen3 for Alibaba,AB-QT0613C4nL,100G QSFP28 CWDM4,7/28/2024,高爽,4500.000
6/8/2024,10041110,INC20240607001,200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-5819,TR-FC13X-NRO,"100G eCWDM4 Gen3 Receiver only,Ali R0",AB-QT0613C4eLR,100G QSFP28 eCWDM4,7/10/2024,高爽,120.000
6/12/2024,10041143,INC20240612001,200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,500-4957,TR-FC13T-N00,100G CWDM4 Gen3 for Alibaba,AB-QT0613C4nL,100G QSFP28 CWDM4,6/30/2024,高爽,66.000
6/12/2024,10041153,4301682538,200671,Eclipse Holdings BV,561-0083,TR-FC13P-H00,"100G Q28 CGR4 Gen3 V2.0,GL(Mit)from TW",07131035,100G QSFP28 CGR4,9/8/2024,莫兆熊,1670.000
6/12/2024,10041153,4301682538,200671,Eclipse Holdings BV,561-0076,TR-FC13P-H00,"100G CGR4 Gen3 V2.0,Weld+Ocl+GCS,TW",07131035,100G QSFP28 CGR4,9/8/2024,莫兆熊,1330.000
6/12/2024,10041153,4301682538,200671,Eclipse Holdings BV,561-0081,TR-FC13P-H00,"100G Q28 CGR4 Gen3,Google(Ocl),from TW",07131035,100G QSFP28 CGR4,9/8/2024,莫兆熊,5000.000
6/12/2024,10041153,4301682538,200671,Eclipse Holdings BV,561-0037,TR-FC13P-H00,"100G CGR4 Gen3 V2(Weld+Sum DFB)Google,TW",07131035,100G QSFP28 CGR4,9/8/2024,莫兆熊,2000.000
6/17/2024,10041218,4500226709,200146,ADVA Optical Networking,500-3886,TR-FC13X-NAD,"100G eCWDM4 V2.0,for ADVA,GEN3 Mits DFB",5061997001,100G QSFP28 eCWDM4,6/17/2024,吴盛,11.000
6/18/2024,10041252,500180036,200071,Juniper Networks Inc,500-6554,TR-QQ13Y-NJ7,"40G LX4 C1,1310nm,Oclaro,CT,Juniper S3BU",740-056705,40G QSFP+ LX4,6/18/2024,莫兆熊,4.000
6/20/2024,10041295,4301675135,200030,Google LLC,561-0083,TR-FC13P-H00,"100G Q28 CGR4 Gen3 V2.0,GL(Mit)from TW",07131035,100G QSFP28 CGR4,7/17/2024,莫兆熊,5000.000
6/20/2024,10041295,4301675135,200030,Google LLC,561-0083,TR-FC13P-H00,"100G Q28 CGR4 Gen3 V2.0,GL(Mit)from TW",07131035,100G QSFP28 CGR4,7/17/2024,莫兆熊,5000.000
6/21/2024,10041313,111712946_3,100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",3406A08L,40G QSFP+ LX4,6/21/2024,高爽,420.000
6/21/2024,10041322,111597436_6,100217,新华三信息技术有限公司,500-4378,TR-FC13T-NHP,"100G CWDM4 V2.0,HP,Weld(Ocl DFB+M37244)",3406A058,100G QSFP28 CWDM4,6/21/2024,高爽,20.000
6/21/2024,10041323,111744346_1,100217,新华三信息技术有限公司,500-6448,TR-QQ13Y-N00-H3C,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",3406A08L,40G QSFP+ LX4,6/21/2024,高爽,3902.000
