版次,MES质检库存,PN,Description,Plant,Storage,StorageDescription,SN,UnconstrainedQuantity
2A,0,280-1133,"OB Ass-BOM,CWDM4 V2.0(Welding version)",2000,1016,制一线边仓,P230801257,248
2B,0,280-1133,"OB Ass-BOM,CWDM4 V2.0(Welding version)",2000,1016,制一线边仓,P231216596,238
2B,0,280-1133,"OB Ass-BOM,CWDM4 V2.0(Welding version)",2000,1016,制一线边仓,P231216597,201
2B,0,280-1133,"OB Ass-BOM,CWDM4 V2.0(Welding version)",2000,1016,制一线边仓,P231216598,335
2B,0,280-1133,"OB Ass-BOM,CWDM4 V2.0(Welding version)",2000,1016,制一线边仓,P231216599,249
2B,0,280-1133,"OB Ass-BOM,CWDM4 V2.0(Welding version)",2000,1016,制一线边仓,P240122000,22
1E,0,280-1159,"RX CB Ass-BOM,CWDM4 V2.0(Welding,GCS PD)",2000,1016,制一线边仓,P231114089,90
1E,0,280-1159,"RX CB Ass-BOM,CWDM4 V2.0(Welding,GCS PD)",2000,1016,制一线边仓,P231120422,108
1E,0,280-1159,"RX CB Ass-BOM,CWDM4 V2.0(Welding,GCS PD)",2000,1016,制一线边仓,P231120423,115
1E,0,280-1159,"RX CB Ass-BOM,CWDM4 V2.0(Welding,GCS PD)",2000,1016,制一线边仓,P231120424,40
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240204000,23
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240204001,116
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240204002,118
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240204431,122
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240204432,352
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240204433,99
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240205000,342
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240205001,116
1B,0,280-1312-29,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1290nm",2000,1016,制一线边仓,P240205002,220
1C,0,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,1016,制一线边仓,P240205000,47
1C,0,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,1016,制一线边仓,P240205001,98
1C,0,280-1312-31,"TX COC Ass-BOM,CWDM4,Gen3 Mit DFB 1310nm",2000,1016,制一线边仓,P240205002,226
1A,0,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,1016,制一线边仓,P240205224,228
1A,0,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,1016,制一线边仓,P240205225,118
1A,0,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,1016,制一线边仓,P240207040,36
1A,0,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,1016,制一线边仓,P240207041,115
1A,0,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,1016,制一线边仓,P240207042,467
1A,0,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,1016,制一线边仓,P240207043,351
1A,0,280-1480-27,"TX COC,CWDM4 COP(sumitomo DFB 1270nm)",2000,1016,制一线边仓,P240207366,475
1A,0,280-1480-29,"TX COC,CWDM4 COP(sumitomo DFB 1290nm)",2000,1016,制一线边仓,P240207044,63
1A,0,280-1480-29,"TX COC,CWDM4 COP(sumitomo DFB 1290nm)",2000,1016,制一线边仓,P240207045,29
1A,0,280-1480-29,"TX COC,CWDM4 COP(sumitomo DFB 1290nm)",2000,1016,制一线边仓,P240207046,112
1A,0,280-1480-29,"TX COC,CWDM4 COP(sumitomo DFB 1290nm)",2000,1016,制一线边仓,P240207047,339
1A,0,280-1480-29,"TX COC,CWDM4 COP(sumitomo DFB 1290nm)",2000,1016,制一线边仓,P240207048,337
1A,0,280-1480-29,"TX COC,CWDM4 COP(sumitomo DFB 1290nm)",2000,1016,制一线边仓,P240207049,225
1A,0,280-1480-31,"TX COC,CWDM4 COP(sumitomo DFB 1310nm)",2000,1016,制一线边仓,P240205286,265
1A,0,280-1480-31,"TX COC,CWDM4 COP(sumitomo DFB 1310nm)",2000,1016,制一线边仓,P240205287,113
1A,0,280-1480-31,"TX COC,CWDM4 COP(sumitomo DFB 1310nm)",2000,1016,制一线边仓,P240205288,109
1A,0,280-1594,"RX CB BOM,COP G3(SEI,2110S,Sif,kovar HS)",2000,1016,制一线边仓,P231113990,36
1A,0,280-1594,"RX CB BOM,COP G3(SEI,2110S,Sif,kovar HS)",2000,1016,制一线边仓,P231113991,164
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240110001,79
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240111660,40
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240111661,340
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240111662,240
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240112000,80
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240112001,580
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240113252,180
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240113253,560
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240115234,100
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240115235,400
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240115236,260
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240116000,40
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240116001,220
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240116002,240
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240116003,100
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240117798,60
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240117799,20
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240117800,580
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240117801,20
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240118000,120
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240118001,600
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240118002,480
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240120000,340
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240120001,260
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240122869,140
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240122870,459
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240122871,600
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240124646,600
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240124647,600
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240126454,600
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240126455,600
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240129000,1200
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240129001,600
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240201820,1200
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240201821,480
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240205339,720
1D,0,280-1595,"OB BOM,COP G3(SEI,2110S,Sif PD,kovar HS)",2000,1016,制一线边仓,P240205340,600
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231117000,310
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231120000,280
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231120001,38
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231121657,219
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231121658,20
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231128991,200
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231128992,100
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231129000,160
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231129001,60
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231129002,100
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231130313,80
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231130314,60
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231130315,100
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231205000,260
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231205001,20
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231205002,20
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231207268,120
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231207269,100
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231212184,80
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231212185,220
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231214000,200
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231215000,60
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231215001,40
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231216594,121
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231221190,460
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P231226538,208
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P240103435,380
1C,0,280-1787,"OB-Assy,40G LX4 Gen3",2000,1016,制一线边仓,P240116000,119
1A,0,280-1828-CD,"OB BOM,COP G3.1,DFB,2110S,Sif,Kovar HS",2000,1016,制一线边仓,P231212194,205
,0,282-0433,"Field lens spacer,0.4*0.4*0.21mm",2000,1016,制一线边仓,23B0900251,418
1A,0,283-0046-27,"Chip,25Gbps DFB laser diode,1270nm",2000,1016,制一线边仓,2192300354,786
1A,0,283-0046-27,"Chip,25Gbps DFB laser diode,1270nm",2000,1016,制一线边仓,2231500043,2235
1A,0,283-0046-27,"Chip,25Gbps DFB laser diode,1270nm",2000,1016,制一线边仓,2232600168,515
1A,0,283-0046-27,"Chip,25Gbps DFB laser diode,1270nm",2000,1016,制一线边仓,2261800168,956
1A,0,283-0046-29,"Chip,25Gbps DFB laser diode,1290nm",2000,1016,制一线边仓,2261800167,3148
1A,0,283-0046-31,"Chip,25Gbps DFB laser diode,1310nm",2000,1016,制一线边仓,2410600245,3815
1A,0,283-0046-31,"Chip,25Gbps DFB laser diode,1310nm",2000,1016,制一线边仓,2411800200,1695
1A,0,283-0046-33,"Chip,25Gbps DFB laser diode,1330nm",2000,1016,制一线边仓,2250400024,3023
1A,0,283-0098,"Pin PD Array,4*25Gbps,250um ptich",1000,1016,制一线边仓,23A1300175,57
1A,0,283-0098,"Pin PD Array,4*25Gbps,250um ptich",1000,1016,制一线边仓,23A1300176,1107
1A,0,283-0110-27,"MQW-DFB Laser chip,1267 to 1272nm",2000,1016,制一线边仓,23C2900175,860
1A,0,283-0110-27,"MQW-DFB Laser chip,1267 to 1272nm",2000,1016,制一线边仓,2410300198,237
1A,0,283-0110-29,"MQW-DFB Laser chip,1287 to 1292nm",2000,1016,制一线边仓,23C2900179,884
1A,0,283-0110-29,"MQW-DFB Laser chip,1287 to 1292nm",2000,1016,制一线边仓,2420100204,110
1A,0,283-0110-31,"MQW-DFB Laser chip,1307 to 1312nm",2000,1016,制一线边仓,23C2900180,1314
1A,0,283-0110-31,"MQW-DFB Laser chip,1307 to 1312nm",2000,1016,制一线边仓,23C2900182,507
1A,0,283-0110-31,"MQW-DFB Laser chip,1307 to 1312nm",2000,1016,制一线边仓,2410300202,779
1A,0,283-0110-33,"MQW-DFB Laser chip,1327 to 1332nm",2000,1016,制一线边仓,23C2900183,1740
1A,0,283-0110-33,"MQW-DFB Laser chip,1327 to 1332nm",2000,1016,制一线边仓,2410300204,2152
1A,0,283-0226,"PD,DO297_45um_E1,45um",2000,1016,制一线边仓,2390800493,12
,0,283-0226,"PD,DO297_45um_E1,45um",2000,1016,制一线边仓,23B0900251,718
1C,0,284-0014,"TX LD Lens,G27Ø1.0*0.8,Optowide,TA17020",2000,1016,制一线边仓,2361600380,200
1A,0,284-0118,Silicon Field Lens Array1.75x0.34x0.275,2000,1016,制一线边仓,23A1100245,953
,0,284-0118,Silicon Field Lens Array1.75x0.34x0.275,2000,1016,制一线边仓,23B0900252,800
1B,0,285-0012,"LD submount,for all",2000,1016,制一线边仓,2410500065,7910
1B,0,285-0012,"LD submount,for all",2000,1016,制一线边仓,2411100401,11261
1B,0,285-0012,"LD submount,for all",2000,1016,制一线边仓,2412000047,842
1A,0,285-0109,"TIA Submount,Low cost",2000,1016,制一线边仓,23B1500075,282
1A,0,311-0260,"TopProtective film,24.1*15.05*0.19,NS13k",2000,1016,制一线边仓,23C0700438,832
,0,311-0357-CD,"top Protective film,20*15.05*0.19",2000,1016,制一线边仓,2108240057,159
1B,0,311-0357-CD,"top Protective film,20*15.05*0.19",2000,1016,制一线边仓,23A1600073,2265
1B,0,320-0367,Hermetic box for TOSA,1000,1016,制一线边仓,2282200035,97
1A,0,320-0368,"Lid,TOSA Hermetic,GMS-B5370",1000,1016,制一线边仓,2281200239,26
2C,0,320-0468,"CuW base,23.14*14.25*5.9",2000,1016,制一线边仓,2391100041,40
2C,0,320-0468,"CuW base,23.14*14.25*5.9",2000,1016,制一线边仓,2410700185,614
1B,0,320-0763,"heatsink Kovar 4J29,breadth:13.85mm",2000,1016,制一线边仓,2411100141,320
1B,0,320-0763,"heatsink Kovar 4J29,breadth:13.85mm",2000,1016,制一线边仓,2411800510,1467
1B,0,320-0763,"heatsink Kovar 4J29,breadth:13.85mm",2000,1016,制一线边仓,2411800511,200
1C,0,504-1532,"PCBA BOM,CWDM4-Duplex(with MCC Diode)",2000,1016,制一线边仓,2412400233,59
1C,0,504-1532,"PCBA BOM,CWDM4-Duplex(with MCC Diode)",2000,1016,制一线边仓,2412400236,129
1C,0,504-1532,"PCBA BOM,CWDM4-Duplex(with MCC Diode)",2000,1016,制一线边仓,2412800276,182
1C,0,504-1532,"PCBA BOM,CWDM4-Duplex(with MCC Diode)",2000,1016,制一线边仓,2412800277,2033
1B,0,504-1877,"PCBA,COP Gen3,prevent Vulcanizati",2000,1016,制一线边仓,2411100184,2034
1B,0,504-1877,"PCBA,COP Gen3,prevent Vulcanizati",2000,1016,制一线边仓,2411200218,182
1A,0,504-2020-CD,"PCBA BOM,Semtech DRV+TIA,Std",2000,1016,制一线边仓,22A0400132,8
,,,,,1016,,,246965
1A,0,280-0952,"LD submount for Oclaro,0.45*1.6*0.2mm",2000,1030,线边流转材料仓,2060700223,18117
,,,,,1030,,,18117
,0,500-4042,"100G CWDM4 BiDi,Std(Ocl+GCS PD+GN2110B)",1000,2013,成品二仓,,10
,0,500-4042,"100G CWDM4 BiDi,Std(Ocl+GCS PD+GN2110B)",2000,2013,成品二仓,,12
,0,500-4292,"100G CWDM4 V2.0,Std(Gen3 Mitsubishi DFB)",2000,2013,成品二仓,,4
,0,500-4693,"QSFP+ IR4 V3.0(Mitsubishi Gen3),Standard",2000,2013,成品二仓,,34
,0,500-4925,"100G SR4 Gen3,Avago LP Vcsel array,Stan",1000,2013,成品二仓,,1
,0,500-4961-001,"100G AOC Gen3,1m,Avago Vcsel,Standard",1000,2013,成品二仓,,2
,0,500-4961-002,"100G AOC Gen3,2m,Avago Vcsel,Standard",1000,2013,成品二仓,,2
,0,500-4961-003,"100G AOC Gen3,3m,Avago Vcsel,Standard",1000,2013,成品二仓,,13
,0,500-4961-005,"100G AOC Gen3,5m,Avago Vcsel,Standard",1000,2013,成品二仓,,1
,0,500-4961-007,"100G AOC Gen3,7m,Avago Vcsel,Standard",1000,2013,成品二仓,,14
,0,500-4961-010,"100G AOC Gen3,10m,Avago Vcsel,Standard",1000,2013,成品二仓,,16
,0,500-4961-015,"100G AOC Gen3,15m,Avago Vcsel,Standard",1000,2013,成品二仓,,5
,0,500-4961-020,"100G AOC Gen3,20m,Avago Vcsel,Standard",1000,2013,成品二仓,,1
,0,500-5216-003,"100G Q28 AOC G3,3m,Avago LP Vcsel,Std",1000,2013,成品二仓,,1
,0,500-5216-005,"100G Q28 AOC G3,5m,Avago LP Vcsel,Std",1000,2013,成品二仓,,1
,0,500-5216-007,"100G Q28 AOC G3,7m,Avago LP Vcsel,Std",1000,2013,成品二仓,,1
,0,500-5216-010,"100G Q28 AOC G3,10m,Avago LP Vcsel,Std",1000,2013,成品二仓,,1
,0,500-5274,QSFP+SR4 G3 40G 300m Std,1000,2013,成品二仓,,6
,0,500-5275,QSFP+SR4 G3 40G 100m Std,1000,2013,成品二仓,,754
,0,500-5275,QSFP+SR4 G3 40G 100m Std,2000,2013,成品二仓,,658
,0,500-5359,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",1000,2013,成品二仓,,458
,0,500-5359,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",2000,2013,成品二仓,,15
,0,500-6159-001,"100G QSFP28 Gen3,SFP28 V4S AOC,1M,Std",1000,2013,成品二仓,,3
,0,500-6159-005,"100G QSFP28 Gen3,SFP28 V4S AOC,5M,Std",1000,2013,成品二仓,,1
,0,500-6159-007,"100G QSFP28 Gen3,SFP28 V4S AOC,7M,Std",1000,2013,成品二仓,,1
