Creation_Date,Sales_Channel,订单类型描述,CustomerCode,CustomerName,注释,Series,PN,Model,Description,物料组2描述,物料组3描述,物料短描述,DeliveryDate0,DeliveryQuantity,Revenue,UnmetQuantity,SONumber,CompanyCode,SystemSONumber,ItemId,CompanyName,IndustrialStandard,CustomerPN,Quantity,Currency,DeliveryDate,销售员姓名,拒绝原因描述,创建人,
1/2/24,国外-直销,标准销售订单,200580,Nvidia Corporation,Nvidia Corporation,100G,500-7207-003,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G AOC Gen3,3m,Sony Vcsel,Standard",2/20/24,115.000,,0,56317457,1000,10038550,10,苏州旭创科技有限公司,TF-FC003-N00,TF-FC003-N00,115,USD,1/5/24,莫兆熊,,LIUNN,
1/2/24,国外-直销,标准销售订单,200580,Nvidia Corporation,Nvidia Corporation,100G,500-7207-010,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G AOC Gen3,10m,Sony Vcsel,Standard",2/20/24,65.000,,0,56317457,1000,10038550,20,苏州旭创科技有限公司,TF-FC010-N00,TF-FC010-N00,65,USD,1/5/24,莫兆熊,,LIUNN,
1/2/24,国外-直销,标准销售订单,200580,Nvidia Corporation,Nvidia Corporation,100G,500-7207-020,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G AOC Gen3,20m,Sony Vcsel,Standard",2/20/24,40.000,,0,56317457,1000,10038550,30,苏州旭创科技有限公司,TF-FC020-N00,TF-FC020-N00,40,USD,1/5/24,莫兆熊,,LIUNN,
1/4/24,国外-直销,标准销售订单,PSM01,Innolight Technology USA Inc.,Innolight Technology USA Inc.,100G,500-6159-010,100G QSFP28 to 4x25G SFP28 Breakout AOC Gen3.0,100G QSFP28 to 4x25G SFP28 AOC Gen3.0,100G AOC Breakout,,"100G QSFP28 Gen3,SFP28 V4S AOC,10M,Std",1/31/24,8.000,,0,INU-Novality-008634,1000,10038567,10,苏州旭创科技有限公司,TF-FPQY010-N00,TF-FPQY010-N00,8,USD,1/4/24,莫兆熊,,HURN,
1/4/24,国外-直销,标准销售订单,PSM01,Innolight Technology USA Inc.,Innolight Technology USA Inc.,100G,500-7179-010,100G QSFP28 to 4x25G SFP28 Breakout AOC Gen3.0,100G QSFP28 to 4x25G SFP28 AOC Gen3.0,100G AOC Breakout,,"100G QSFP28 Gen3,SFP28 V4S AOC,10M,Std",1/31/24,10.000,,0,INU-Novality-008634,1000,10038567,20,苏州旭创科技有限公司,TF-FPQY010-N00,TF-FPQY010-N00,10,USD,1/4/24,莫兆熊,,HURN,
1/4/24,国外-直销,标准销售订单,200109,Precision Optical Transceivers,Precision Optical Transceivers,100G,500-7207-005,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G AOC Gen3,5m,Sony Vcsel,Standard",2/29/24,26.000,,0,PO202400013,1000,10038568,20,苏州旭创科技有限公司,TF-FC005-N00,TF-FC005-N00,26,USD,1/4/24,莫兆熊,,WANGMH,
1/4/24,国外-直销,标准销售订单,200109,Precision Optical Transceivers,Precision Optical Transceivers,100G,500-7207-010,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G AOC Gen3,10m,Sony Vcsel,Standard",2/29/24,32.000,,0,PO202400013,1000,10038568,30,苏州旭创科技有限公司,TF-FC010-N00,TF-FC010-N00,32,USD,1/4/24,莫兆熊,,WANGMH,
1/4/24,国外-直销,标准销售订单,200639,SQ Technology (Shanghai)  Corporation,SQ Technology (Shanghai)  Corporation-eBay,100G,500-5359,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",1/12/24,2.000,,0,6500346248,1000,10038573,10,苏州旭创科技有限公司,TR-FC85S-N00,TR-FC85S-N00,2,USD,1/4/24,莫兆熊,,HURN,
1/5/24,国内-直销,标准销售订单,100200,Ericsson (China) Communications,Ericsson (China) Communications,100G,500-6283-010,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G QSFP28 AOC Gen3,10m,Avago,ERI",2/18/24,161.000,,0,4529923178,1000,10038580,10,苏州旭创科技有限公司,TF-FC010-M00,RDH 104 03/10M,161,CNY,1/5/24,吴盛,,WANGMH,
1/5/24,国外-直销,标准销售订单,200030,Google LLC,Google LLC,100G,500-6137,100G QSFP28 CGR4 Gen3.0 W/CDR,100G QSFP28 CGR4 Gen3.0 W/CDR,100G QSFP28 CGR4,,"100G QSFP28 CGR4 Gen3 V2.0,GL(Mit)",,0,,10000.000,4301385488,1000,10038586,10,苏州旭创科技有限公司,TR-FC13P-H00,07131035,10000,USD,6/8/24,莫兆熊,,WANGS,
1/5/24,国外-渠道,标准销售订单,200114,HYVE USA-AWS,HYVE USA-AWS,100G,500-4890,40G QSFP+ IR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ IR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ IR4,,"QSFP+ IR4/LR4 V3.0(100G_Mit Gen3),AWS",1/19/24,250.000,,0,218379,1000,10038593,10,苏州旭创科技有限公司,TR-QQ13T-NAM,TR-QQ13T-NAM,250,USD,1/25/24,莫兆熊,,WANGS,
1/5/24,国外-渠道,标准销售订单,200114,HYVE USA-AWS,HYVE USA-AWS,100G,500-5010,40G QSFP+ LR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ LR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ LR4,,"QSFP+ IR4/LR4 V3.0(100G_Ocl DFB),for AWS",1/19/24,950.000,,0,218379,1000,10038593,20,苏州旭创科技有限公司,TR-QQ13T-NW2,TR-QQ13T-NW2,950,USD,1/25/24,莫兆熊,,WANGS,
1/5/24,国内-直销,标准销售订单,100391,阿里云计算有限公司,,100G,500-5529,100G QSFP28 eCWDM4 Gen3.0,100G QSFP28 eCWDM4 Gen3.0,100G QSFP28 eCWDM4,,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",1/10/24,520.000,,0,PO22549967,1000,10038595,10,苏州旭创科技有限公司,TR-FC13X-N00,AB-QT0613C4eL,520,CNY,1/8/24,高爽,,SUNYJ,
1/8/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6448,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform),40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),40G QSFP+ LX4,,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",,230.000,,230.000,111633987_1,1000,10038599,10,苏州旭创科技有限公司,TR-QQ13Y-N00-H3C,3406A08L,230,CNY,1/8/24,高爽,,WANGZB,
1/9/24,国外-渠道,标准销售订单,200613,GREEN ENERGY GLOBAL INVESTMENT LIMITED,,100G,500-5529,100G QSFP28 eCWDM4 Gen3.0,100G QSFP28 eCWDM4 Gen3.0,100G QSFP28 eCWDM4,,"100G QSFP28 eCWDM4 Gen3,Alibaba,R0",1/12/24,72.000,,0,INC20240109001,1000,10038614,10,苏州旭创科技有限公司,TR-FC13X-N00,AB-QT0613C4eL,72,USD,1/10/24,高爽,,SUNYJ,
1/10/24,国外-直销,标准销售订单,PSM01,Innolight Technology USA Inc.,Innolight Technology USA Inc.,100G,500-5281,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4,,"100G QSFP28 CWDM4 COP V2 Google,Mit DFB",1/29/24,600.000,,0,INU-ePlus-4938789-1,1000,10038628,10,苏州旭创科技有限公司,TR-FC13T-NGL,TR-FC13T-NGL,600,USD,1/10/24,莫兆熊,,WANGS,
1/10/24,国外-直销,标准销售订单,200191,Jabil-Coriant,Jabil-Coriant,100G,500-4188,100G QSFP28 SR4 Gen2.0,100G QSFP28 SR4 Gen2.0,100G QSFP28 SR4,,"QSFP28 SR4 16GFC Macom Driver,Coriant",2/26/24,16.000,,0,3014004507,1000,10038632,10,苏州旭创科技有限公司,TR-FA85S-NCT,ZXS-QPFCZZMR-00,16,USD,3/1/24,莫兆熊,,WANGMH,
1/12/24,国内-直销,标准销售订单,100185,深圳融溢科技有限公司,,100G,500-6485,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform),40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),40G QSFP+ LX4,,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),Std",1/19/24,11.000,,0,SINC20240112001,1000,10038651,10,苏州旭创科技有限公司,TR-QQ13Y-N00,TR-QQ13Y-N00,11,CNY,1/12/24,杨陵辉,,YANGLH,
1/12/24,国内-直销,标准销售订单,100185,深圳融溢科技有限公司,,100G,500-7232,100G QSFP28 CGR4 BiDi Gen3.0 W/CDR,100G QSFP28 CGR4 BiDi Gen3.0 W/CDR,100G QSFP28 CGR4 BIDI,,100G QSFP28 CGR4 BiDi Gen3 2km Standard,1/16/24,190.000,,0,SINC20240112002,1000,10038652,10,苏州旭创科技有限公司,TR-BC13P-H00,TR-BC13P-H00,190,CNY,1/12/24,杨陵辉,,YANGLH,
1/15/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6267,40G QSFP+ LR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ LR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ LR4,,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,10.000,,10.000,111579566_5,1000,10038659,10,苏州旭创科技有限公司,TR-FC13T-N4X,3406A079,10,CNY,1/15/24,高爽,,WANGZB,
1/15/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6267,40G QSFP+ LR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ LR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ LR4,,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,11.000,,11.000,111579566_5,1000,10038659,20,苏州旭创科技有限公司,TR-FC13T-N4X,3406A079,11,CNY,1/15/24,高爽,,WANGZB,
1/15/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6267,40G QSFP+ LR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ LR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ LR4,,"40G QSFP+ LR4 V3.0,Mit DFB,GCS,10km,UNIS",,11.000,,11.000,111579566_5,1000,10038659,30,苏州旭创科技有限公司,TR-FC13T-N4X,3406A079,11,CNY,1/15/24,高爽,,WANGZB,
1/15/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-4378,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4,,"100G CWDM4 V2.0,HP,Weld(Ocl DFB+M37244)",,0,,60.000,111597436_2,1000,10038660,10,苏州旭创科技有限公司,TR-FC13T-NHP,3406A058,60,CNY,1/15/24,高爽,,WANGZB,
1/15/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-4378,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4,,"100G CWDM4 V2.0,HP,Weld(Ocl DFB+M37244)",,0,,20.000,111597436_2,1000,10038660,20,苏州旭创科技有限公司,TR-FC13T-NHP,3406A058,20,CNY,1/15/24,高爽,,WANGZB,
1/15/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6448,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform),40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),40G QSFP+ LX4,,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",,120.000,,120.000,111633987_2,1000,10038661,10,苏州旭创科技有限公司,TR-QQ13Y-N00-H3C,3406A08L,120,CNY,1/15/24,高爽,,WANGZB,
1/15/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6448,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform),40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),40G QSFP+ LX4,,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",,0,,330.000,111633987_2,1000,10038661,20,苏州旭创科技有限公司,TR-QQ13Y-N00-H3C,3406A08L,330,CNY,1/15/24,高爽,,WANGZB,
1/16/24,国内-直销,标准销售订单,100023,华为技术有限公司,,100G,500-7041,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4,,"100G QSFP28 CWDM4 Gen3 1310nm,2Km HT",2/29/24,559.000,,0,HWHG2773528-17,1000,10038675,1,苏州旭创科技有限公司,TR-FC13T-N00,34061299-006,559,CNY,4/20/24,严冰艾,,BIZLINK,
1/16/24,国外-直销,标准销售订单,200530,ADVA Optical Networking SE,ADVA Optical Networking SE,100G,500-3886,100G QSFP28 eCWDM4 Gen2.0,100G QSFP28 eCWDM4 Gen2.0,100G QSFP28 eCWDM4,,"100G eCWDM4 V2.0,for ADVA,GEN3 Mits DFB",2/25/24,150.000,,0,4500219762,1000,10038678,10,苏州旭创科技有限公司,TR-FC13X-NAD,5061997001,150,USD,1/16/24,吴盛,,WANGMH,
1/16/24,国外-直销,标准销售订单,200627,EGENTRY Inc.,EGENTRY Inc.-SB System,100G,500-5523,40G QSFP+ LR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ LR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ LR4,,"40G QSFP+ LR4 V3.0 Oclaro DFB,SB System",,0,,200.000,2024011100002,1000,10038679,50,苏州旭创科技有限公司,TR-QQ13L-N00,TR-QQ13L-N00,200,USD,1/16/24,吴盛,客户取消订单,WANGMH,
1/17/24,国外-直销,标准销售订单,200641,ALPHA NETWORKS INC,ALPHA NETWORKS INC-Juniper,100G,500-3432-005,100G QSFP28 AOC Gen2.0,100G QSFP28 AOC Gen2.0,100G QSFP28 AOC,,"100G QSFP28 AOC V2M,5m,JC(740-065632）",1/30/24,108.000,,0,6002279002,1000,10038680,10,苏州旭创科技有限公司,TF-FC005-NJC,740-065632,108,USD,1/17/24,莫兆熊,,WANGMH,
1/17/24,国外-直销,标准销售订单,200065,Cisco Systems,Cisco Systems,100G,500-5481,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,Q28 SR4 G3 100m Sony Vcsel Cisco,1/26/24,8.000,,0,US202588360,1000,10038698,40,苏州旭创科技有限公司,TR-FC85S-NC3,10-3142-03,8,USD,1/19/24,莫兆熊,,HURN,
1/17/24,国外-直销,标准销售订单,PSM01,Innolight Technology USA Inc.,Innolight Technology USA Inc.,100G,500-7207-003,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC Gen3.0,100G QSFP28 AOC,,"100G AOC Gen3,3m,Sony Vcsel,Standard",3/7/24,150.000,,0,INU-EOS1024-00096,1000,10038710,10,苏州旭创科技有限公司,TF-FC003-N00,TF-FC003-N00,150,USD,1/17/24,莫兆熊,,HURN,
1/17/24,国外-直销,标准销售订单,200499,Celestica LLC (6100),Celestica LLC (6100),100G,500-5359,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,0,,32.000,5500297581,1000,10038711,10,苏州旭创科技有限公司,TR-FC85S-N00,TR-FC85S-N00,32,USD,1/17/24,莫兆熊,客户取消订单,HURN,
1/17/24,国外-直销,标准销售订单,200608,Celestica India Private Ltd,Celestica India Private Ltd,100G,500-5359,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",,0,,40.000,6240000312,1000,10038712,10,苏州旭创科技有限公司,TR-FC85S-N00,TR-FC85S-N00,40,USD,1/17/24,吴盛,客户取消订单,HURN,
1/17/24,国内-直销,标准销售订单,100042,深圳市中兴康讯电子有限公司,,100G,500-4611,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4,,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",2/22/24,203.000,,226.000,2401POSC00042957,1000,10038717,10,苏州旭创科技有限公司,TR-FC13T-N00,033030600035,429,CNY,1/17/24,符春凯,,YANGLH,
1/17/24,国内-直销,标准销售订单,100042,深圳市中兴康讯电子有限公司,,100G,500-4611,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4,,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",,226.000,,0,2401POSC00042957,1000,10038717,10,苏州旭创科技有限公司,TR-FC13T-N00,033030600035,429,CNY,1/17/24,符春凯,,YANGLH,
1/17/24,国外-直销,标准销售订单,200028,LucaTech Technology,LucaTech Technology,100G,500-5359,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",2/19/24,4.000,,0,ACTE37385201,1000,10038731,10,苏州旭创科技有限公司,TR-FC85S-N00,TR-FC85S-N00,4,USD,2/8/24,吴盛,,HURN,
1/18/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6448,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform),40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),40G QSFP+ LX4,,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",,130.000,,130.000,111633987_3,1000,10038735,10,苏州旭创科技有限公司,TR-QQ13Y-N00-H3C,3406A08L,130,CNY,1/18/24,高爽,,WANGZB,
1/18/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6448,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform),40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),40G QSFP+ LX4,,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",,0,,40.000,111633987_3,1000,10038735,20,苏州旭创科技有限公司,TR-QQ13Y-N00-H3C,3406A08L,40,CNY,1/18/24,高爽,,WANGZB,
1/18/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6448,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform),40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),40G QSFP+ LX4,,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",,0,,90.000,111633987_3,1000,10038735,30,苏州旭创科技有限公司,TR-QQ13Y-N00-H3C,3406A08L,90,CNY,1/18/24,高爽,,WANGZB,
1/18/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6448,40G QSFP+ LX4 Gen3.0(100G QSFP28 CWDM4 Gen3.0 platform),40G QSFP+ LX4 Gen3(100G Q28 CWDM4 G3平台),40G QSFP+ LX4,,"40G QSFP+ LX4 Gen3(Q28 CWDM4 Gen3),H3C",,0,,150.000,111633987_3,1000,10038735,40,苏州旭创科技有限公司,TR-QQ13Y-N00-H3C,3406A08L,150,CNY,1/18/24,高爽,,WANGZB,
2/20/24,国外-直销,标准销售订单,200022,OptoWiz Co.  Ltd,OptoWiz Co.  Ltd,100G,500-3344,100G QSFP28 SR4 Gen2.0,100G QSFP28 SR4 Gen2.0,100G QSFP28 SR4,,"100G QSFP28 SR4 V2M,100m,Std,nalux lens",2/26/24,3700.000,,0,POIN240118-1,1000,10038738,40,苏州旭创科技有限公司,TR-FC85S-N00,TR-FC85S-N00,3700,USD,1/18/24,吴盛,,WANGMH,
1/18/24,国内-直销,标准销售订单,100023,华为技术有限公司,,100G,500-7041,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4,,"100G QSFP28 CWDM4 Gen3 1310nm,2Km HT",2/29/24,1086.000,,0,HWHG2773528-20,1000,10038740,1,苏州旭创科技有限公司,TR-FC13T-N00,34061299-006,1086,CNY,5/4/24,严冰艾,,BIZLINK,
1/18/24,国内-直销,标准销售订单,100023,华为技术有限公司,,100G,500-7041,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4,,"100G QSFP28 CWDM4 Gen3 1310nm,2Km HT",2/29/24,355.000,,0,HWHG2773528-21,1000,10038741,1,苏州旭创科技有限公司,TR-FC13T-N00,34061299-006,1091,CNY,5/18/24,严冰艾,,BIZLINK,
1/18/24,国内-直销,标准销售订单,100023,华为技术有限公司,,100G,500-7041,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4 Gen3.0,100G QSFP28 CWDM4,,"100G QSFP28 CWDM4 Gen3 1310nm,2Km HT",3/7/24,736.000,,0,HWHG2773528-21,1000,10038741,1,苏州旭创科技有限公司,TR-FC13T-N00,34061299-006,1091,CNY,5/18/24,严冰艾,,BIZLINK,
1/21/24,国内-直销,标准销售订单,100217,新华三信息技术有限公司,,100G,500-6161,40G QSFP+ LR4 Gen3.0(100G QSFP28 CWDM4 Gen2.0 platform),40G QSFP+ LR4 Gen3(100G Q28 CWDM4 G2平台),40G QSFP+ LR4,,"40G QSFP+ LR4 V3.0(100G CWDM4 Ocl),UNIS",,0,,10.000,111579566_6,1000,10038769,10,苏州旭创科技有限公司,TR-FC13T-N4X,3406A079,10,CNY,1/22/24,高爽,,WANGZB,
1/21/24,国内-直销,标准销售订单,100042,深圳市中兴康讯电子有限公司,,100G,500-4611,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4 Gen2.0,100G QSFP28 CWDM4,,"100G CWDM4,0-70C,for ZTE,Weld+Ocl M37244",,0,,1800.000,2401POSC00053842,1000,10038772,10,苏州旭创科技有限公司,TR-FC13T-N00,033030600035,1800,CNY,1/21/24,符春凯,,YANGLH,
1/22/24,国外-直销,标准销售订单,200372,Arrcus Network Different,Arrcus Network Different,100G,500-5359,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4 Gen3.0,100G QSFP28 SR4,,"100G SR4 G3(2108S/09S,Sony Vcsel )Std",1/30/24,2.000,,0,PO409,1000,10038796,20,苏州旭创科技有限公司,TR-FC85S-N00,TR-FC85S-N00,2,USD,1/22/24,莫兆熊,,HURN,
