substitution group,Priority,Usage percentage,component,Assemble P/N
AA,0,100,351-0009,561-0099
AA,0,0,351-0011,561-0099
AA,0,0,351-0012,561-0099
AA,0,0,351-0013,561-0099
A1,0,100,260-0141-02,561-0140
A1,0,0,260-0236,561-0140
A1,0,0,260-0278,561-0140
A2,0,0,300-0151,561-0140
A2,0,100,300-0151-RW,561-0140
A3,0,0,310-0407,561-0140
A3,0,100,310-0407-RW,561-0140
A1,0,0,260-0199-R,502-2003
A1,0,100,260-0199,502-2003
A1,0,100,260-0141-02,502-1783-02
A1,0,0,260-0236,502-1783-02
A1,0,0,260-0141-02-R,502-1783-02
A1,0,0,260-0278,502-1783-02
A2,0,100,300-0151,502-1783-02
A2,0,0,300-0151-RW,502-1783-02
A3,0,100,310-0407,502-1783-02
A3,0,0,310-0407-RW,502-1783-02
A1,0,100,351-0009,503-0084-ID
A1,0,0,351-0011,503-0084-ID
A1,0,0,351-0012,503-0084-ID
A1,0,0,351-0013,503-0084-ID
A1,0,100,351-0009,562-0099
A1,0,0,351-0011,562-0099
A1,0,0,351-0012,562-0099
A1,0,0,351-0013,562-0099
A1,0,100,351-0009,562-0100
A1,0,0,351-0011,562-0100
A1,0,0,351-0012,562-0100
A1,0,0,351-0013,562-0100
A1,0,0,280-0213,280-1192-01
A1,0,0,280-0765,280-1192-01
A1,0,0,280-0425,280-1192-01
A1,0,0,284-0014,280-1192-01
A1,0,0,504-1369,280-1193
A1,0,100,504-1753,280-1193
A1,0,100,140-0645,504-1753
A1,0,0,140-0253,504-1753
A2,0,100,130-0077,504-1753
A2,0,0,140-0384,504-1753
A3,0,100,140-0834,504-1753
A3,0,0,140-0392,504-1753
A3,0,0,140-0628,504-1753
A2,0,0,320-0577,280-1193
A2,0,100,320-0763,280-1193
A3,0,100,100-0084,280-1193
A3,0,0,101-0001,280-1193
B1,0,100,280-1133,260-0152-01
A1,0,100,282-0601,280-1458
A1,0,0,282-0040,280-1458
B1,0,0,223-0011,260-0152-01
A1,0,100,282-0040,223-0011
A1,0,0,282-0601,223-0011
C1,0,100,280-1020,260-0152-01
A1,0,0,280-0848,280-1020
A1,0,100,284-0106,280-1020
C1,0,0,223-0012,260-0152-01
A1,0,100,280-0848,223-0012
A1,0,0,284-0106,223-0012
A1,0,0,280-1192-02,260-0152-02
A2,0,0,280-0213,280-1192-02
A2,0,100,280-0765,280-1192-02
A2,0,0,280-0425,280-1192-02
A2,0,0,284-0014,280-1192-02
A3,0,100,280-0981-N0,280-1049-27
A3,0,0,283-0116,280-1049-27
A3,0,100,280-0981-N1,280-1049-29
A3,0,0,283-0130,280-1049-29
A3,0,100,280-0981-N3,280-1049-33
A3,0,0,283-0118,280-1049-33
A1,0,100,280-1811,260-0152-02
A1,0,0,280-0213,280-1811
A1,0,0,280-0765,280-1811
A1,0,100,280-0425,280-1811
A1,0,0,284-0014,280-1811
B1,0,100,504-1753,280-1811
B1,0,0,504-1369,280-1811
C1,0,0,100-0084,280-1811
C1,0,100,101-0001,280-1811
B1,0,0,280-1133,260-0152-02
B1,0,100,223-0011,260-0152-02
C1,0,0,280-1020,260-0152-02
C1,0,100,223-0012,260-0152-02
A1,0,0,280-0213,280-1160-01
A1,0,100,280-0765,280-1160-01
A1,0,0,280-0425,280-1160-01
A1,0,0,284-0014,280-1160-01
A2,0,100,280-1159,280-1160-01
A1,0,0,504-1319,280-1159
A1,0,100,110-0298,504-1319
A1,0,0,110-0368,504-1319
A2,0,100,110-0002,504-1319
A2,0,0,110-0369,504-1319
A3,0,100,110-0252,504-1319
A3,0,0,110-0370,504-1319
A4,0,100,110-0011,504-1319
A4,0,0,110-0371,504-1319
A5,0,100,110-0243,504-1319
A5,0,0,110-0372,504-1319
A6,0,100,110-0267,504-1319
A6,0,0,110-0373,504-1319
A7,0,100,110-0207,504-1319
A7,0,0,110-0374,504-1319
B1,0,100,110-0272,504-1319
B1,0,0,110-0375,504-1319
B2,0,100,110-0273,504-1319
B2,0,0,110-0376,504-1319
B3,0,100,110-0241,504-1319
B3,0,0,110-0377,504-1319
B4,0,100,110-0177,504-1319
B4,0,0,110-0378,504-1319
B5,0,100,110-0213,504-1319
B5,0,0,110-0379,504-1319
B6,0,100,110-0237,504-1319
B6,0,0,110-0380,504-1319
B7,0,100,110-0308,504-1319
B7,0,0,110-0381,504-1319
A1,0,0,504-1548,280-1159
A1,0,100,120-0051,504-1548
A1,0,0,120-0248,504-1548
A2,0,100,120-0129,504-1548
A2,0,0,120-0249,504-1548
A1,0,100,504-1532,280-1159
A1,0,100,120-0051,504-1532
A1,0,0,120-0248,504-1532
B1,0,100,120-0202,504-1532
B1,0,0,120-0099,504-1532
B2,0,0,120-0100,504-1532
B2,0,100,120-0121,504-1532
A2,0,100,120-0129,504-1532
A2,0,0,120-0249,504-1532
A3,0,0,140-0392,504-1532
A3,0,100,140-0834,504-1532
A4,0,100,140-0253,504-1532
C1,0,100,140-0386,504-1532
A4,0,0,140-0645,504-1532
C1,0,0,140-1028,504-1532
A1,0,0,504-1817,280-1159
A1,0,0,504-1693,280-1159
B1,0,100,120-0202,504-1693
B1,0,0,120-0099,504-1693
B2,0,0,120-0100,504-1693
B2,0,100,120-0121,504-1693
A3,0,100,130-0077,504-1693
A3,0,0,140-0384,504-1693
A2,0,100,140-0645,504-1693
A2,0,0,140-0253,504-1693
C1,0,100,140-1028,504-1693
C1,0,0,140-0386,504-1693
A1,0,0,140-0392,504-1693
A1,0,0,140-0628,504-1693
A1,0,100,140-0834,504-1693
A1,0,0,504-1815,280-1159
D1,0,0,320-0577,280-1159
A2,0,0,140-0364,280-1159
A2,0,100,140-0547,280-1159
A4,0,0,100-0084,280-1159
D1,0,100,320-0763,280-1159
A4,0,100,101-0001,280-1159
A2,0,0,280-1210-02,280-1160-01
A1,0,0,140-0364,280-1210-02
A1,0,100,140-0547,280-1210-02
A1,0,100,280-1133,260-0141-01
A1,0,0,223-0011,260-0141-01
C1,0,100,280-1020,260-0141-01
C1,0,0,223-0012,260-0141-01
B1,0,0,280-1160-02,260-0141-02
A1,0,0,280-0213,280-1160-02
A1,0,100,280-0765,280-1160-02
A1,0,0,280-0425,280-1160-02
A1,0,0,284-0014,280-1160-02
B1,0,100,280-1663,260-0141-02
A3,0,0,280-0213,280-1663
A3,0,0,280-0765,280-1663
A3,0,100,280-0425,280-1663
A3,0,0,284-0014,280-1663
A2,0,100,140-0547,280-1663
A2,0,0,140-0364,280-1663
A4,0,100,101-0001,280-1663
A4,0,0,100-0084,280-1663
A1,0,0,504-1532-R,280-1663
A1,0,100,120-0051,504-1532-R
A1,0,0,120-0248,504-1532-R
A2,0,100,120-0129,504-1532-R
A2,0,0,120-0249,504-1532-R
A4,0,0,140-0253,504-1532-R
A4,0,100,140-0645,504-1532-R
A5,0,0,140-0341,504-1532-R
A5,0,100,542-0007,504-1532-R
A3,0,0,140-0392,504-1532-R
A3,0,100,140-0834,504-1532-R
A1,0,100,504-1532,280-1663
A1,0,0,504-1319,280-1663
A1,0,0,504-1548,280-1663
A1,0,0,504-1693,280-1663
A1,0,0,504-1815,280-1663
A1,0,0,504-1817,280-1663
C1,0,0,280-1133,260-0141-02
C1,0,100,223-0011,260-0141-02
A1,0,0,280-1020,260-0141-02
A1,0,100,223-0012,260-0141-02
A1,0,100,280-1418,260-0236
A1,0,0,280-0213,280-1418
A1,0,100,280-0765,280-1418
A1,0,0,280-0425,280-1418
A1,0,0,284-0014,280-1418
A3,0,100,280-0293-27,280-0916-27
A3,0,0,283-0120,280-0916-27
A3,0,100,280-0293-29,280-0916-29
A3,0,0,283-0128,280-0916-29
A3,0,100,280-0293-31,280-0916-31
A3,0,0,283-0122,280-0916-31
A3,0,100,280-0293-33,280-0916-33
A3,0,0,283-0124,280-0916-33
A1,0,0,280-1800,260-0236
A1,0,0,280-0213,280-1800
A1,0,100,280-0765,280-1800
A1,0,0,280-0425,280-1800
A1,0,0,284-0014,280-1800
B1,0,100,504-1532,280-1800
B1,0,0,504-1319,280-1800
B1,0,0,504-1693,280-1800
B1,0,0,504-1548,280-1800
B1,0,0,504-1817,280-1800
C1,0,0,140-0364,280-1800
C1,0,100,140-0547,280-1800
D1,0,0,100-0084,280-1800
D1,0,100,101-0001,280-1800
B1,0,100,280-1133,260-0236
B1,0,0,223-0011,260-0236
C1,0,100,280-1020,260-0236
C1,0,0,223-0012,260-0236
A4,0,0,280-0791,260-0141-02-R
A4,0,100,280-0791-R,260-0141-02-R
A1,0,0,280-1020,260-0141-02-R
A1,0,100,280-1020-R,260-0141-02-R
B1,0,0,280-1663-R,260-0141-02-R
A3,0,100,280-0213,280-1663-R
A3,0,0,280-0765,280-1663-R
A3,0,0,280-0425,280-1663-R
A3,0,0,284-0014,280-1663-R
A4,0,100,280-1049-27-RW,280-1663-R
A4,0,0,280-1049-27,280-1663-R
A5,0,100,280-1049-29-RW,280-1663-R
A5,0,0,280-1049-29,280-1663-R
A6,0,100,280-1049-31-RW,280-1663-R
A6,0,0,280-1049-31,280-1663-R
A7,0,100,280-1049-33-RW,280-1663-R
A7,0,0,280-1049-33,280-1663-R
A1,0,0,504-1532,280-1663-R
A1,0,100,504-1532-R,280-1663-R
A1,0,0,504-1548,280-1663-R
A1,0,0,504-1693,280-1663-R
A1,0,0,504-1815,280-1663-R
A1,0,0,504-1817,280-1663-R
A1,0,0,504-1319,280-1663-R
A2,0,100,140-0547,280-1663-R
A2,0,0,140-0364,280-1663-R
A8,0,100,101-0001,280-1663-R
A8,0,0,100-0084,280-1663-R
B1,0,100,280-1160-02-R,260-0141-02-R
A1,0,0,280-0213,280-1160-02-R
A1,0,0,280-0425,280-1160-02-R
A1,0,100,280-0765,280-1160-02-R
A1,0,0,284-0014,280-1160-02-R
A2,0,0,280-1049-27,280-1160-02-R
A2,0,100,280-1049-27-RW,280-1160-02-R
A3,0,0,280-1049-29,280-1160-02-R
A3,0,100,280-1049-29-RW,280-1160-02-R
A4,0,0,280-1049-31,280-1160-02-R
A4,0,100,280-1049-31-RW,280-1160-02-R
A5,0,0,280-1049-33,280-1160-02-R
A5,0,100,280-1049-33-RW,280-1160-02-R
A4,0,100,100-0084,280-1159-R
A4,0,0,101-0001,280-1159-R
A2,0,0,140-0364,280-1159-R
A2,0,100,140-0547,280-1159-R
A3,0,0,320-0577,280-1159-R
A3,0,100,320-0763,280-1159-R
A1,0,0,504-1319,280-1159-R
A1,0,0,504-1532,280-1159-R
A1,0,100,504-1532-R,280-1159-R
A1,0,0,504-1548,280-1159-R
A1,0,0,504-1693,280-1159-R
A1,0,0,504-1815,280-1159-R
A1,0,0,504-1817,280-1159-R
A1,0,0,280-0213,280-1531
A1,0,100,280-0765,280-1531
A1,0,0,280-0425,280-1531
A1,0,0,284-0014,280-1531
A1,0,0,280-0213,280-1801
A1,0,0,280-0765,280-1801
A1,0,100,280-0425,280-1801
A1,0,0,284-0014,280-1801
B1,0,100,504-1532,280-1801
B1,0,0,504-1319,280-1801
B1,0,0,504-1693,280-1801
B1,0,0,504-1548,280-1801
B1,0,0,504-1817,280-1801
C1,0,0,140-0364,280-1801
C1,0,100,140-0547,280-1801
D1,0,0,100-0084,280-1801
D1,0,100,101-0001,280-1801
B1,0,100,280-1133,260-0278
B1,0,0,223-0011,260-0278
C1,0,100,280-1020,260-0278
C1,0,0,223-0012,260-0278
A1,0,100,280-0213,280-1222
A1,0,0,280-0765,280-1222
A1,0,0,504-1482,502-1892
A2,0,0,310-0014,502-1892
A2,0,100,302-0007,502-1892
B1,0,0,310-0323,502-1892
B1,0,100,302-0004,502-1892
A1,0,100,504-1747,502-1892
A1,0,0,280-0213,280-1235
A1,0,100,280-0765,280-1235
A3,0,0,504-1482,502-1931
A1,0,0,310-0014,502-1931
A1,0,100,302-0007,502-1931
A2,0,0,310-0323,502-1931
A2,0,100,302-0004,502-1931
A3,0,100,504-1747,502-1931
A1,0,100,280-0213,280-0927
A1,0,0,280-0765,280-0927
A1,0,0,280-0425,280-0927
A1,0,0,284-0014,280-0927
A2,0,100,280-0926,280-0927
A1,0,0,140-0364,280-0926
A1,0,0,140-0446,280-0926
A1,0,100,140-0547,280-0926
A2,0,0,280-0926-02,280-0927
A1,0,0,140-0364,280-0926-02
A1,0,0,140-0446,280-0926-02
A1,0,100,140-0547,280-0926-02
A2,0,0,280-1189,280-0927
A1,0,0,140-0364,280-1189
A1,0,0,140-0446,280-1189
A1,0,100,140-0547,280-1189
A2,0,0,280-1189-02,280-0927
A1,0,0,140-0364,280-1189-02
A1,0,0,140-0446,280-1189-02
A1,0,100,140-0547,280-1189-02
A2,0,100,280-0699,280-0788
A2,0,0,282-0042,280-0788
A1,0,100,280-0700,280-0788
A1,0,0,280-1134,280-0788
A1,0,100,310-0014,502-1678
A1,0,0,302-0007,502-1678
A3,0,100,310-0323,502-1678
A3,0,0,302-0004,502-1678
A2,0,0,310-0178,502-1678
A2,0,100,311-0102,502-1678
A1,0,0,280-0213,280-1246
A1,0,100,280-0765,280-1246
A1,0,0,280-0425,280-1246
A2,0,100,280-1245-01,280-1246
A1,0,0,120-0051,504-1385-00
A1,0,100,120-0248,504-1385-00
A1,0,0,140-0364,280-1245-01
A1,0,100,140-0547,280-1245-01
A2,0,0,280-1245-02,280-1246
A1,0,0,140-0364,280-1245-02
A1,0,100,140-0547,280-1245-02
B1,0,100,280-1133,260-0176
B1,0,0,223-0011,260-0176
C1,0,100,280-1020,260-0176
C1,0,0,223-0012,260-0176
A1,0,0,310-0014,502-1945
A1,0,100,302-0007,502-1945
A2,0,0,310-0323,502-1945
A2,0,100,302-0004,502-1945
A1,0,0,280-1229-02,260-0174-02
A1,0,0,280-0213,280-1229-02
A1,0,100,280-0765,280-1229-02
A1,0,0,280-0425,280-1229-02
A1,0,0,284-0014,280-1229-02
A1,0,0,504-1319,280-1227
A1,0,0,504-1548,280-1227
A1,0,100,504-1532,280-1227
A1,0,0,504-1817,280-1227
A1,0,0,504-1693,280-1227
A1,0,0,504-1815,280-1227
A2,0,100,100-0084,280-1227
A2,0,0,101-0001,280-1227
A1,0,100,280-1805,260-0174-02
A1,0,0,280-0213,280-1805
A1,0,100,280-0765,280-1805
A1,0,0,280-0425,280-1805
A1,0,0,284-0014,280-1805
B1,0,100,504-1532,280-1805
B1,0,0,504-1319,280-1805
B1,0,0,504-1693,280-1805
B1,0,0,504-1548,280-1805
B1,0,0,504-1817,280-1805
D1,0,0,100-0084,280-1805
D1,0,100,101-0001,280-1805
B1,0,100,280-1133,260-0174-02
B1,0,0,223-0011,260-0174-02
C1,0,100,280-1020,260-0174-02
C1,0,0,223-0012,260-0174-02
A1,0,100,260-0141-02,502-2219
A1,0,0,260-0236,502-2219
B1,0,0,280-1192-03,260-0152-03
A1,0,0,280-0213,280-1192-03
A1,0,100,280-0765,280-1192-03
A1,0,0,280-0425,280-1192-03
A1,0,0,284-0014,280-1192-03
B1,0,100,280-1814,260-0152-03
A1,0,0,280-0213,280-1814
A1,0,100,280-0765,280-1814
A1,0,0,280-0425,280-1814
A1,0,0,284-0014,280-1814
B1,0,100,504-1753,280-1814
B1,0,0,504-1369,280-1814
C1,0,0,100-0084,280-1814
C1,0,100,101-0001,280-1814
A1,0,100,280-1133,260-0152-03
A1,0,0,223-0011,260-0152-03
C1,0,100,280-1020,260-0152-03
C1,0,0,223-0012,260-0152-03
B1,0,0,280-1192-04,260-0152-04
A1,0,0,280-0213,280-1192-04
A1,0,100,280-0765,280-1192-04
A1,0,0,280-0425,280-1192-04
A1,0,0,284-0014,280-1192-04
B1,0,100,280-1815,260-0152-04
A1,0,0,280-0213,280-1815
A1,0,100,280-0765,280-1815
A1,0,0,280-0425,280-1815
A1,0,0,284-0014,280-1815
B1,0,100,504-1753,280-1815
B1,0,0,504-1369,280-1815
C1,0,0,100-0084,280-1815
C1,0,100,101-0001,280-1815
A1,0,100,280-1133,260-0152-04
A1,0,0,223-0011,260-0152-04
C1,0,100,280-1020,260-0152-04
C1,0,0,223-0012,260-0152-04
A1,0,0,280-1160-03,260-0141-03
A1,0,0,280-0213,280-1160-03
A1,0,100,280-0765,280-1160-03
A1,0,0,280-0425,280-1160-03
A1,0,0,284-0014,280-1160-03
A2,0,100,280-1159,280-1160-03
A2,0,0,280-1210-02,280-1160-03
A1,0,100,280-1802,260-0141-03
A1,0,0,280-0213,280-1802
A1,0,100,280-0765,280-1802
A1,0,0,280-0425,280-1802
A1,0,0,284-0014,280-1802
B1,0,100,504-1532,280-1802
B1,0,0,504-1319,280-1802
B1,0,0,504-1693,280-1802
B1,0,0,504-1548,280-1802
B1,0,0,504-1817,280-1802
C1,0,0,140-0364,280-1802
C1,0,100,140-0547,280-1802
D1,0,0,100-0084,280-1802
D1,0,100,101-0001,280-1802
B1,0,100,280-1133,260-0141-03
B1,0,0,223-0011,260-0141-03
C1,0,100,280-1020,260-0141-03
C1,0,0,223-0012,260-0141-03
A1,0,0,280-1160-04,260-0141-04
A1,0,0,280-0213,280-1160-04
A1,0,100,280-0765,280-1160-04
A1,0,0,280-0425,280-1160-04
A1,0,0,284-0014,280-1160-04
A2,0,100,280-1159,280-1160-04
A2,0,0,280-1210-02,280-1160-04
A1,0,100,280-1803,260-0141-04
A1,0,0,280-0213,280-1803
A1,0,100,280-0765,280-1803
A1,0,0,280-0425,280-1803
A1,0,0,284-0014,280-1803
B1,0,100,504-1532,280-1803
B1,0,0,504-1319,280-1803
B1,0,0,504-1693,280-1803
B1,0,0,504-1548,280-1803
B1,0,0,504-1817,280-1803
C1,0,0,140-0364,280-1803
C1,0,100,140-0547,280-1803
D1,0,0,100-0084,280-1803
D1,0,100,101-0001,280-1803
B1,0,100,280-1133,260-0141-04
B1,0,0,223-0011,260-0141-04
C1,0,100,280-1020,260-0141-04
C1,0,0,223-0012,260-0141-04
A1,0,0,280-1160-05,260-0141-05
A1,0,0,280-0213,280-1160-05
A1,0,100,280-0765,280-1160-05
A1,0,0,280-0425,280-1160-05
A1,0,0,284-0014,280-1160-05
A2,0,100,280-1159,280-1160-05
A2,0,0,280-1210-02,280-1160-05
A1,0,100,280-1804,260-0141-05
A1,0,0,280-0213,280-1804
A1,0,100,280-0765,280-1804
A1,0,0,280-0425,280-1804
A1,0,0,284-0014,280-1804
B1,0,100,504-1532,280-1804
B1,0,0,504-1319,280-1804
B1,0,0,504-1693,280-1804
B1,0,0,504-1548,280-1804
B1,0,0,504-1817,280-1804
C1,0,0,140-0364,280-1804
C1,0,100,140-0547,280-1804
D1,0,0,100-0084,280-1804
D1,0,100,101-0001,280-1804
B1,0,100,280-1133,260-0141-05
B1,0,0,223-0011,260-0141-05
C1,0,100,280-1020,260-0141-05
C1,0,0,223-0012,260-0141-05
B1,0,0,280-1313,260-0198
A1,0,0,280-0213,280-1313
A1,0,100,280-0765,280-1313
A1,0,0,280-0425,280-1313
A1,0,0,284-0014,280-1313
B1,0,100,280-1816,260-0198
A1,0,0,280-0213,280-1816
A1,0,100,280-0765,280-1816
A1,0,0,280-0425,280-1816
A1,0,0,284-0014,280-1816
B1,0,100,504-1753,280-1816
B1,0,0,504-1369,280-1816
C1,0,0,100-0084,280-1816
C1,0,100,101-0001,280-1816
A1,0,100,280-1133,260-0198
A1,0,0,223-0011,260-0198
C1,0,100,280-1020,260-0198
C1,0,0,223-0012,260-0198
A1,0,100,280-1806-R,260-0199-R
A1,0,100,280-0213,280-1806-R
A1,0,0,280-0765,280-1806-R
A1,0,0,280-0425,280-1806-R
A1,0,0,284-0014,280-1806-R
E1,0,100,280-1312-27-R,280-1806-R
E1,0,0,280-1312-27,280-1806-R
F1,0,100,280-1312-29-R,280-1806-R
F1,0,0,280-1312-29,280-1806-R
G1,0,100,280-1312-31-R,280-1806-R
G1,0,0,280-1312-31,280-1806-R
H1,0,100,280-1312-33-R,280-1806-R
H1,0,0,280-1312-33,280-1806-R
C1,0,100,140-0547,280-1806-R
C1,0,0,140-0364,280-1806-R
D1,0,100,101-0001,280-1806-R
D1,0,0,100-0084,280-1806-R
B1,0,100,504-1532-R,280-1806-R
B1,0,0,504-1532,280-1806-R
B1,0,0,504-1319,280-1806-R
B1,0,0,504-1693,280-1806-R
B1,0,0,504-1548,280-1806-R
B1,0,0,504-1817,280-1806-R
A1,0,0,280-1314-R,260-0199-R
A1,0,0,280-0213,280-1314-R
A1,0,0,280-0425,280-1314-R
A1,0,100,280-0765,280-1314-R
A1,0,0,284-0014,280-1314-R
A2,0,0,280-1312-27,280-1314-R
A2,0,100,280-1312-27-R,280-1314-R
A3,0,0,280-1312-29,280-1314-R
A3,0,100,280-1312-29-R,280-1314-R
A4,0,0,280-1312-31,280-1314-R
A4,0,100,280-1312-31-R,280-1314-R
A5,0,0,280-1312-33,280-1314-R
A5,0,100,280-1312-33-R,280-1314-R
A5,0,0,280-1020,260-0199-R
A5,0,100,280-1020-R,260-0199-R
A4,0,0,280-0791,260-0199-R
A4,0,100,280-0791-R,260-0199-R
A1,0,0,280-0213,280-1314
A1,0,100,280-0765,280-1314
A1,0,0,280-0425,280-1314
A1,0,0,284-0014,280-1314
A2,0,100,280-1159,280-1314
A2,0,0,280-1210-02,280-1314
A1,0,0,280-0213,280-1806
A1,0,0,280-0765,280-1806
A1,0,100,280-0425,280-1806
A1,0,0,284-0014,280-1806
B1,0,100,504-1532,280-1806
B1,0,0,504-1319,280-1806
B1,0,0,504-1693,280-1806
B1,0,0,504-1548,280-1806
B1,0,0,504-1817,280-1806
B1,0,0,504-1532-R,280-1806
C1,0,100,140-0547,280-1806
C1,0,0,140-0364,280-1806
D1,0,100,101-0001,280-1806
D1,0,0,100-0084,280-1806
B1,0,0,280-1133,260-0199
B1,0,100,223-0011,260-0199
C1,0,0,280-1020,260-0199
C1,0,100,223-0012,260-0199
A2,0,100,260-0141-02,502-2377
A2,0,0,260-0236,502-2377
A1,0,100,351-0009,500-4323
A1,0,0,351-0011,500-4323
A1,0,0,351-0012,500-4323
A1,0,0,351-0013,500-4323
A1,0,100,351-0009,500-4337
A1,0,0,351-0011,500-4337
A1,0,0,351-0012,500-4337
A1,0,0,351-0013,500-4337
B1,0,0,310-0014,502-2204
B1,0,100,302-0007,502-2204
B2,0,0,310-0323,502-2204
B2,0,100,302-0004,502-2204
A2,0,100,260-0152-02,502-2346
A2,0,0,260-0262,502-2346
A1,0,0,280-1482,260-0262
A1,0,0,280-0213,280-1482
A1,0,100,280-0765,280-1482
A1,0,0,280-0425,280-1482
A1,0,0,284-0014,280-1482
A1,0,100,280-1813,260-0262
A1,0,0,280-0213,280-1813
A1,0,100,280-0765,280-1813
A1,0,0,280-0425,280-1813
A1,0,0,284-0014,280-1813
B1,0,100,504-1753,280-1813
B1,0,0,504-1369,280-1813
C1,0,0,100-0084,280-1813
C1,0,100,101-0001,280-1813
B1,0,100,280-1133,260-0262
B1,0,0,223-0011,260-0262
C1,0,100,280-1020,260-0262
C1,0,0,223-0012,260-0262
A4,0,100,260-0141-02,502-1855-02
A4,0,0,260-0236,502-1855-02
A1,0,0,280-1336,260-0209
A1,0,0,280-0213,280-1336
A1,0,100,280-0765,280-1336
A1,0,0,280-0425,280-1336
A1,0,0,284-0014,280-1336
A1,0,0,504-1319,280-1335
A1,0,0,504-1548,280-1335
A1,0,100,504-1532,280-1335
A1,0,0,504-1817,280-1335
A1,0,0,504-1693,280-1335
A1,0,0,504-1815,280-1335
A3,0,100,100-0084,280-1335
A3,0,0,101-0001,280-1335
A1,0,100,280-1826,260-0209
A1,0,0,280-0213,280-1826
A1,0,100,280-0765,280-1826
A1,0,0,280-0425,280-1826
A1,0,0,284-0014,280-1826
B1,0,100,504-1532,280-1826
B1,0,0,504-1319,280-1826
B1,0,0,504-1693,280-1826
B1,0,0,504-1548,280-1826
B1,0,0,504-1817,280-1826
A3,0,0,100-0084,280-1826
A3,0,100,101-0001,280-1826
A2,0,100,260-0141-02,502-2109
A2,0,0,260-0236,502-2109
A1,0,100,351-0009,500-4537
A1,0,0,351-0011,500-4537
A1,0,0,351-0012,500-4537
A1,0,0,351-0013,500-4537
A1,0,100,260-0141-02,502-2119
A1,0,0,260-0236,502-2119
A2,0,100,300-0151,502-2119
A2,0,0,300-0151-RW,502-2119
A3,0,100,310-0591,502-2119
A3,0,0,310-0591-R,502-2119
B1,0,100,260-0233,502-2209
A1,0,100,280-1404,260-0233
A1,0,0,280-0213,280-1404
A1,0,100,280-0765,280-1404
A1,0,0,280-0425,280-1404
A1,0,0,284-0014,280-1404
A3,0,100,100-0084,280-1405
A3,0,0,101-0001,280-1405
A1,0,0,280-1817,260-0233
A1,0,0,280-0213,280-1817
A1,0,100,280-0765,280-1817
A1,0,0,280-0425,280-1817
A1,0,0,284-0014,280-1817
C1,0,0,100-0084,280-1817
C1,0,100,101-0001,280-1817
B1,0,100,280-1133,260-0233
B1,0,0,223-0011,260-0233
C1,0,100,280-1020,260-0233
C1,0,0,223-0012,260-0233
B1,0,0,260-0152-02,502-2209
A1,0,0,260-0237,502-2241
A1,0,0,280-1423,260-0237
A1,0,0,280-0213,280-1423
A1,0,100,280-0765,280-1423
A1,0,0,280-0425,280-1423
A1,0,0,284-0014,280-1423
A2,0,100,280-1159,280-1423
A2,0,0,280-1210-02,280-1423
A1,0,100,280-1808,260-0237
A1,0,0,280-0213,280-1808
A1,0,100,280-0765,280-1808
A1,0,0,280-0425,280-1808
A1,0,0,284-0014,280-1808
B1,0,100,504-1532,280-1808
B1,0,0,504-1319,280-1808
B1,0,0,504-1693,280-1808
B1,0,0,504-1548,280-1808
B1,0,0,504-1817,280-1808
C1,0,0,140-0364,280-1808
C1,0,100,140-0547,280-1808
D1,0,0,100-0084,280-1808
D1,0,100,101-0001,280-1808
B1,0,100,280-1133,260-0237
B1,0,0,223-0011,260-0237
