DEMAND_ID,DESCRIPTION,CUSTOMER_ID,STATUS,PRIORITY,REQ_DUE_DATE,COMMITTED_DUE_TIME,PRODUCT_ID,LOCATION_ID,QUANTITY,LATE_DEMAND_PENALTY,SHORT_DEMAND_PENALTY,REVENUE,ALLOCATION_S,DM_SPEC_S,ASSY_LOC_S,FAB_LOC_S,DEMAND_ID_S,WIRE_COLOR_S
2307POSC00065418_20,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/08/01,2023/08/01,TR-FC85S-NZT@828,VIRTUAL,52,-,-,0,-,-,-,-,-,-
2308POSC00008205_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/10/16,2023/10/16,TR-FC85S-NZT@828,VIRTUAL,2,-,-,0,-,-,-,-,-,-
2310POSC00018040_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/10/10,2023/10/10,TR-FC85S-NZT@828,VIRTUAL,40,-,-,0,-,-,-,-,-,-
2310POSC00017938_20,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/10/10,2023/10/10,TR-FC85S-NZT@828,VIRTUAL,108,-,-,0,-,-,-,-,-,-
2310POSC00045701_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/10/18,2023/10/18,TR-FC85S-NZT@828,VIRTUAL,419,-,-,0,-,-,-,-,-,-
2310POSC00058737_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/10/25,2023/10/25,TR-FC85S-NZT@828,VIRTUAL,102,-,-,0,-,-,-,-,-,-
2310POSC00067281_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/10/25,2023/10/25,TR-FC85S-NZT@828,VIRTUAL,6,-,-,0,-,-,-,-,-,-
2310POSC00058776_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/10/25,2023/10/25,TR-FC85S-NZT@828,VIRTUAL,237,-,-,0,-,-,-,-,-,-
2310POSC00058780_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/10/25,2023/10/25,TR-FC85S-NZT@828,VIRTUAL,546,-,-,0,-,-,-,-,-,-
2311POSC00076656_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/11/27,2023/11/27,TR-FC85S-NZT@828,VIRTUAL,13,-,-,0,-,-,-,-,-,-
2311POSC00083670_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/12/04,2023/12/04,TR-FC85S-NZT@828,VIRTUAL,61,-,-,0,-,-,-,-,-,-
2312POSC00008514_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/12/04,2023/12/04,TR-FC85S-NZT@828,VIRTUAL,1,-,-,0,-,-,-,-,-,-
2312POSC00001787_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/12/04,2023/12/04,TR-FC85S-NZT@828,VIRTUAL,55,-,-,0,-,-,-,-,-,-
2312POSC00066855_10,100G QSFP28 SR4 Gen3.0,100042,1,100,2023/12/23,2023/12/23,TR-FC85S-NZT@828,VIRTUAL,397,-,-,0,-,-,-,-,-,-
ACTE37385201_10,100G QSFP28 SR4 Gen3.0,200028,1,100,2024/02/08,2024/02/08,TR-FC85S-N00@international_others,VIRTUAL,4,-,-,140,-,-,-,-,-,-
SINC20240125001_30,100G QSFP28 SR4 Gen2.0,100185,1,100,2024/01/25,2024/01/25,TR-FC85S-N00@domestic_others,VIRTUAL,500,-,-,8444.88,-,-,-,-,-,-
3014012158_10,100G QSFP28 SR4 Gen3.0,200296,1,100,2024/03/29,2024/03/29,TR-FC85S-N00@international_others,VIRTUAL,10,-,-,520,-,-,-,-,-,-
3014006628_10,100G QSFP28 SR4 Gen3.0,200296,1,100,2024/03/05,2024/03/05,TR-FC85S-N00@international_others,VIRTUAL,24,-,-,1248,-,-,-,-,-,-
3014006629_10,100G QSFP28 SR4 Gen3.0,200296,1,100,2024/03/12,2024/03/12,TR-FC85S-N00@international_others,VIRTUAL,8,-,-,416,-,-,-,-,-,-
888_F30_2024_02,100G QSFP28 CWDM4 Gen3.0,100023,2,100,2024/02/01,2024/02/01,F30,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
888_F30_2024_04,100G QSFP28 CWDM4 Gen3.0,100023,2,100,2024/04/01,2024/04/01,F30,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
888_F30_2024_06,100G QSFP28 CWDM4 Gen3.0,100023,2,100,2024/06/01,2024/06/01,F30,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
888_F30_2024_01,100G QSFP28 CWDM4 Gen3.0,100023,2,100,2024/01/01,2024/01/01,F30,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
888_F30_2024_03,100G QSFP28 CWDM4 Gen3.0,100023,2,100,2024/03/01,2024/03/01,F30,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
888_F30_2024_05,100G QSFP28 CWDM4 Gen3.0,100023,2,100,2024/05/01,2024/05/01,F30,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
828_F29_2024_02,100G QSFP28 SR4 Gen3.0,100042,2,100,2024/02/01,2024/02/01,F29,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
828_F29_2024_04,100G QSFP28 SR4 Gen3.0,100042,2,100,2024/04/01,2024/04/01,F29,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
828_F29_2024_06,100G QSFP28 SR4 Gen3.0,100042,2,100,2024/06/01,2024/06/01,F29,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
828_F29_2024_08,100G QSFP28 SR4 Gen3.0,100042,2,100,2024/08/01,2024/08/01,F29,VIRTUAL,2,000,-,-,-,-,-,-,-,-,-
828_F29_2024_10,100G QSFP28 SR4 Gen3.0,100042,2,100,2024/10/01,2024/10/01,F29,VIRTUAL,2,000,-,-,-,-,-,-,-,-,-
858_F30_2024_01,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/01/01,2024/01/01,F30,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
858_F30_2024_02,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/02/01,2024/02/01,F30,VIRTUAL,2,600,-,-,-,-,-,-,-,-,-
858_F30_2024_03,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/03/01,2024/03/01,F30,VIRTUAL,1,500,-,-,-,-,-,-,-,-,-
858_F30_2024_04,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/04/01,2024/04/01,F30,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
858_F30_2024_05,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/05/01,2024/05/01,F30,VIRTUAL,500,-,-,-,-,-,-,-,-,-
858_F30_2024_06,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/06/01,2024/06/01,F30,VIRTUAL,500,-,-,-,-,-,-,-,-,-
858_F30_2024_07,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/07/01,2024/07/01,F30,VIRTUAL,500,-,-,-,-,-,-,-,-,-
858_F30_2024_08,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/08/01,2024/08/01,F30,VIRTUAL,500,-,-,-,-,-,-,-,-,-
858_F30_2024_09,100G QSFP28 CWDM4 Gen3.0,100217,2,100,2024/09/01,2024/09/01,F30,VIRTUAL,500,-,-,-,-,-,-,-,-,-
858_F29_2024_01,100G QSFP28 SR4 Gen3.0,100217,2,100,2024/01/01,2024/01/01,F29,VIRTUAL,60,-,-,-,-,-,-,-,-,-
858_F29_2024_02,100G QSFP28 SR4 Gen3.0,100217,2,100,2024/02/01,2024/02/01,F29,VIRTUAL,60,-,-,-,-,-,-,-,-,-
818_F30_2024_01,100G QSFP28 CWDM4 Gen3.0,100391,2,100,2024/01/01,2024/01/01,F30,VIRTUAL,5,000,-,-,-,-,-,-,-,-,-
818_F30_2024_03,100G QSFP28 CWDM4 Gen3.0,100391,2,100,2024/03/01,2024/03/01,F30,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
818_F30_2024_05,100G QSFP28 CWDM4 Gen3.0,100391,2,100,2024/05/01,2024/05/01,F30,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
international_others_F29_2024_02,100G QSFP28 SR4 Gen3.0,200580,2,100,2024/02/01,2024/02/01,F29,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
international_others_F29_2024_04,100G QSFP28 SR4 Gen3.0,200580,2,100,2024/04/01,2024/04/01,F29,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
international_others_F29_2024_06,100G QSFP28 SR4 Gen3.0,200580,2,100,2024/06/01,2024/06/01,F29,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
international_others_F29_2024_08,100G QSFP28 SR4 Gen3.0,200580,2,100,2024/08/01,2024/08/01,F29,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
international_others_F29_2024_10,100G QSFP28 SR4 Gen3.0,200580,2,100,2024/10/01,2024/10/01,F29,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
international_others_F29_2024_12,100G QSFP28 SR4 Gen3.0,200580,2,100,2024/12/01,2024/12/01,F29,VIRTUAL,1,000,-,-,-,-,-,-,-,-,-
