RESOURCE_ID,DESCRIPTION,LOCATION,RES_TYPE,BATCH_PERIOD,BATCH_TYPE,AVG_BATCH_VOLUME,MIN_BATCH_VOLUME,MAX_BATCH_VOLUME,SPEED_FACTOR,MULTI_RES_FACTOR,CARE,DELAY_ALLOWED,PERIOD_MGR_ID,SETUP_MATRIX_ID,CAPABLE_TYPE,MIX_TYPE,HIER_LEVEL_1,HIER_LEVEL_2,HIER_LEVEL_3,OpOverrideType,HIER_LEVEL_3-bak,HIER_LEVEL_1_bak
RESOURCE_Machine_OP-CB-ASSY,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-DA,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-DA,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-DA,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-TXLENS,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-TXLENS,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-TXLENS,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-WB,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-WB,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-WB,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-RXLENS,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-RXLENS,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-RXLENS,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-TEST,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-TEST,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-CB-TEST,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-GT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-WB,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-TXCOC-BI,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-PCBA-Home,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-PCBA-Home,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-PCBA-Home,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-ASSY,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-ASSY,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-ASSY,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-LASER,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-LASER,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-LASER,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-ASSY,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-ASSY,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-ASSY,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-LASER,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-LASER,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-COP-Preform-LASER,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-Receptacle,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-Receptacle,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-Receptacle,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-Receptacle,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-Receptacle,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-Receptacle,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-ASSY,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-ASSY,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-ASSY,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-ASSY,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,1000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,2000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,5000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,6000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-ATS,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-ATS,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-ATS,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-ATS,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-TCT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-TCT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-TCT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-TCT,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-BI,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-BI,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-BI,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Module-BI,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TXAA,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TXAA,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TXAA,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-RXAA,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-RXAA,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-RXAA,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TCT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TCT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TCT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TEST,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TEST,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-OE-TEST,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Preform-ASSY,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Preform-ASSY,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Preform-ASSY,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Preform-LASER,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Preform-LASER,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-SR4-Preform-LASER,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-ASSY,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-ASSY,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-ASSY,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-ASSY,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,1000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,2000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,5000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Labor,-,6000,C,-,-,-,-,-,-,500,2,-,Period_Manager_Crew,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-ATS,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-ATS,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-ATS,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-ATS,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-TCT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-TCT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-TCT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-TCT,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-BI,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-BI,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-BI,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-Module-BI,-,6000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-TXAA,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-TXAA,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-TXAA,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-RXAA,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-RXAA,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-RXAA,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-TCT,-,1000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-TCT,-,2000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
RESOURCE_Machine_OP-AOC-OE-TCT,-,5000,M,-,-,-,-,-,-,1,2,-,Period_Manager_Machine,-,-,-,-,-,-,-,-,-
