BOM_ID,LOCATION_ID,PARENT_ID,ALT_GROUP,PREFERENCE,ELEM_IX,CHILD_ID,NEW_SUPPLY,GRADE,RATE,BATCH_SIZE,EFFECTIVE_START,EFFECTIVE_END
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,8,8,140-0384,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0926-02,LOCATION-PCBA-Subcon,280-0926-02,,1,1,504-1548,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,1,1,140-0221,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,2,2,140-0341,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,3,3,140-0179,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,4,4,140-0246,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,5,5,140-0386,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,6,6,140-0253,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,7,7,140-0384,-,-,-,-,-,-
BOM_260-0102,1000,260-0102,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0102,2000,260-0102,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0102,5000,260-0102,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0102,1000,260-0102,,3,3,280-0913,-,-,-,-,-,-
BOM_260-0102,2000,260-0102,,3,3,280-0913,-,-,-,-,-,-
BOM_260-0102,5000,260-0102,,3,3,280-0913,-,-,-,-,-,-
BOM_260-0102,1000,260-0102,,4,4,280-0551,-,-,-,-,-,-
BOM_260-0102,2000,260-0102,,4,4,280-0551,-,-,-,-,-,-
BOM_260-0102,5000,260-0102,,4,4,280-0551,-,-,-,-,-,-
BOM_260-0102,1000,260-0102,,5,5,280-0552,-,-,-,-,-,-
BOM_260-0102,2000,260-0102,,5,5,280-0552,-,-,-,-,-,-
BOM_260-0102,5000,260-0102,,5,5,280-0552,-,-,-,-,-,-
BOM_500-3378,1000,500-3378,,1,1,502-1633,-,-,-,-,-,-
BOM_500-3378,2000,500-3378,,1,1,502-1633,-,-,-,-,-,-
BOM_500-3378,5000,500-3378,,1,1,502-1633,-,-,-,-,-,-
BOM_500-3378,6000,500-3378,,1,1,502-1633,-,-,-,-,-,-
BOM_500-3394,1000,500-3394,,1,1,502-1678,-,-,-,-,-,-
BOM_500-3394,2000,500-3394,,1,1,502-1678,-,-,-,-,-,-
BOM_500-3394,5000,500-3394,,1,1,502-1678,-,-,-,-,-,-
BOM_500-3394,6000,500-3394,,1,1,502-1678,-,-,-,-,-,-
BOM_502-1678,1000,502-1678,,1,1,260-0120,-,-,-,-,-,-
BOM_502-1678,2000,502-1678,,1,1,260-0120,-,-,-,-,-,-
BOM_502-1678,5000,502-1678,,1,1,260-0120,-,-,-,-,-,-
BOM_260-0120,1000,260-0120,,1,1,280-0927,-,-,-,-,-,-
BOM_260-0120,2000,260-0120,,1,1,280-0927,-,-,-,-,-,-
BOM_260-0120,5000,260-0120,,1,1,280-0927,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,6,6,280-0804-27,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,6,6,280-0804-27,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,6,6,280-0804-27,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,7,7,280-0804-29,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,7,7,280-0804-29,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,7,7,280-0804-29,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,8,8,280-0804-31,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,8,8,280-0804-31,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,8,8,280-0804-31,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,9,9,280-0804-33,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,9,9,280-0804-33,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,9,9,280-0804-33,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0926,LOCATION-PCBA-Subcon,280-0926,,2,2,504-1319,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,9,9,140-0392,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,10,10,140-0221,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,11,11,140-0341,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,12,12,140-0179,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,13,13,140-0246,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,14,14,140-0386,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,15,15,140-0253,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,16,16,140-0384,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0926-02,LOCATION-PCBA-Subcon,280-0926-02,,2,2,504-1548,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,8,8,140-0221,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,9,9,140-0341,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,10,10,140-0179,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,11,11,140-0246,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,12,12,140-0386,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,13,13,140-0253,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,14,14,140-0384,-,-,-,-,-,-
BOM_260-0120,1000,260-0120,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0120,2000,260-0120,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0120,5000,260-0120,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0120,1000,260-0120,,3,3,280-0695,-,-,-,-,-,-
BOM_260-0120,2000,260-0120,,3,3,280-0695,-,-,-,-,-,-
BOM_260-0120,5000,260-0120,,3,3,280-0695,-,-,-,-,-,-
BOM_500-3394-05,1000,500-3394-05,,1,1,502-1733,-,-,-,-,-,-
BOM_500-3394-05,2000,500-3394-05,,1,1,502-1733,-,-,-,-,-,-
BOM_500-3394-05,5000,500-3394-05,,1,1,502-1733,-,-,-,-,-,-
BOM_500-3394-05,6000,500-3394-05,,1,1,502-1733,-,-,-,-,-,-
BOM_502-1733,1000,502-1733,,1,1,260-0132,-,-,-,-,-,-
BOM_502-1733,2000,502-1733,,1,1,260-0132,-,-,-,-,-,-
BOM_502-1733,5000,502-1733,,1,1,260-0132,-,-,-,-,-,-
BOM_260-0132,1000,260-0132,,1,1,280-1085,-,-,-,-,-,-
BOM_260-0132,2000,260-0132,,1,1,280-1085,-,-,-,-,-,-
BOM_260-0132,5000,260-0132,,1,1,280-1085,-,-,-,-,-,-
BOM_280-1085,1000,280-1085,,1,1,280-1049-27,-,-,-,-,-,-
BOM_280-1085,2000,280-1085,,1,1,280-1049-27,-,-,-,-,-,-
BOM_280-1085,5000,280-1085,,1,1,280-1049-27,-,-,-,-,-,-
BOM_280-1085,1000,280-1085,,2,2,280-1049-29,-,-,-,-,-,-
BOM_280-1085,2000,280-1085,,2,2,280-1049-29,-,-,-,-,-,-
BOM_280-1085,5000,280-1085,,2,2,280-1049-29,-,-,-,-,-,-
BOM_280-1085,1000,280-1085,,3,3,280-1049-31,-,-,-,-,-,-
BOM_280-1085,2000,280-1085,,3,3,280-1049-31,-,-,-,-,-,-
BOM_280-1085,5000,280-1085,,3,3,280-1049-31,-,-,-,-,-,-
BOM_280-1085,1000,280-1085,,4,4,280-1049-33,-,-,-,-,-,-
BOM_280-1085,2000,280-1085,,4,4,280-1049-33,-,-,-,-,-,-
BOM_280-1085,5000,280-1085,,4,4,280-1049-33,-,-,-,-,-,-
BOM_280-1085,1000,280-1085,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-1085,2000,280-1085,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-1085,5000,280-1085,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0926,LOCATION-PCBA-Subcon,280-0926,,3,3,504-1319,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,17,17,140-0392,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,18,18,140-0221,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,19,19,140-0341,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,20,20,140-0179,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,21,21,140-0246,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,22,22,140-0386,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,23,23,140-0253,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,24,24,140-0384,-,-,-,-,-,-
BOM_280-1085,1000,280-1085,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-1085,2000,280-1085,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-1085,5000,280-1085,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0926-02,LOCATION-PCBA-Subcon,280-0926-02,,3,3,504-1548,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,15,15,140-0221,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,16,16,140-0341,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,17,17,140-0179,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,18,18,140-0246,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,19,19,140-0386,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,20,20,140-0253,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,21,21,140-0384,-,-,-,-,-,-
BOM_260-0132,1000,260-0132,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0132,2000,260-0132,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0132,5000,260-0132,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0132,1000,260-0132,,3,3,280-0695,-,-,-,-,-,-
BOM_260-0132,2000,260-0132,,3,3,280-0695,-,-,-,-,-,-
BOM_260-0132,5000,260-0132,,3,3,280-0695,-,-,-,-,-,-
BOM_500-3418,1000,500-3418,,1,1,502-1713,-,-,-,-,-,-
BOM_500-3418,2000,500-3418,,1,1,502-1713,-,-,-,-,-,-
BOM_500-3418,5000,500-3418,,1,1,502-1713,-,-,-,-,-,-
BOM_500-3418,6000,500-3418,,1,1,502-1713,-,-,-,-,-,-
BOM_502-1713,1000,502-1713,,1,1,260-0128,-,-,-,-,-,-
BOM_502-1713,2000,502-1713,,1,1,260-0128,-,-,-,-,-,-
BOM_502-1713,5000,502-1713,,1,1,260-0128,-,-,-,-,-,-
BOM_260-0128,1000,260-0128,,1,1,280-1065,-,-,-,-,-,-
BOM_260-0128,2000,260-0128,,1,1,280-1065,-,-,-,-,-,-
BOM_260-0128,5000,260-0128,,1,1,280-1065,-,-,-,-,-,-
BOM_280-1065,1000,280-1065,,1,1,320-0518,-,-,-,-,-,-
BOM_280-1065,2000,280-1065,,1,1,320-0518,-,-,-,-,-,-
BOM_280-1065,5000,280-1065,,1,1,320-0518,-,-,-,-,-,-
BOM_280-1065,1000,280-1065,,2,2,280-1071-27,-,-,-,-,-,-
BOM_280-1065,2000,280-1065,,2,2,280-1071-27,-,-,-,-,-,-
BOM_280-1065,5000,280-1065,,2,2,280-1071-27,-,-,-,-,-,-
BOM_280-1065,1000,280-1065,,3,3,280-1071-29,-,-,-,-,-,-
BOM_280-1065,2000,280-1065,,3,3,280-1071-29,-,-,-,-,-,-
BOM_280-1065,5000,280-1065,,3,3,280-1071-29,-,-,-,-,-,-
BOM_280-1065,1000,280-1065,,4,4,280-1071-31,-,-,-,-,-,-
BOM_280-1065,2000,280-1065,,4,4,280-1071-31,-,-,-,-,-,-
BOM_280-1065,5000,280-1065,,4,4,280-1071-31,-,-,-,-,-,-
BOM_280-1065,1000,280-1065,,5,5,280-1071-33,-,-,-,-,-,-
BOM_280-1065,2000,280-1065,,5,5,280-1071-33,-,-,-,-,-,-
BOM_280-1065,5000,280-1065,,5,5,280-1071-33,-,-,-,-,-,-
BOM_280-1071-33,LOCATION-PCBA-Subcon,280-1071-33,,1,1,280-0750-33,-,-,-,-,-,-
BOM_280-1065,1000,280-1065,,6,6,280-1070,-,-,-,-,-,-
BOM_280-1065,2000,280-1065,,6,6,280-1070,-,-,-,-,-,-
BOM_280-1065,5000,280-1065,,6,6,280-1070,-,-,-,-,-,-
BOM_280-1070,LOCATION-PCBA-Subcon,280-1070,,1,1,504-1366,-,-,-,-,-,-
BOM_504-1366,LOCATION-PCBA-Subcon,504-1366,,1,1,140-0221,-,-,-,-,-,-
BOM_504-1366,LOCATION-PCBA-Subcon,504-1366,,2,2,140-0246,-,-,-,-,-,-
BOM_504-1366,LOCATION-PCBA-Subcon,504-1366,,3,3,140-0253,-,-,-,-,-,-
BOM_504-1366,LOCATION-PCBA-Subcon,504-1366,,4,4,140-0310,-,-,-,-,-,-
BOM_504-1366,LOCATION-PCBA-Subcon,504-1366,,5,5,140-0341,-,-,-,-,-,-
BOM_504-1366,LOCATION-PCBA-Subcon,504-1366,,6,6,140-0355,-,-,-,-,-,-
BOM_504-1366,LOCATION-PCBA-Subcon,504-1366,,7,7,140-0384,-,-,-,-,-,-
BOM_260-0128,1000,260-0128,,2,2,280-1067,-,-,-,-,-,-
BOM_260-0128,2000,260-0128,,2,2,280-1067,-,-,-,-,-,-
BOM_260-0128,5000,260-0128,,2,2,280-1067,-,-,-,-,-,-
BOM_260-0128,1000,260-0128,,3,3,280-0440,-,-,-,-,-,-
BOM_260-0128,2000,260-0128,,3,3,280-0440,-,-,-,-,-,-
BOM_260-0128,5000,260-0128,,3,3,280-0440,-,-,-,-,-,-
BOM_260-0128,1000,260-0128,,4,4,280-0558,-,-,-,-,-,-
BOM_260-0128,2000,260-0128,,4,4,280-0558,-,-,-,-,-,-
BOM_260-0128,5000,260-0128,,4,4,280-0558,-,-,-,-,-,-
BOM_260-0128,1000,260-0128,,5,5,280-0996,-,-,-,-,-,-
BOM_260-0128,2000,260-0128,,5,5,280-0996,-,-,-,-,-,-
BOM_260-0128,5000,260-0128,,5,5,280-0996,-,-,-,-,-,-
BOM_500-3490,1000,500-3490,,1,1,502-1678,-,-,-,-,-,-
BOM_500-3490,2000,500-3490,,1,1,502-1678,-,-,-,-,-,-
BOM_500-3490,5000,500-3490,,1,1,502-1678,-,-,-,-,-,-
BOM_500-3490,6000,500-3490,,1,1,502-1678,-,-,-,-,-,-
BOM_502-1678,1000,502-1678,,2,2,260-0120,-,-,-,-,-,-
BOM_502-1678,2000,502-1678,,2,2,260-0120,-,-,-,-,-,-
BOM_502-1678,5000,502-1678,,2,2,260-0120,-,-,-,-,-,-
BOM_260-0120,1000,260-0120,,4,4,280-0927,-,-,-,-,-,-
BOM_260-0120,2000,260-0120,,4,4,280-0927,-,-,-,-,-,-
BOM_260-0120,5000,260-0120,,4,4,280-0927,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,10,10,280-0804-27,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,10,10,280-0804-27,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,10,10,280-0804-27,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,11,11,280-0804-29,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,11,11,280-0804-29,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,11,11,280-0804-29,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,12,12,280-0804-31,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,12,12,280-0804-31,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,12,12,280-0804-31,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,,13,13,280-0804-33,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,,13,13,280-0804-33,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,,13,13,280-0804-33,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,A2,5,5,280-0926,-,-,-,-,-,-
BOM_280-0926,LOCATION-PCBA-Subcon,280-0926,,4,4,504-1319,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,25,25,140-0392,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,26,26,140-0221,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,27,27,140-0341,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,28,28,140-0179,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,29,29,140-0246,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,30,30,140-0386,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,31,31,140-0253,-,-,-,-,-,-
BOM_504-1319,LOCATION-PCBA-Subcon,504-1319,,32,32,140-0384,-,-,-,-,-,-
BOM_280-0927,1000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0927,2000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0927,5000,280-0927,A2,5,5,280-0926-02,-,-,-,-,-,-
BOM_280-0926-02,LOCATION-PCBA-Subcon,280-0926-02,,4,4,504-1548,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,22,22,140-0221,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,23,23,140-0341,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,24,24,140-0179,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,25,25,140-0246,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,26,26,140-0386,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,27,27,140-0253,-,-,-,-,-,-
BOM_504-1548,LOCATION-PCBA-Subcon,504-1548,,28,28,140-0384,-,-,-,-,-,-
BOM_260-0120,1000,260-0120,,5,5,280-0802,-,-,-,-,-,-
BOM_260-0120,2000,260-0120,,5,5,280-0802,-,-,-,-,-,-
BOM_260-0120,5000,260-0120,,5,5,280-0802,-,-,-,-,-,-
BOM_260-0120,1000,260-0120,,6,6,280-0695,-,-,-,-,-,-
BOM_260-0120,2000,260-0120,,6,6,280-0695,-,-,-,-,-,-
BOM_260-0120,5000,260-0120,,6,6,280-0695,-,-,-,-,-,-
BOM_500-3532,1000,500-3532,,1,1,502-1641,-,-,-,-,-,-
BOM_500-3532,2000,500-3532,,1,1,502-1641,-,-,-,-,-,-
BOM_500-3532,5000,500-3532,,1,1,502-1641,-,-,-,-,-,-
BOM_500-3532,6000,500-3532,,1,1,502-1641,-,-,-,-,-,-
BOM_502-1641,1000,502-1641,,1,1,260-0115,-,-,-,-,-,-
BOM_502-1641,2000,502-1641,,1,1,260-0115,-,-,-,-,-,-
BOM_502-1641,5000,502-1641,,1,1,260-0115,-,-,-,-,-,-
BOM_260-0115,1000,260-0115,,1,1,280-0934,-,-,-,-,-,-
BOM_260-0115,2000,260-0115,,1,1,280-0934,-,-,-,-,-,-
BOM_260-0115,5000,260-0115,,1,1,280-0934,-,-,-,-,-,-
BOM_280-0934,1000,280-0934,,1,1,280-0916-29,-,-,-,-,-,-
BOM_280-0934,2000,280-0934,,1,1,280-0916-29,-,-,-,-,-,-
BOM_280-0934,5000,280-0934,,1,1,280-0916-29,-,-,-,-,-,-
BOM_280-0934,1000,280-0934,,2,2,280-0916-31,-,-,-,-,-,-
BOM_280-0934,2000,280-0934,,2,2,280-0916-31,-,-,-,-,-,-
BOM_280-0934,5000,280-0934,,2,2,280-0916-31,-,-,-,-,-,-
BOM_280-0934,1000,280-0934,,3,3,280-0916-33,-,-,-,-,-,-
BOM_280-0934,2000,280-0934,,3,3,280-0916-33,-,-,-,-,-,-
BOM_280-0934,5000,280-0934,,3,3,280-0916-33,-,-,-,-,-,-
BOM_280-0934,1000,280-0934,,4,4,280-0930,-,-,-,-,-,-
BOM_280-0934,2000,280-0934,,4,4,280-0930,-,-,-,-,-,-
BOM_280-0934,5000,280-0934,,4,4,280-0930,-,-,-,-,-,-
BOM_280-0934,1000,280-0934,,5,5,910-0067,-,-,-,-,-,-
BOM_280-0934,2000,280-0934,,5,5,910-0067,-,-,-,-,-,-
BOM_280-0934,5000,280-0934,,5,5,910-0067,-,-,-,-,-,-
BOM_260-0115,1000,260-0115,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0115,2000,260-0115,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0115,5000,260-0115,,2,2,280-0802,-,-,-,-,-,-
BOM_260-0115,1000,260-0115,,3,3,280-0913,-,-,-,-,-,-
BOM_260-0115,2000,260-0115,,3,3,280-0913,-,-,-,-,-,-
BOM_260-0115,5000,260-0115,,3,3,280-0913,-,-,-,-,-,-
BOM_260-0115,1000,260-0115,,4,4,280-0551,-,-,-,-,-,-
BOM_260-0115,2000,260-0115,,4,4,280-0551,-,-,-,-,-,-
BOM_260-0115,5000,260-0115,,4,4,280-0551,-,-,-,-,-,-
BOM_260-0115,1000,260-0115,,5,5,280-0552,-,-,-,-,-,-
BOM_260-0115,2000,260-0115,,5,5,280-0552,-,-,-,-,-,-
BOM_260-0115,5000,260-0115,,5,5,280-0552,-,-,-,-,-,-
BOM_500-3621,1000,500-3621,,1,1,502-1677,-,-,-,-,-,-
BOM_500-3621,2000,500-3621,,1,1,502-1677,-,-,-,-,-,-
BOM_500-3621,5000,500-3621,,1,1,502-1677,-,-,-,-,-,-
BOM_500-3621,6000,500-3621,,1,1,502-1677,-,-,-,-,-,-
BOM_502-1677,1000,502-1677,,1,1,260-0121,-,-,-,-,-,-
BOM_502-1677,2000,502-1677,,1,1,260-0121,-,-,-,-,-,-
BOM_502-1677,5000,502-1677,,1,1,260-0121,-,-,-,-,-,-
BOM_260-0121,1000,260-0121,,1,1,280-0929,-,-,-,-,-,-
BOM_260-0121,2000,260-0121,,1,1,280-0929,-,-,-,-,-,-
BOM_260-0121,5000,260-0121,,1,1,280-0929,-,-,-,-,-,-
BOM_280-0929,1000,280-0929,,1,1,280-0916-27,-,-,-,-,-,-
BOM_280-0929,2000,280-0929,,1,1,280-0916-27,-,-,-,-,-,-
BOM_280-0929,5000,280-0929,,1,1,280-0916-27,-,-,-,-,-,-
BOM_280-0929,1000,280-0929,,2,2,280-0916-29,-,-,-,-,-,-
BOM_280-0929,2000,280-0929,,2,2,280-0916-29,-,-,-,-,-,-
BOM_280-0929,5000,280-0929,,2,2,280-0916-29,-,-,-,-,-,-
BOM_280-0929,1000,280-0929,,3,3,280-0916-31,-,-,-,-,-,-
BOM_280-0929,2000,280-0929,,3,3,280-0916-31,-,-,-,-,-,-
BOM_280-0929,5000,280-0929,,3,3,280-0916-31,-,-,-,-,-,-
BOM_280-0929,1000,280-0929,,4,4,280-0916-33,-,-,-,-,-,-
